"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00001","","","","5","5","4","0","3","45","3","5","2","2","3","4","0.6","0","5.3","0.6","5.9","4","0.15","","0.15","1.333333333","0.088888889","1.333333333","0.088888889","0.2","0.013333333","1.766666667","0.117777778","100","10.16949153","6.666666667","0.444444444","6.666666667","0.444444444","6.666666667","3.925925926","58.88888889","4.37037037","65.55555556"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00010","","","","3","4","","36","28","45","27","5","4","4","8","5","4.5","1.6","22","6.1","28.1","","","0.044444444","","","","","","0.217857143","0.135555556","0.785714286","0.488888889","","21.70818505","62.22222222","3.333333333","5.357142857","4.518518519","7.261904762","16.2962963","26.19047619","20.81481481","33.45238095"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00011","","","","4","4","25","9","20","45","19","4","3","3","3","8","2","0.5","2.6","2.5","5.1","34","0.08","0.055555556","0.073529412","1.7","0.755555556","1.25","0.555555556","0.125","0.055555556","0.13","0.057777778","73.52941176","49.01960784","44.44444444","1.481481481","3.333333333","1.851851852","4.166666667","1.925925926","4.333333333","3.777777778","8.5"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00012","","","","","","15","0","38","45","","","","","9","1","","0","32.4","","","15","","","","0.394736842","0.333333333","0.394736842","0.333333333","","","0.852631579","0.72","100","","84.44444444","","","","","24","28.42105263","",""
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00013","","","","3","4","","95","33","45","33","3","4","4","8","3","17.8","3.7","21.4","21.5","42.9","","","0.038947368","","","","","","0.651515152","0.477777778","0.648484848","0.475555556","","50.11655012","73.33333333","13.18518519","17.97979798","15.92592593","21.71717172","15.85185185","21.61616162","31.77777778","43.33333333"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00014","","","","3","3","94","0","6","45","5","5","4","4","5","3","0.9","0","1.2","0.9","2.1","94","0.009574468","","0.009574468","15.66666667","2.088888889","15.66666667","2.088888889","0.15","0.02","0.2","0.026666667","100","42.85714286","13.33333333","0.666666667","5","0.666666667","5","0.888888889","6.666666667","1.555555556","11.66666667"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00015","","","","5","4","5","11","36","45","35","4","4","4","8","6","8.7","0.8","5.4","9.5","14.9","16","1.74","0.072727273","0.59375","0.444444444","0.355555556","0.138888889","0.111111111","0.263888889","0.211111111","0.15","0.12","31.25","63.75838926","80","6.444444444","8.055555556","7.037037037","8.796296296","4","5","11.03703704","13.7962963"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00016","","","","4","4","47","7","16","45","10","5","4","3","8","5","2.1","0.5","41","2.6","43.6","54","0.044680851","0.071428571","0.048148148","3.375","1.2","2.9375","1.044444444","0.1625","0.057777778","2.5625","0.911111111","87.03703704","5.963302752","35.55555556","1.555555556","4.375","1.925925926","5.416666667","30.37037037","85.41666667","32.2962963","90.83333333"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00017","","","","4","3","12","22","41","45","40","5","4","4","4","6","9.3","1.2","4.9","10.5","15.4","34","0.775","0.054545455","0.308823529","0.829268293","0.755555556","0.292682927","0.266666667","0.256097561","0.233333333","0.119512195","0.108888889","35.29411765","68.18181818","91.11111111","6.888888889","7.56097561","7.777777778","8.536585366","3.62962963","3.983739837","11.40740741","12.5203252"
"","","GHP2010OHW-AT02","","","","","","","","","GHP2010OHW-AT02-00018","","","","4","4","56","13","11","45","5","5","3","2","4","5","","0.6","8","","","69","","0.046153846","","6.272727273","1.533333333","5.090909091","1.244444444","","","0.727272727","0.177777778","81.15942029","","24.44444444","","","","","5.925925926","24.24242424","",""
