"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00001","","","","4","17","50","0.8","2.64","2","34","34","34","28","34","27","2","65.71","5","8","9","5","7","8.6","3.4","25.8","12","37.8","68","0.252941176","0.1","0.176470588","2.428571429","2","1.214285714","1","0.428571429","0.352941176","0.921428571","0.758823529","50","31.74603175","82.35294118","34","4.08","8.431372549","10.23809524","11.76470588","14.28571429","25.29411765","30.71428571","4","4.857142857","37.05882353","45"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00010","","","","3","17.5","50","3.49","5.34","2","3","43","34","29","34","23","1","57.71","5","5","9","4","9","0.6","3.8","33.6","4.4","38","46","0.2","0.088372093","0.095652174","1.586206897","1.352941176","0.103448276","0.088235294","0.151724138","0.129411765","1.15862069","0.988235294","6.52173913","11.57894737","85.29411765","35","1.54","0.588235294","0.689655172","4.31372549","5.057471264","32.94117647","38.62068966","1.509803922","1.770114943","37.25490196","43.67816092"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00011","","","","4","18.5","50","1.43","2.91","2","49","7","32","29","34","29","2","67.32","4","9","7","6","6","15.4","0.5","20.4","15.9","36.3","56","0.314285714","0.071428571","0.283928571","1.931034483","1.647058824","1.689655172","1.441176471","0.548275862","0.467647059","0.703448276","0.6","87.5","43.80165289","85.29411765","37","5.883","15.09803922","17.70114943","15.58823529","18.27586207","20","23.44827586","5.767647059","6.762068966","35.58823529","41.72413793"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00012","","","","4","9.6","50","8.06","10.58","3","39","33","32","27","34","27","3","43.73","4","9","9","5","7","15.2","6.2","25","21.4","46.4","72","0.38974359","0.187878788","0.297222222","2.666666667","2.117647059","1.444444444","1.147058824","0.792592593","0.629411765","0.925925926","0.735294118","54.16666667","46.12068966","79.41176471","19.2","4.1088","14.90196078","18.7654321","20.98039216","26.41975309","24.50980392","30.86419753","4.028235294","5.072592593","45.49019608","57.28395062"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00013","","","","4","17.9","50","1.43","3.21","1","7","25","34","28","34","","2","65.99","3","4","9","4","5","1.3","1.2","26","2.5","28.5","32","0.185714286","0.048","0.078125","1.142857143","0.941176471","0.25","0.205882353","0.089285714","0.073529412","0.928571429","0.764705882","21.875","8.771929825","82.35294118","35.8","0.895","1.274509804","1.547619048","2.450980392","2.976190476","25.49019608","30.95238095","0.87745098","1.06547619","27.94117647","33.92857143"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00014","","","","3","17.7","50","2.23","4.08","2","12","51","24","25","34","23","2","67.31","4","6","9","7","5","3","4.7","26.6","7.7","34.3","63","0.25","0.092156863","0.122222222","2.52","1.852941176","0.48","0.352941176","0.308","0.226470588","1.064","0.782352941","19.04761905","22.44897959","73.52941176","35.4","2.7258","2.941176471","4","7.549019608","10.26666667","26.07843137","35.46666667","2.672352941","3.6344","33.62745098","45.73333333"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00015","","","","3","18.3","50","2.23","4.38","2","64","44","34","30","34","29","2","64","4","7","9","5","7","13.7","2.8","19.2","16.5","35.7","108","0.2140625","0.063636364","0.152777778","3.6","3.176470588","2.133333333","1.882352941","0.55","0.485294118","0.64","0.564705882","59.25925926","46.21848739","88.23529412","36.6","6.039","13.43137255","15.22222222","16.17647059","18.33333333","18.82352941","21.33333333","5.920588235","6.71","35","39.66666667"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00016","","","","3","","50","1.45","2.98","2","53","22","34","29","34","29","2","69.07","4","9","6","6","5","18.8","1.9","19","20.7","39.7","75","0.354716981","0.086363636","0.276","2.586206897","2.205882353","1.827586207","1.558823529","0.713793103","0.608823529","0.655172414","0.558823529","70.66666667","52.14105793","85.29411765","","","18.43137255","21.6091954","20.29411765","23.79310345","18.62745098","21.83908046","","","38.92156863","45.63218391"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00017","","","","","","","","","","0","0","","0","34","0","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00018","","","","3","","","","","2","35","40","33","29","34","28","3","","4","5","8","7","6","6.2","2.6","12.4","8.8","21.2","75","0.177142857","0.065","0.117333333","2.586206897","2.205882353","1.206896552","1.029411765","0.303448276","0.258823529","0.427586207","0.364705882","46.66666667","41.50943396","85.29411765","","","6.078431373","7.126436782","8.62745098","10.11494253","12.15686275","14.25287356","","","20.78431373","24.36781609"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00019","","","","4","17.1","50","1.91","3.74","3","30","13","33","24","34","23","3","72.08","4","7","8","5","6","7.2","1.5","22.2","8.7","30.9","43","0.24","0.115384615","0.202325581","1.791666667","1.264705882","1.25","0.882352941","0.3625","0.255882353","0.925","0.652941176","69.76744186","28.15533981","70.58823529","34.2","2.9754","7.058823529","10","8.529411765","12.08333333","21.76470588","30.83333333","2.917058824","4.1325","30.29411765","42.91666667"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00002","","","","2","15.9","50","2.1","4.06","1","76","36","34","30","34","30","1","64.58","5","6","6","8","5","16.8","1.9","12.2","18.7","30.9","112","0.221052632","0.052777778","0.166964286","3.733333333","3.294117647","2.533333333","2.235294118","0.623333333","0.55","0.406666667","0.358823529","67.85714286","60.51779935","88.23529412","31.8","5.9466","16.47058824","18.66666667","18.33333333","20.77777778","11.96078431","13.55555556","5.83","6.607333333","30.29411765","34.33333333"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00020","","","","2","18.2","50","2.81","5.1","2","40","25","34","26","34","25","2","61.63","5","9","8","4","9","10.9","0.9","41","11.8","52.8","65","0.2725","0.036","0.181538462","2.5","1.911764706","1.538461538","1.176470588","0.453846154","0.347058824","1.576923077","1.205882353","61.53846154","22.34848485","76.47058824","36.4","4.2952","10.68627451","13.97435897","11.56862745","15.12820513","40.19607843","52.56410256","4.210980392","5.506666667","51.76470588","67.69230769"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00021","","","","3","18.2","50","2.34","4","2","55","20","34","24","34","23","2","65.07","5","9","9","4","8","20.1","2.1","41","22.2","63.2","75","0.365454545","0.105","0.296","3.125","2.205882353","2.291666667","1.617647059","0.925","0.652941176","1.708333333","1.205882353","73.33333333","35.12658228","70.58823529","36.4","8.0808","19.70588235","27.91666667","21.76470588","30.83333333","40.19607843","56.94444444","7.922352941","11.22333333","61.96078431","87.77777778"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00022","","","","2","17.62","50","0.76","2.15","1","0","50","34","27","34","16","1","62.81","4","3","8","4","9","0","2.5","32.4","2.5","34.9","50","","0.05","0.05","1.851851852","1.470588235","0","0","0.092592593","0.073529412","1.2","0.952941176","0","7.163323782","79.41176471","35.24","0.881","0","0","2.450980392","3.086419753","31.76470588","40","0.86372549","1.087654321","34.21568627","43.08641975"
