"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00001","","","","2","12.22","2.99","0.85","18.1","2","50.8","1.48","","2","23","62","31","27","34","25","3","9","4.51","1","72.71","4","6","","8","1","1","5.2","1.7","11.5","6.9","18.4","85","0.226086957","0.027419355","0.081176471","3.148148148","2.5","0.851851852","0.676470588","0.255555556","0.202941176","0.425925926","0.338235294","27.05882353","37.5","79.41176471","35.62992126","2.458464567","5.098039216","6.419753086","6.764705882","8.518518519","11.2745098","14.19753086","2.410259379","3.035141441","18.03921569","22.71604938"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00010","","","","2","11.47","2.54","0.57","16.5","1","50.4","2.9","1.42","2","49","100","32","25","34","25","3","8","2.59","1","72.5","5","4","","9","4","1","8.5","3.4","27.5","11.9","39.4","149","0.173469388","0.034","0.079865772","5.96","4.382352941","1.96","1.441176471","0.476","0.35","1.1","0.808823529","32.88590604","30.20304569","73.52941176","32.73809524","3.895833333","8.333333333","11.33333333","11.66666667","15.86666667","26.96078431","36.66666667","3.819444444","5.194444444","38.62745098","52.53333333"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00011","","","","4","6.8","2.72","0.84","18.4","3","50.5","1.65","0.03","1","10","36","29","22","34","15","4","2","4.91","1","72.4","5","3","","8","1","1","1.3","1.6","25","2.9","27.9","46","0.13","0.044444444","0.063043478","2.090909091","1.352941176","0.454545455","0.294117647","0.131818182","0.085294118","1.136363636","0.735294118","21.73913043","10.39426523","64.70588235","36.43564356","1.056633663","1.274509804","1.96969697","2.843137255","4.393939394","24.50980392","37.87878788","1.035915356","1.600960096","27.35294118","42.27272727"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00012","","","","2","16.98","3.3","0.8","19","2","50.4","1.75","","1","6","10","31","25","34","7","4","8","4.54","1","68.33","5","4","","7","5","4","1.3","0.5","21.5","1.8","23.3","16","0.216666667","0.05","0.1125","0.64","0.470588235","0.24","0.176470588","0.072","0.052941176","0.86","0.632352941","37.5","7.725321888","73.52941176","37.6984127","0.678571429","1.274509804","1.733333333","1.764705882","2.4","21.07843137","28.66666667","0.665266106","0.904761905","22.84313725","31.06666667"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00013","","","","4","12.77","2.78","0.72","17.1","1","50.3","1","","1","7","30","32","21","34","14","8","5","4.12","2","66.29","6","4","6.41","6","5","4","1.4","1.3","11","2.7","13.7","37","0.2","0.043333333","0.072972973","1.761904762","1.088235294","0.333333333","0.205882353","0.128571429","0.079411765","0.523809524","0.323529412","18.91891892","19.7080292","61.76470588","33.99602386","0.917892644","1.37254902","2.222222222","2.647058824","4.285714286","10.78431373","17.46031746","0.899894749","1.456972451","13.43137255","21.74603175"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00014","","","","3","10.15","2.75","0.8","18.2","2","50.3","1.35","","1","15","30","29","23","34","19","4","8","4.11","1","68.3","4","4","2.72","7","6","5","2.4","0.9","15","3.3","18.3","45","0.16","0.03","0.073333333","1.956521739","1.323529412","0.652173913","0.441176471","0.143478261","0.097058824","0.652173913","0.441176471","33.33333333","18.03278689","67.64705882","36.18290258","1.194035785","2.352941176","3.47826087","3.235294118","4.782608696","14.70588235","21.73913043","1.170623319","1.730486645","17.94117647","26.52173913"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00015","","","","4","6.7","2.7","0.92","17.5","2","50.8","1.79","","1","9","29","32","24","34","12","4","2","3.9","1","71.72","3","3","","9","1","1","1","0.7","25","1.7","26.7","38","0.111111111","0.024137931","0.044736842","1.583333333","1.117647059","0.375","0.264705882","0.070833333","0.05","1.041666667","0.735294118","23.68421053","6.367041199","70.58823529","34.4488189","0.585629921","0.980392157","1.388888889","1.666666667","2.361111111","24.50980392","34.72222222","0.574146982","0.813374891","26.17647059","37.08333333"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00016","","","","2","4.67","2.98","1.05","17.6","2","50.2","0.43","","1","11","36","32","28","34","20","1","9","4.66","1","67.84","5","4","6.24","8","4","4","2.2","1.6","26","3.8","29.8","47","0.2","0.044444444","0.080851064","1.678571429","1.382352941","0.392857143","0.323529412","0.135714286","0.111764706","0.928571429","0.764705882","23.40425532","12.75167785","82.35294118","35.05976096","1.332270916","2.156862745","2.619047619","3.725490196","4.523809524","25.49019608","30.95238095","1.306147957","1.586036805","29.21568627","35.47619048"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00017","","","","4","12.84","3.3","1.04","17.1","2","50.5","1.64","","1","6","25","29","24","34","16","8","5","7.78","2","65.09","2","3","3.73","6","4","4","1.1","1.1","14","2.2","16.2","31","0.183333333","0.044","0.070967742","1.291666667","0.911764706","0.25","0.176470588","0.091666667","0.064705882","0.583333333","0.411764706","19.35483871","13.58024691","70.58823529","33.86138614","0.744950495","1.078431373","1.527777778","2.156862745","3.055555556","13.7254902","19.44444444","0.730343623","1.034653465","15.88235294","22.5"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00018","","","","1","6.75","2.48","0.73","19.5","1","50.2","0.92","","1","24","60","33","29","34","22","1","7","2.89","1","70.77","5","5","3.82","8","1","3","4.5","2.4","21","6.9","27.9","84","0.1875","0.04","0.082142857","2.896551724","2.470588235","0.827586207","0.705882353","0.237931034","0.202941176","0.724137931","0.617647059","28.57142857","24.7311828","85.29411765","38.84462151","2.680278884","4.411764706","5.172413793","6.764705882","7.931034483","20.58823529","24.13793103","2.627724397","3.080780327","27.35294118","32.06896552"
