"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00001","","","","2","2.84","1.79","0.36","17","50.63","2.0958245","1.0901133","1","58","90","34","28","34","28","3","8","1.12","3","64.0083313","3","4","14.05","5","4","5","5.9","3.8","3.5","9.7","13.2","148","0.101724138","0.042222222","0.065540541","5.285714286","4.352941176","2.071428571","1.705882353","0.346428571","0.285294118","0.125","0.102941176","39.18918919","73.48484848","82.35294118","33.57693067","3.256962275","5.784313725","7.023809524","9.509803922","11.54761905","3.431372549","4.166666667","3.19310027","3.877336042","12.94117647","15.71428571"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00010","","","","3","1.76","1.5","0.21","19.8","50.6","1.338678","0.0620795","1","10","62","34","27","34","27","1","6","0.42","3","70.1826782","4","9","8.65","6","4","4","4.6","7.9","5.5","12.5","18","72","0.46","0.127419355","0.173611111","2.666666667","2.117647059","0.37037037","0.294117647","0.462962963","0.367647059","0.203703704","0.161764706","13.88888889","69.44444444","79.41176471","39.13043478","4.891304348","4.509803922","5.679012346","12.25490196","15.43209877","5.392156863","6.790123457","4.795396419","6.038647343","17.64705882","22.22222222"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00011","","","","2","3.79","1.64","0.31","18.1","50.43","1.2736375","0.0578326","1","4","103","33","28","34","28","2","2","0.22","5","71.5696869","4","6","10.96","5","4","5","1.3","10.8","7","12.1","19.1","107","0.325","0.104854369","0.113084112","3.821428571","3.147058824","0.142857143","0.117647059","0.432142857","0.355882353","0.25","0.205882353","3.738317757","63.35078534","82.35294118","35.89133452","4.342851477","1.274509804","1.547619048","11.8627451","14.4047619","6.862745098","8.333333333","4.257697527","5.170061282","18.7254902","22.73809524"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00012","","","","2","3.01","1.7","0.41","18.1","50.79","1.6003828","0.5488244","1","8","39","33","29","34","22","5","2","0.87","3","68.4240952","4","4","11.14","5","4","4","1.4","2.5","6","3.9","9.9","47","0.175","0.064102564","0.082978723","1.620689655","1.382352941","0.275862069","0.235294118","0.134482759","0.114705882","0.206896552","0.176470588","17.0212766","39.39393939","85.29411765","35.6369364","1.38984052","1.37254902","1.609195402","3.823529412","4.482758621","5.882352941","6.896551724","1.362588745","1.597517839","9.705882353","11.37931034"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00013","","","","4","2.91","2.02","0.44","20.3","50.54","1.6562415","0.4602524","1","7","48","33","26","34","21","3","8","1.9","3","67.1986084","5","3","10.57","4","4","4","0.6","1.6","2.5","2.2","4.7","55","0.085714286","0.033333333","0.04","2.115384615","1.617647059","0.269230769","0.205882353","0.084615385","0.064705882","0.096153846","0.073529412","12.72727273","46.80851064","76.47058824","40.16620499","0.88365651","0.588235294","0.769230769","2.156862745","2.820512821","2.450980392","3.205128205","0.866329911","1.132892961","4.607843137","6.025641026"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00014","","","","3","1.93","1.95","0.46","18.4","50.63","2.1758773","0.9372963","1","12","31","33","25","34","22","2","6","0.91","4","67.2482529","4","5","8.19","5","3","3","1.9","3","9","4.9","13.9","43","0.158333333","0.096774194","0.113953488","1.72","1.264705882","0.48","0.352941176","0.196","0.144117647","0.36","0.264705882","27.90697674","35.25179856","73.52941176","36.34208967","1.780762394","1.862745098","2.533333333","4.803921569","6.533333333","8.823529412","12","1.745845484","2.374349858","13.62745098","18.53333333"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00015","","","","2","2.58","1.65","0.35","13.8","50.7","3.699568","3.0265734","1","56","71","33","30","34","30","3","2","0.41","3","63.6768265","5","6","12.86","6","5","5","12.6","5.6","10.5","18.2","28.7","127","0.225","0.078873239","0.143307087","4.233333333","3.735294118","1.866666667","1.647058824","0.606666667","0.535294118","0.35","0.308823529","44.09448819","63.41463415","88.23529412","27.21893491","4.953846154","12.35294118","14","17.84313725","20.22222222","10.29411765","11.66666667","4.856711916","5.504273504","28.1372549","31.88888889"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00016","","","","2","5.82","1.68","0.31","17.4","50.16","0.9714354","0.9049494","1","32","65","34","29","34","28","5","2","0.52","3","68.7092667","5","5","13.04","6","4","4","4.5","3.2","6.5","7.7","14.2","97","0.140625","0.049230769","0.079381443","3.344827586","2.852941176","1.103448276","0.941176471","0.265517241","0.226470588","0.224137931","0.191176471","32.98969072","54.22535211","85.29411765","34.68899522","2.671052632","4.411764706","5.172413793","7.549019608","8.850574713","6.37254902","7.471264368","2.618679051","3.070175439","13.92156863","16.32183908"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00017","","","","2","4.6","1.56","0.32","17.1","50.668","1.2153425","0.3874653","1","35","83","33","23","34","23","2","8","0.71","2","68.2835464","4","4","12.99","5","5","5","3.8","3.6","3.5","7.4","10.9","118","0.108571429","0.043373494","0.062711864","5.130434783","3.470588235","1.52173913","1.029411765","0.32173913","0.217647059","0.152173913","0.102941176","29.66101695","67.88990826","67.64705882","33.74911187","2.497434278","3.725490196","5.507246377","7.254901961","10.72463768","3.431372549","5.072463768","2.448464978","3.619469968","10.68627451","15.79710145"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00018","","","","3","2.89","1.37","0.27","18.3","50.52","2.1187193","0.5500153","1","10","17","29","22","34","20","4","6","0.11","2","67.7644882","4","5","10.76","4","7","7","1.5","1.2","5","2.7","7.7","27","0.15","0.070588235","0.1","1.227272727","0.794117647","0.454545455","0.294117647","0.122727273","0.079411765","0.227272727","0.147058824","37.03703704","35.06493506","64.70588235","36.22327791","0.978028504","1.470588235","2.272727273","2.647058824","4.090909091","4.901960784","7.575757576","0.958851474","1.481861369","7.549019608","11.66666667"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00019","","","","5","2.12","1.52","0.39","18","50.17","1.2508786","0.2160034","1","13","42","33","26","34","23","2","6","0.05","7","71.2622833","4","5","9.48","6","4","4","2.5","3.2","10.5","5.7","16.2","55","0.192307692","0.076190476","0.103636364","2.115384615","1.617647059","0.5","0.382352941","0.219230769","0.167647059","0.403846154","0.308823529","23.63636364","35.18518519","76.47058824","35.87801475","2.045046841","2.450980392","3.205128205","5.588235294","7.307692308","10.29411765","13.46153846","2.004947883","2.621854924","15.88235294","20.76923077"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00002","","","","2","3.07","2.01","0.53","19","50.07","2.6050148","1.691206","1","8","23","32","19","34","14","2","8","1.68","1","64.8837662","5","3","11.28","4","4","5","1.3","1.2","4","2.5","6.5","31","0.1625","0.052173913","0.080645161","1.631578947","0.911764706","0.421052632","0.235294118","0.131578947","0.073529412","0.210526316","0.117647059","25.80645161","38.46153846","55.88235294","37.94687438","0.948671859","1.274509804","2.280701754","2.450980392","4.385964912","3.921568627","7.01754386","0.93007045","1.664336595","6.37254902","11.40350877"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00020","","","","4","0.83","1.57","0.33","14.4","50.38","4.078455","0.4299297","1","46","64","34","26","34","25","3","2","0.44","5","63.784668","5","6","11.78","6","3","4","10.4","4.8","6.5","15.2","21.7","110","0.226086957","0.075","0.138181818","4.230769231","3.235294118","1.769230769","1.352941176","0.584615385","0.447058824","0.25","0.191176471","41.81818182","70.04608295","76.47058824","28.58277094","4.344581183","10.19607843","13.33333333","14.90196078","19.48717949","6.37254902","8.333333333","4.259393317","5.569975876","21.2745098","27.82051282"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00021","","","","4","10.32","1.85","0.45","16.4","50.5","0.723341","0.8787083","1","34","50","34","28","34","28","5","2","0.37","5","65.0159149","4","3","16.3","5","1","3","1.7","3.2","4","4.9","8.9","84","0.05","0.064","0.058333333","3","2.470588235","1.214285714","1","0.175","0.144117647","0.142857143","0.117647059","40.47619048","55.05617978","82.35294118","32.47524752","1.591287129","1.666666667","2.023809524","4.803921569","5.833333333","3.921568627","4.761904762","1.56008542","1.894389439","8.725490196","10.5952381"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00022","","","","3","1.43","1.44","0.3","18.42","50.71","1.55","1.01","1","4","24","34","19","34","11","4","6","0.16","4","68.51","3","2","10.63","4","7","7","0.5","0.8","5","1.3","6.3","28","0.125","0.033333333","0.046428571","1.473684211","0.823529412","0.210526316","0.117647059","0.068421053","0.038235294","0.263157895","0.147058824","14.28571429","20.63492063","55.88235294","36.32419641","0.472214553","0.490196078","0.877192982","1.274509804","2.280701754","4.901960784","8.771929825","0.462955444","0.828446585","6.176470588","11.05263158"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00023","","","","3","3.32","1.99","0.57","19.15","50.95","0.7245719","0.6711283","1","18","38","30","17","34","15","2","8","1.43","2","68.4254379","5","3","11.79","4","5","5","1.5","1.6","1.5","3.1","4.6","56","0.083333333","0.042105263","0.055357143","3.294117647","1.647058824","1.058823529","0.529411765","0.182352941","0.091176471","0.088235294","0.044117647","32.14285714","67.39130435","50","37.5858685","1.165161923","1.470588235","2.941176471","3.039215686","6.078431373","1.470588235","2.941176471","1.142315611","2.284631222","4.509803922","9.019607843"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00024","","","","3","1.98","1.5","0.26","19.21","50.27","0.8408473","0.5893415","1","36","105","34","27","34","27","2","2","0.18","3","72.8680573","4","4","10.21","6","5","5","5.4","5.8","5","11.2","16.2","141","0.15","0.055238095","0.079432624","5.222222222","4.147058824","1.333333333","1.058823529","0.414814815","0.329411765","0.185185185","0.147058824","25.53191489","69.13580247","79.41176471","38.21364631","4.279928387","5.294117647","6.666666667","10.98039216","13.82716049","4.901960784","6.172839506","4.196008222","5.283862206","15.88235294","20"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00025","","","","3","3.49","1.57","0.36","19.7","50.17","1.8242935","0.3123001","1","54","40","33","29","34","29","1","6","1.21","2","69.0247955","5","6","9.22","5","5","5","8.6","2.1","5.5","10.7","16.2","94","0.159259259","0.0525","0.113829787","3.24137931","2.764705882","1.862068966","1.588235294","0.368965517","0.314705882","0.189655172","0.161764706","57.44680851","66.04938272","85.29411765","39.26649392","4.20151485","8.431372549","9.885057471","10.49019608","12.29885057","5.392156863","6.32183908","4.119132205","4.829327413","15.88235294","18.62068966"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00026","","","","2","3.66","1.61","0.41","19.31","50.25","0.2083871","1.363025","1","9","35","32","20","34","20","5","2","0.94","2","71.7460098","5","5","11.03","5","5","6","2","2.2","5","4.2","9.2","44","0.222222222","0.062857143","0.095454545","2.2","1.294117647","0.45","0.264705882","0.21","0.123529412","0.25","0.147058824","20.45454545","45.65217391","58.82352941","38.4278607","1.613970149","1.960784314","3.333333333","4.117647059","7","4.901960784","8.333333333","1.582323676","2.689950249","9.019607843","15.33333333"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00027","","","","3","2.79","1.83","0.39","17.2","50.34","0.7892127","0.7383546","1","30","101","33","24","34","24","4","8","1.33","2","67.9829712","5","4","13.81","6","4","4","3.9","5.9","5","9.8","14.8","131","0.13","0.058415842","0.07480916","5.458333333","3.852941176","1.25","0.882352941","0.408333333","0.288235294","0.208333333","0.147058824","22.90076336","66.21621622","70.58823529","34.16765991","3.348430671","3.823529412","5.416666667","9.607843137","13.61111111","4.901960784","6.944444444","3.282775168","4.650598155","14.50980392","20.55555556"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00003","","","","2","2.49","1.62","0.2","18.6","50.17","1.9059553","0.0766256","1","14","34","34","25","34","18","1","6","0.71","3","68.2448578","4","5","9.76","4","5","6","3.2","2.8","2.5","6","8.5","48","0.228571429","0.082352941","0.125","1.92","1.411764706","0.56","0.411764706","0.24","0.176470588","0.1","0.073529412","29.16666667","70.58823529","73.52941176","37.07394857","2.224436914","3.137254902","4.266666667","5.882352941","8","2.450980392","3.333333333","2.180820504","2.965915886","8.333333333","11.33333333"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00004","","","","4","3.6","1.66","0.46","18.4","50.43","0.1602138","1.8104864","1","6","22","32","26","34","18","5","2","0.47","3","71.0164642","3","3","11.3","5","3","5","0.8","1.4","5.5","2.2","7.7","28","0.133333333","0.063636364","0.078571429","1.076923077","0.823529412","0.230769231","0.176470588","0.084615385","0.064705882","0.211538462","0.161764706","21.42857143","28.57142857","76.47058824","36.48621852","0.802696807","0.784313725","1.025641026","2.156862745","2.820512821","5.392156863","7.051282051","0.786957654","1.029098471","7.549019608","9.871794872"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00005","","","","2","0.75","1.72","0.36","14.9","50.38","3.2665894","2.5176458","1","58","60","33","30","34","30","2","2","0.96","5","63.9627914","5","6","14.13","6","3","3","13.7","7","8","20.7","28.7","118","0.236206897","0.116666667","0.175423729","3.933333333","3.470588235","1.933333333","1.705882353","0.69","0.608823529","0.266666667","0.235294118","49.15254237","72.12543554","88.23529412","29.57522827","6.122072251","13.43137255","15.22222222","20.29411765","23","7.843137255","8.888888889","6.002031619","6.802302501","28.1372549","31.88888889"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00006","","","","3","10.55","1.82","0.43","16.9","50.65","1.2674475","0.1820167","1","15","59","34","27","34","26","5","2","0.88","3","66.3063126","4","4","13.32","5","1","1","2","3","4","5","9","74","0.133333333","0.050847458","0.067567568","2.740740741","2.176470588","0.555555556","0.441176471","0.185185185","0.147058824","0.148148148","0.117647059","20.27027027","55.55555556","79.41176471","33.36623889","1.668311945","1.960784314","2.469135802","4.901960784","6.172839506","3.921568627","4.938271605","1.635599946","2.059644376","8.823529412","11.11111111"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00007","","","","2","0.06","1.49","0.33","18.1","50.91","0.7738993","1.1419326","1","3","39","33","26","34","14","4","6","0.21","2","69.7453766","5","3","10.5","3","7","9","0.6","1.3","3","1.9","4.9","42","0.2","0.033333333","0.045238095","1.615384615","1.235294118","0.115384615","0.088235294","0.073076923","0.055882353","0.115384615","0.088235294","7.142857143","38.7755102","76.47058824","35.55293655","0.675505795","0.588235294","0.769230769","1.862745098","2.435897436","2.941176471","3.846153846","0.662260583","0.86603307","4.803921569","6.282051282"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00008","","","","2","0.45","1.62","0.3","18.2","50.22","1.8265347","0.5969789","1","24","48","34","29","34","28","2","6","0.35","6","71.4061737","4","4","8.35","5","1","3","3.8","3.4","10","7.2","17.2","72","0.158333333","0.070833333","0.1","2.482758621","2.117647059","0.827586207","0.705882353","0.248275862","0.211764706","0.344827586","0.294117647","33.33333333","41.86046512","85.29411765","36.24054162","2.609318996","3.725490196","4.367816092","7.058823529","8.275862069","9.803921569","11.49425287","2.558155879","2.999217237","16.8627451","19.77011494"
"","","GHP2012KMD-AT01","","","","","","","","","GHP2012KMD-AT01-00009","","","","4","2.41","1.64","0.25","17.6","50.02","1.0738679","0.4227702","1","32","143","34","29","34","29","2","2","0.31","6","70.495903","5","5","11.53","6","5","5","5.9","8.1","10","14","24","175","0.184375","0.056643357","0.08","6.034482759","5.147058824","1.103448276","0.941176471","0.482758621","0.411764706","0.344827586","0.294117647","18.28571429","58.33333333","85.29411765","35.18592563","4.926029588","5.784313725","6.781609195","13.7254902","16.09195402","9.803921569","11.49425287","4.829440773","5.662102975","23.52941176","27.5862069"
