"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00001","","","","3","7.76","1.5","16.3","50.34","0.63","","1","38","142","32","30","34","30","3","8","1.26","4","72.22","5","5","12.16","7","5","5","7.6","7.4","6.5","15","21.5","180","0.2","0.052112676","0.083333333","6","5.294117647","1.266666667","1.117647059","0.5","0.441176471","0.216666667","0.191176471","21.11111111","69.76744186","88.23529412","32.37981724","4.856972586","7.450980392","8.444444444","14.70588235","16.66666667","6.37254902","7.222222222","4.76173783","5.396636207","21.07843137","23.88888889"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00010","","","","2","5.77","1.72","18.1","50.07","0.73","","1","32","41","34","29","34","28","3","9","1.91","2","68.72","4","5","13.43","7","1","3","5.8","2.8","8.5","8.6","17.1","73","0.18125","0.068292683","0.117808219","2.517241379","2.147058824","1.103448276","0.941176471","0.296551724","0.252941176","0.293103448","0.25","43.83561644","50.29239766","85.29411765","36.14939085","3.108847613","5.68627451","6.666666667","8.431372549","9.885057471","8.333333333","9.770114943","3.047889817","3.573388061","16.76470588","19.65517241"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00011","","","","3","5.98","1.46","","","0.73","","1","50","37","34","29","34","29","","","1.57","2","70.08","4","5","12.64","6","1","3","7.4","1.7","5","9.1","14.1","87","0.148","0.045945946","0.104597701","3","2.558823529","1.724137931","1.470588235","0.313793103","0.267647059","0.172413793","0.147058824","57.47126437","64.53900709","85.29411765","","","7.254901961","8.505747126","8.921568627","10.45977011","4.901960784","5.747126437","","","13.82352941","16.20689655"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00012","","","","3","6.52","1.85","16.2","50.24","1.33","0.14","1","53","34","34","28","34","28","3","9","2.42","4","67.31","5","6","13.54","7","1","1","10.2","1.7","11.5","11.9","23.4","87","0.19245283","0.05","0.136781609","3.107142857","2.558823529","1.892857143","1.558823529","0.425","0.35","0.410714286","0.338235294","60.91954023","50.85470085","82.35294118","32.24522293","3.837181529","10","12.14285714","11.66666667","14.16666667","11.2745098","13.69047619","3.761942675","4.568073248","22.94117647","27.85714286"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00013","","","","4","17.64","","","","","","1","7","12","31","19","34","8","","","","4","","4","2","","3","6","8","0.8","0.9","2.5","1.7","4.2","19","0.114285714","0.075","0.089473684","1","0.558823529","0.368421053","0.205882353","0.089473684","0.05","0.131578947","0.073529412","36.84210526","40.47619048","55.88235294","","","0.784313725","1.403508772","1.666666667","2.98245614","2.450980392","4.385964912","","","4.117647059","7.368421053"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00014","","","","4","24.36","","17.1","50.15","","","1","0","12","34","13","34","8","6","","","5","","4","5","","2","6","9","0","0.5","0.5","0.5","1","12","","0.041666667","0.041666667","0.923076923","0.352941176","0","0","0.038461538","0.014705882","0.038461538","0.014705882","0","50","38.23529412","34.09770688","0.170488534","0","0","0.490196078","1.282051282","0.490196078","1.282051282","0.167145622","0.437150088","0.980392157","2.564102564"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00015","","","","4","24","2","12.2","50.46","6.78","7.22","1","0","17","29","20","34","16","6","2","1.06","3","59.36","3","2","9.84","2","6","9","0","0.9","1.5","0.9","2.4","17","","0.052941176","0.052941176","0.85","0.5","0","0","0.045","0.026470588","0.075","0.044117647","0","37.5","58.82352941","24.17756639","0.217598098","0","0","0.882352941","1.5","1.470588235","2.5","0.213331468","0.362663496","2.352941176","4"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00016","","","","3","","","18.5","50.95","","","1","6","33","30","26","34","25","","8","","4","","5","6","","4","4","5","1.4","3.2","5.5","4.6","10.1","39","0.233333333","0.096969697","0.117948718","1.5","1.147058824","0.230769231","0.176470588","0.176923077","0.135294118","0.211538462","0.161764706","15.38461538","45.54455446","76.47058824","36.31010795","1.670264966","1.37254902","1.794871795","4.509803922","5.897435897","5.392156863","7.051282051","1.637514672","2.141365341","9.901960784","12.94871795"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00017","","","","4","","","17.4","50.03","","","1","11","17","34","25","34","12","","8","","2","","3","2","","5","4","6","3.5","0.8","7","4.3","11.3","28","0.318181818","0.047058824","0.153571429","1.12","0.823529412","0.44","0.323529412","0.172","0.126470588","0.28","0.205882353","39.28571429","38.05309735","73.52941176","34.77913252","1.495502698","3.431372549","4.666666667","4.215686275","5.733333333","6.862745098","9.333333333","1.466179116","1.994003598","11.07843137","15.06666667"
"","","GHP2012KMD-AT02","","","","","","","","","GHP2012KMD-AT02-00018","","","","4","1.43","1.96","19.3","50.4","","","1","20","21","34","25","34","16","1","7","1.8","4","67.32","3","4","11.27","5","4","6","3.1","1","8","4.1","12.1","41","0.155","0.047619048","0.1","1.64","1.205882353","0.8","0.588235294","0.164","0.120588235","0.32","0.235294118","48.7804878","33.88429752","73.52941176","38.29365079","1.570039683","3.039215686","4.133333333","4.019607843","5.466666667","7.843137255","10.66666667","1.539254591","2.093386243","11.8627451","16.13333333"
