"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00001","","","","3","1","36","70","34","24","34","24","2","5","5","6","5","5","5.7","4.4","7.5","10.1","17.6","106","0.158333333","0.062857143","0.095283019","4.416666667","3.117647059","1.5","1.058823529","0.420833333","0.297058824","0.3125","0.220588235","33.96226415","57.38636364","70.58823529","5.588235294","7.916666667","9.901960784","14.02777778","7.352941176","10.41666667","17.25490196","24.44444444"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00010","","","","1","1","52","110","34","28","34","28","5","5","6","7","4","5","11.2","3.7","10.5","14.9","25.4","162","0.215384615","0.033636364","0.091975309","5.785714286","4.764705882","1.857142857","1.529411765","0.532142857","0.438235294","0.375","0.308823529","32.09876543","58.66141732","82.35294118","10.98039216","13.33333333","14.60784314","17.73809524","10.29411765","12.5","24.90196078","30.23809524"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00011","","","","2","1","48","62","33","30","34","30","2","5","7","9","3","3","17.9","4","27","21.9","48.9","110","0.372916667","0.064516129","0.199090909","3.666666667","3.235294118","1.6","1.411764706","0.73","0.644117647","0.9","0.794117647","43.63636364","44.78527607","88.23529412","17.54901961","19.88888889","21.47058824","24.33333333","26.47058824","30","47.94117647","54.33333333"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00012","","","","2","1","45","65","34","27","34","27","4","5","6","7","4","4","11.1","4.2","15","15.3","30.3","110","0.246666667","0.064615385","0.139090909","4.074074074","3.235294118","1.666666667","1.323529412","0.566666667","0.45","0.555555556","0.441176471","40.90909091","50.4950495","79.41176471","10.88235294","13.7037037","15","18.88888889","14.70588235","18.51851852","29.70588235","37.40740741"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00013","","","","2","1","28","100","32","27","34","25","3","5","6","6","5","5","7.2","4.2","5","11.4","16.4","128","0.257142857","0.042","0.0890625","4.740740741","3.764705882","1.037037037","0.823529412","0.422222222","0.335294118","0.185185185","0.147058824","21.875","69.51219512","79.41176471","7.058823529","8.888888889","11.17647059","14.07407407","4.901960784","6.172839506","16.07843137","20.24691358"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00014","","","","2","1","29","56","34","26","34","24","3","4","4","5","5","6","4.3","3.8","3","8.1","11.1","85","0.148275862","0.067857143","0.095294118","3.269230769","2.5","1.115384615","0.852941176","0.311538462","0.238235294","0.115384615","0.088235294","34.11764706","72.97297297","76.47058824","4.215686275","5.512820513","7.941176471","10.38461538","2.941176471","3.846153846","10.88235294","14.23076923"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00015","","","","2","1","36","56","34","27","34","25","2","5","6","6","1","1","8.2","2.6","9.5","10.8","20.3","92","0.227777778","0.046428571","0.117391304","3.407407407","2.705882353","1.333333333","1.058823529","0.4","0.317647059","0.351851852","0.279411765","39.13043478","53.20197044","79.41176471","8.039215686","10.12345679","10.58823529","13.33333333","9.31372549","11.72839506","19.90196078","25.0617284"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00016","","","","2","1","5","80","32","23","34","20","4","4","3","5","5","6","4.4","0.8","2.5","5.2","7.7","85","0.88","0.01","0.061176471","3.695652174","2.5","0.217391304","0.147058824","0.226086957","0.152941176","0.108695652","0.073529412","5.882352941","67.53246753","67.64705882","4.31372549","6.376811594","5.098039216","7.536231884","2.450980392","3.623188406","7.549019608","11.15942029"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00017","","","","3","1","45","41","34","26","34","25","3","5","6","5","5","5","11.4","3.4","11.5","14.8","26.3","86","0.253333333","0.082926829","0.172093023","3.307692308","2.529411765","1.730769231","1.323529412","0.569230769","0.435294118","0.442307692","0.338235294","52.3255814","56.27376426","76.47058824","11.17647059","14.61538462","14.50980392","18.97435897","11.2745098","14.74358974","25.78431373","33.71794872"
"","","GHP2012KMD-AT03","","","","","","","","","GHP2012KMD-AT03-00018","","","","2","1","15","100","34","25","34","25","4","5","8","7","4","4","5.7","7.8","10","13.5","23.5","115","0.38","0.078","0.117391304","4.6","3.382352941","0.6","0.441176471","0.54","0.397058824","0.4","0.294117647","13.04347826","57.44680851","73.52941176","5.588235294","7.6","13.23529412","18","9.803921569","13.33333333","23.03921569","31.33333333"
