"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00001","","","","2","1","28","75","34","30","34","28","2","5","5","4","4","3","2.3","7.5","5.3","12.8","103","0.107142857","0.030666667","0.051456311","3.433333333","3.029411765","0.933333333","0.823529412","0.176666667","0.155882353","0.25","0.220588235","27.18446602","41.40625","88.23529412","2.941176471","3.333333333","5.196078431","5.888888889","7.352941176","8.333333333","12.54901961","14.22222222"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00010","","","","3","1","20","39","34","28","34","20","4","4","4","3","5","2.2","1.4","8.5","3.6","12.1","59","0.11","0.035897436","0.061016949","2.107142857","1.735294118","0.714285714","0.588235294","0.128571429","0.105882353","0.303571429","0.25","33.89830508","29.75206612","82.35294118","2.156862745","2.619047619","3.529411765","4.285714286","8.333333333","10.11904762","11.8627451","14.4047619"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00011","","","","4","1","25","71","34","29","34","27","3","4","3","4","5","2.1","1","10","3.1","13.1","96","0.084","0.014084507","0.032291667","3.310344828","2.823529412","0.862068966","0.735294118","0.106896552","0.091176471","0.344827586","0.294117647","26.04166667","23.66412214","85.29411765","2.058823529","2.413793103","3.039215686","3.563218391","9.803921569","11.49425287","12.84313725","15.05747126"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00012","","","","3","1","24","51","34","30","34","26","1","6","6","4","5","7.1","1.1","20","8.2","28.2","75","0.295833333","0.021568627","0.109333333","2.5","2.205882353","0.8","0.705882353","0.273333333","0.241176471","0.666666667","0.588235294","32","29.07801418","88.23529412","6.960784314","7.888888889","8.039215686","9.111111111","19.60784314","22.22222222","27.64705882","31.33333333"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00013","","","","2","1","28","36","34","27","34","25","2","4","4","5","7","4","1.1","7","5.1","12.1","64","0.142857143","0.030555556","0.0796875","2.37037037","1.882352941","1.037037037","0.823529412","0.188888889","0.15","0.259259259","0.205882353","43.75","42.14876033","79.41176471","3.921568627","4.938271605","5","6.296296296","6.862745098","8.641975309","11.8627451","14.9382716"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00014","","","","3","1","6","23","34","24","34","20","1","3","4","4","6","1.1","1.2","8","2.3","10.3","29","0.183333333","0.052173913","0.079310345","1.208333333","0.852941176","0.25","0.176470588","0.095833333","0.067647059","0.333333333","0.235294118","20.68965517","22.33009709","70.58823529","1.078431373","1.527777778","2.254901961","3.194444444","7.843137255","11.11111111","10.09803922","14.30555556"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00015","","","","2","1","23","41","34","25","34","20","3","5","6","4","5","3.8","1.9","21.5","5.7","27.2","64","0.165217391","0.046341463","0.0890625","2.56","1.882352941","0.92","0.676470588","0.228","0.167647059","0.86","0.632352941","35.9375","20.95588235","73.52941176","3.725490196","5.066666667","5.588235294","7.6","21.07843137","28.66666667","26.66666667","36.26666667"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00016","","","","2","1","25","32","34","30","34","20","2","5","4","5","6","2.8","1.4","9.5","4.2","13.7","57","0.112","0.04375","0.073684211","1.9","1.676470588","0.833333333","0.735294118","0.14","0.123529412","0.316666667","0.279411765","43.85964912","30.65693431","88.23529412","2.745098039","3.111111111","4.117647059","4.666666667","9.31372549","10.55555556","13.43137255","15.22222222"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00017","","","","3","1","12","34","34","27","34","18","1","5","5","5","6","2","1.9","6","3.9","9.9","46","0.166666667","0.055882353","0.084782609","1.703703704","1.352941176","0.444444444","0.352941176","0.144444444","0.114705882","0.222222222","0.176470588","26.08695652","39.39393939","79.41176471","1.960784314","2.469135802","3.823529412","4.814814815","5.882352941","7.407407407","9.705882353","12.22222222"
"","","GHP2012PKS-AT02","","","","","","","","","GHP2012PKS-AT02-00018","","","","2","1","13","40","34","28","34","21","1","4","4","7","8","1.4","0.9","5","2.3","7.3","53","0.107692308","0.0225","0.043396226","1.892857143","1.558823529","0.464285714","0.382352941","0.082142857","0.067647059","0.178571429","0.147058824","24.52830189","31.50684932","82.35294118","1.37254902","1.666666667","2.254901961","2.738095238","4.901960784","5.952380952","7.156862745","8.69047619"
