"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00002","","","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00001","","","","7","17.7","50.32","1","0","7","33","28","34","5","1","9","1","3","2","7","0","0.2","5","0.2","5.2","7","","0.028571429","0.028571429","0.25","0.205882353","0","0","0.007142857","0.005882353","0.178571429","0.147058824","0","3.846153846","82.35294118","35.17488076","0.070349762","0","0","0.196078431","0.238095238","4.901960784","5.952380952","0.068970354","0.083749716","5.098039216","6.19047619"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00010","","","","2","14.7","50.73","1","10","31","23","22","34","13","2","7","1","5","4","6","1.1","1.3","5.5","2.4","7.9","41","0.11","0.041935484","0.058536585","1.863636364","1.205882353","0.454545455","0.294117647","0.109090909","0.070588235","0.25","0.161764706","24.3902439","30.37974684","64.70588235","28.97693672","0.695446481","1.078431373","1.666666667","2.352941176","3.636363636","5.392156863","8.333333333","0.681810276","1.05370679","7.745098039","11.96969697"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00011","","","","6","17.7","50.71","1","0","25","30","25","34","3","3","2","1","3","3","4","0","1.1","7.5","1.1","8.6","25","","0.044","0.044","1","0.735294118","0","0","0.044","0.032352941","0.3","0.220588235","0","12.79069767","73.52941176","34.90435811","0.383947939","0","0","1.078431373","1.466666667","7.352941176","10","0.376419548","0.511930586","8.431372549","11.46666667"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00012","","","","5","16.2","50.21","1","5","23","31","27","34","8","3","8","2","5","5","6","1.2","0.9","9.5","2.1","11.6","28","0.24","0.039130435","0.075","1.037037037","0.823529412","0.185185185","0.147058824","0.077777778","0.061764706","0.351851852","0.279411765","17.85714286","18.10344828","79.41176471","32.26448915","0.677554272","1.176470588","1.481481481","2.058823529","2.592592593","9.31372549","11.72839506","0.664268894","0.836486756","11.37254902","14.32098765"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00013","","","","5","","","1","25","35","32","30","34","20","3","","2","6","6","7","4.7","1.8","10","6.5","16.5","60","0.188","0.051428571","0.108333333","2","1.764705882","0.833333333","0.735294118","0.216666667","0.191176471","0.333333333","0.294117647","41.66666667","39.39393939","88.23529412","","","4.607843137","5.222222222","6.37254902","7.222222222","9.803921569","11.11111111","","","16.17647059","18.33333333"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00014","","","","4","18.8","50.94","1","4","32","33","27","34","17","2","6","1","4","3","7","0.6","1.5","7","2.1","9.1","36","0.15","0.046875","0.058333333","1.333333333","1.058823529","0.148148148","0.117647059","0.077777778","0.061764706","0.259259259","0.205882353","11.11111111","23.07692308","79.41176471","36.90616411","0.775029446","0.588235294","0.740740741","2.058823529","2.592592593","6.862745098","8.641975309","0.759832791","0.956826477","8.921568627","11.2345679"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00015","","","","5","","","1","1","43","33","26","34","9","2","","1","3","2","4","0.1","0.9","6.5","1","7.5","44","0.1","0.020930233","0.022727273","1.692307692","1.294117647","0.038461538","0.029411765","0.038461538","0.029411765","0.25","0.191176471","2.272727273","13.33333333","76.47058824","","","0.098039216","0.128205128","0.980392157","1.282051282","6.37254902","8.333333333","","","7.352941176","9.615384615"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00016","","","","4","17.3","50.74","1","29","81","31","30","34","29","1","9","1","5","6","4","5.5","3.6","9","9.1","18.1","110","0.189655172","0.044444444","0.082727273","3.666666667","3.235294118","0.966666667","0.852941176","0.303333333","0.267647059","0.3","0.264705882","26.36363636","50.27624309","88.23529412","34.09538825","3.102680331","5.392156863","6.111111111","8.921568627","10.11111111","8.823529412","10","3.041843462","3.44742259","17.74509804","20.11111111"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00017","","","","6","15.1","50.39","1","11","36","30","28","34","21","2","5","1","4","3","7","1.4","1.5","7","2.9","9.9","47","0.127272727","0.041666667","0.061702128","1.678571429","1.382352941","0.392857143","0.323529412","0.103571429","0.085294118","0.25","0.205882353","23.40425532","29.29292929","82.35294118","29.96626315","0.869021631","1.37254902","1.666666667","2.843137255","3.452380952","6.862745098","8.333333333","0.851981991","1.034549561","9.705882353","11.78571429"
