"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00001","","","","2","1","23","11","14","10","14","10","1","5","5","4","4.4","0.8","1.8","5.2","7","34","0.191304348","0.072727273","0.152941176","3.4","2.428571429","2.3","1.642857143","0.52","0.371428571","0.18","0.128571429","67.64705882","74.28571429","71.42857143","10.47619048","14.66666667","12.38095238","17.33333333","4.285714286","6","16.66666667","23.33333333"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00010","","","","1","1","15","6","12","8","14","7","2","5","5","6","2.6","0.3","2.8","2.9","5.7","21","0.173333333","0.05","0.138095238","2.625","1.5","1.875","1.071428571","0.3625","0.207142857","0.35","0.2","71.42857143","50.87719298","57.14285714","6.19047619","10.83333333","6.904761905","12.08333333","6.666666667","11.66666667","13.57142857","23.75"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00011","","","","2","1","36","15","14","10","14","10","3","6","9","3","10.4","0.8","4.6","11.2","15.8","51","0.288888889","0.053333333","0.219607843","5.1","3.642857143","3.6","2.571428571","1.12","0.8","0.46","0.328571429","70.58823529","70.88607595","71.42857143","24.76190476","34.66666667","26.66666667","37.33333333","10.95238095","15.33333333","37.61904762","52.66666667"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00012","","","","2","1","0","11","14","8","14","6","1","3","1","9","0","0.3","1","0.3","1.3","11","","0.027272727","0.027272727","1.375","0.785714286","0","0","0.0375","0.021428571","0.125","0.071428571","0","23.07692308","57.14285714","0","0","0.714285714","1.25","2.380952381","4.166666667","3.095238095","5.416666667"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00013","","","","3","1","14","9","13","10","14","9","1","4","6","4","2.5","0.4","4.6","2.9","7.5","23","0.178571429","0.044444444","0.126086957","2.3","1.642857143","1.4","1","0.29","0.207142857","0.46","0.328571429","60.86956522","38.66666667","71.42857143","5.952380952","8.333333333","6.904761905","9.666666667","10.95238095","15.33333333","17.85714286","25"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00014","","","","1","1","17","13","13","9","14","8","1","6","8","5","4.1","0.5","3.2","4.6","7.8","30","0.241176471","0.038461538","0.153333333","3.333333333","2.142857143","1.888888889","1.214285714","0.511111111","0.328571429","0.355555556","0.228571429","56.66666667","58.97435897","64.28571429","9.761904762","15.18518519","10.95238095","17.03703704","7.619047619","11.85185185","18.57142857","28.88888889"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00015","","","","1","1","19","32","13","10","14","10","1","6","6","4","3.6","1.4","3","5","8","51","0.189473684","0.04375","0.098039216","5.1","3.642857143","1.9","1.357142857","0.5","0.357142857","0.3","0.214285714","37.25490196","62.5","71.42857143","8.571428571","12","11.9047619","16.66666667","7.142857143","10","19.04761905","26.66666667"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00016","","","","1","1","8","12","6","4","14","4","2","5","5","7","1.6","0.4","3.8","2","5.8","20","0.2","0.033333333","0.1","5","1.428571429","2","0.571428571","0.5","0.142857143","0.95","0.271428571","40","34.48275862","28.57142857","3.80952381","13.33333333","4.761904762","16.66666667","9.047619048","31.66666667","13.80952381","48.33333333"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00017","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00018","","","","1","1","16","15","14","","14","","1","4","4","4","2.8","0.8","4.2","3.6","7.8","31","0.175","0.053333333","0.116129032","","2.214285714","","1.142857143","","0.257142857","","0.3","51.61290323","46.15384615","","6.666666667","","8.571428571","","10","","18.57142857",""
