"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00001","","","","1","19","50.4","3.948921","6.2697458","2","12","37","18","34","18","4","1","68.1516876","5","5","6","5","2.7","1.9","24","4.6","28.6","49","0.225","0.051351351","0.093877551","2.722222222","1.441176471","0.666666667","0.352941176","0.255555556","0.135294118","1.333333333","0.705882353","24.48979592","16.08391608","52.94117647","37.6984127","1.734126984","2.647058824","5","4.509803922","8.518518519","23.52941176","44.44444444","1.700124494","3.211346267","28.03921569","52.96296296"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00010","","","","2","20.7","50.7","0.479946","2.223722","1","23","26","29","34","24","3","2","67.8651657","5","7","8","4","5.4","1.4","26","6.8","32.8","49","0.234782609","0.053846154","0.13877551","1.689655172","1.441176471","0.793103448","0.676470588","0.234482759","0.2","0.896551724","0.764705882","46.93877551","20.73170732","85.29411765","40.82840237","2.776331361","5.294117647","6.206896552","6.666666667","7.816091954","25.49019608","29.88505747","2.721893491","3.191185472","32.15686275","37.70114943"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00011","","","","1","19.7","50.4","2.565989","4.1437898","3","16","50","25","34","15","5","2","67.7298965","4","3","7","4","1.7","1.8","20","3.5","23.5","66","0.10625","0.036","0.053030303","2.64","1.941176471","0.64","0.470588235","0.14","0.102941176","0.8","0.588235294","24.24242424","14.89361702","73.52941176","39.08730159","1.368055556","1.666666667","2.266666667","3.431372549","4.666666667","19.60784314","26.66666667","1.341230937","1.824074074","23.03921569","31.33333333"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00012","","","","2","21.4","50.3","2.004267","3.5083489","2","51","49","30","34","30","5","3","68.2532349","6","7","7","3","13.2","3.8","20","17","37","100","0.258823529","0.07755102","0.17","3.333333333","2.941176471","1.7","1.5","0.566666667","0.5","0.666666667","0.588235294","51","45.94594595","88.23529412","42.54473161","7.232604374","12.94117647","14.66666667","16.66666667","18.88888889","19.60784314","22.22222222","7.090788602","8.036227082","36.2745098","41.11111111"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00013","","","","1","17.6","50","2.737875","4.550046","1","14","13","14","34","14","4","1","71.9260635","4","5","4","5","2.3","1.1","7","3.4","10.4","27","0.164285714","0.084615385","0.125925926","1.928571429","0.794117647","1","0.411764706","0.242857143","0.1","0.5","0.205882353","51.85185185","32.69230769","41.17647059","35.2","1.1968","2.254901961","5.476190476","3.333333333","8.095238095","6.862745098","16.66666667","1.173333333","2.84952381","10.19607843","24.76190476"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00014","","","","2","18.3","50.3","0.74061","1.827806","2","75","71","30","34","30","5","2","70.4322205","6","6","6","5","11.9","3.6","9","15.5","24.5","146","0.158666667","0.050704225","0.106164384","4.866666667","4.294117647","2.5","2.205882353","0.516666667","0.455882353","0.3","0.264705882","51.36986301","63.26530612","88.23529412","36.38170974","5.63916501","11.66666667","13.22222222","15.19607843","17.22222222","8.823529412","10","5.528593147","6.2657389","24.01960784","27.22222222"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00015","","","","1","19.5","50.9","1.248155","3.000771","1","38","57","30","34","29","5","2","69.7606277","5","6","7","3","7.2","2.1","26","9.3","35.3","95","0.189473684","0.036842105","0.097894737","3.166666667","2.794117647","1.266666667","1.117647059","0.31","0.273529412","0.866666667","0.764705882","40","26.34560907","88.23529412","38.31041257","3.562868369","7.058823529","8","9.117647059","10.33333333","25.49019608","28.88888889","3.493008205","3.958742633","34.60784314","39.22222222"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00016","","","","2","19.9","50","3.051903","5.102726","3","19","20","28","34","16","5","2","64.5949326","6","5","8","3","3.4","0.8","33.5","4.2","37.7","39","0.178947368","0.04","0.107692308","1.392857143","1.147058824","0.678571429","0.558823529","0.15","0.123529412","1.196428571","0.985294118","48.71794872","11.14058355","82.35294118","39.8","1.6716","3.333333333","4.047619048","4.117647059","5","32.84313725","39.88095238","1.638823529","1.99","36.96078431","44.88095238"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00017","","","","2","20.1","50.1","2.608706","4.4208598","4","3","43","25","34","10","5","1","71.0663605","4","2","8","4","0.3","1.1","3.5","1.4","4.9","46","0.1","0.025581395","0.030434783","1.84","1.352941176","0.12","0.088235294","0.056","0.041176471","0.14","0.102941176","6.52173913","28.57142857","73.52941176","40.11976048","0.561676647","0.294117647","0.4","1.37254902","1.866666667","3.431372549","4.666666667","0.550663379","0.748902196","4.803921569","6.533333333"
"","","GHP2013EJR-AT02","","","","","","","","","GHP2013EJR-AT02-00018","","","","2","20.9","50.8","1.476801","3.3587101","3","13","36","28","34","19","5","2","70.3890076","5","4","8","4","2.3","1.8","38","4.1","42.1","49","0.176923077","0.05","0.083673469","1.75","1.441176471","0.464285714","0.382352941","0.146428571","0.120588235","1.357142857","1.117647059","26.53061224","9.73871734","82.35294118","41.14173228","1.686811024","2.254901961","2.738095238","4.019607843","4.880952381","37.25490196","45.23809524","1.653736298","2.008108361","41.2745098","50.11904762"
