"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00001","","","","3","","","","","4","3","21","8","14","6","","2","","4","6","6","1.1","1.8","4.5","2.9","7.4","24","0.366666667","0.085714286","0.120833333","3","1.714285714","0.375","0.214285714","0.3625","0.207142857","0.5625","0.321428571","12.5","39.18918919","57.14285714","","","2.619047619","4.583333333","6.904761905","12.08333333","10.71428571","18.75","","","17.61904762","30.83333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00010","","","","5","","","","","4","0","14","9","14","9","","2","","3","2","9","0","0.6","0.6","0.6","1.2","14","","0.042857143","0.042857143","1.555555556","1","0","0","0.066666667","0.042857143","0.066666667","0.042857143","0","50","64.28571429","","","0","0","1.428571429","2.222222222","1.428571429","2.222222222","","","2.857142857","4.444444444"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00100","","","","1","","","","","1","6","3","6","14","6","","1","","4","4","7","1.5","0.2","5.2","1.7","6.9","9","0.25","0.066666667","0.188888889","1.5","0.642857143","1","0.428571429","0.283333333","0.121428571","0.866666667","0.371428571","66.66666667","24.63768116","42.85714286","","","3.571428571","8.333333333","4.047619048","9.444444444","12.38095238","28.88888889","","","16.42857143","38.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00101","","","","1","","","","","1","9","10","9","14","7","","1","","3","4","8","1","0.5","1.9","1.5","3.4","19","0.111111111","0.05","0.078947368","2.111111111","1.357142857","1","0.642857143","0.166666667","0.107142857","0.211111111","0.135714286","47.36842105","44.11764706","64.28571429","","","2.380952381","3.703703704","3.571428571","5.555555556","4.523809524","7.037037037","","","8.095238095","12.59259259"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00102","","","","2","","","","","2","3","26","8","14","8","","2","","5","5","6","0.7","4.3","3.9","5","8.9","29","0.233333333","0.165384615","0.172413793","3.625","2.071428571","0.375","0.214285714","0.625","0.357142857","0.4875","0.278571429","10.34482759","56.17977528","57.14285714","","","1.666666667","2.916666667","11.9047619","20.83333333","9.285714286","16.25","","","21.19047619","37.08333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00103","","","","1","18.05","50.85","0.383067","1.767511","1","9","25","9","14","9","8","1","66.8222046","4","5","7","1.1","1.3","3.5","2.4","5.9","34","0.122222222","0.052","0.070588235","3.777777778","2.428571429","1","0.642857143","0.266666667","0.171428571","0.388888889","0.25","26.47058824","40.6779661","64.28571429","35.49655851","0.851917404","2.619047619","4.074074074","5.714285714","8.888888889","8.333333333","12.96296296","2.028374772","3.155249645","14.04761905","21.85185185"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00104","","","","2","","","","","2","9","12","10","14","10","","2","","6","5","7","1.2","1","1.9","2.2","4.1","21","0.133333333","0.083333333","0.104761905","2.1","1.5","0.9","0.642857143","0.22","0.157142857","0.19","0.135714286","42.85714286","53.65853659","71.42857143","","","2.857142857","4","5.238095238","7.333333333","4.523809524","6.333333333","","","9.761904762","13.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00105","","","","1","","","","","2","8","24","10","14","10","","1","","3","4","8","2.2","2.5","3.8","4.7","8.5","32","0.275","0.104166667","0.146875","3.2","2.285714286","0.8","0.571428571","0.47","0.335714286","0.38","0.271428571","25","55.29411765","71.42857143","","","5.238095238","7.333333333","11.19047619","15.66666667","9.047619048","12.66666667","","","20.23809524","28.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00106","","","","1","18.79","50.11","2.8523049","5.4529309","1","11","20","10","14","8","4","1","68.1975784","4","6","6","2.2","1.8","3.5","4","7.5","31","0.2","0.09","0.129032258","3.1","2.214285714","1.1","0.785714286","0.4","0.285714286","0.35","0.25","35.48387097","53.33333333","71.42857143","37.49750549","1.49990022","5.238095238","7.333333333","9.523809524","13.33333333","8.333333333","11.66666667","3.571190999","4.999667398","17.85714286","25"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00107","","","","2","","","","","2","5","7","10","14","6","","2","","3","4","8","0.7","0.6","1.8","1.3","3.1","12","0.14","0.085714286","0.108333333","1.2","0.857142857","0.5","0.357142857","0.13","0.092857143","0.18","0.128571429","41.66666667","41.93548387","71.42857143","","","1.666666667","2.333333333","3.095238095","4.333333333","4.285714286","6","","","7.380952381","10.33333333"
