"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00001","","","","1","1","9","12","10","14","9","1","6","7","8","4","3.5","0.7","10","4.2","14.2","21","0.388888889","0.058333333","0.2","2.1","1.5","0.9","0.642857143","0.42","0.3","1","0.714285714","42.85714286","29.57746479","71.42857143","8.333333333","11.66666667","10","14","23.80952381","33.33333333","33.80952381","47.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00010","","","","3","1","4","22","6","14","5","2","5","4","5","7","0.7","1","8.5","1.7","10.2","26","0.175","0.045454545","0.065384615","4.333333333","1.857142857","0.666666667","0.285714286","0.283333333","0.121428571","1.416666667","0.607142857","15.38461538","16.66666667","42.85714286","1.666666667","3.888888889","4.047619048","9.444444444","20.23809524","47.22222222","24.28571429","56.66666667"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00011","","","","1","2","15","9","10","14","9","1","5","8","8","3","6.7","0.6","10.5","7.3","17.8","24","0.446666667","0.066666667","0.304166667","2.4","1.714285714","1.5","1.071428571","0.73","0.521428571","1.05","0.75","62.5","41.01123596","71.42857143","15.95238095","22.33333333","17.38095238","24.33333333","25","35","42.38095238","59.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00012","","","","2","2","23","19","9","14","9","1","7","9","7","3","15.2","1.8","8.5","17","25.5","42","0.660869565","0.094736842","0.404761905","4.666666667","3","2.555555556","1.642857143","1.888888889","1.214285714","0.944444444","0.607142857","54.76190476","66.66666667","64.28571429","36.19047619","56.2962963","40.47619048","62.96296296","20.23809524","31.48148148","60.71428571","94.44444444"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00013","","","","1","2","34","36","9","14","9","2","5","5","6","4","4.8","2.5","5.5","7.3","12.8","70","0.141176471","0.069444444","0.104285714","7.777777778","5","3.777777778","2.428571429","0.811111111","0.521428571","0.611111111","0.392857143","48.57142857","57.03125","64.28571429","11.42857143","17.77777778","17.38095238","27.03703704","13.0952381","20.37037037","30.47619048","47.40740741"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00014","","","","3","1","3","5","5","14","4","1","4","6","6","6","1.5","0.4","5.5","1.9","7.4","8","0.5","0.08","0.2375","1.6","0.571428571","0.6","0.214285714","0.38","0.135714286","1.1","0.392857143","37.5","25.67567568","35.71428571","3.571428571","10","4.523809524","12.66666667","13.0952381","36.66666667","17.61904762","49.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00015","","","","1","3","33","12","9","14","9","2","5","8","8","3","9","0.6","6.5","9.6","16.1","45","0.272727273","0.05","0.213333333","5","3.214285714","3.666666667","2.357142857","1.066666667","0.685714286","0.722222222","0.464285714","73.33333333","59.62732919","64.28571429","21.42857143","33.33333333","22.85714286","35.55555556","15.47619048","24.07407407","38.33333333","59.62962963"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00016","","","","1","1","18","12","10","14","10","1","4","6","8","3","4.1","0.7","11","4.8","15.8","30","0.227777778","0.058333333","0.16","3","2.142857143","1.8","1.285714286","0.48","0.342857143","1.1","0.785714286","60","30.37974684","71.42857143","9.761904762","13.66666667","11.42857143","16","26.19047619","36.66666667","37.61904762","52.66666667"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00017","","","","2","3","30","29","10","14","10","2","6","7","7","4","12","2.1","7","14.1","21.1","59","0.4","0.072413793","0.238983051","5.9","4.214285714","3","2.142857143","1.41","1.007142857","0.7","0.5","50.84745763","66.82464455","71.42857143","28.57142857","40","33.57142857","47","16.66666667","23.33333333","50.23809524","70.33333333"
"","","GHP2013FMS-PT02","","","","","","","","","GHP2013FMS-PT02-00018","","","","1","1","12","7","10","14","8","1","6","6","8","3","2.6","0.4","12","3","15","19","0.216666667","0.057142857","0.157894737","1.9","1.357142857","1.2","0.857142857","0.3","0.214285714","1.2","0.857142857","63.15789474","20","71.42857143","6.19047619","8.666666667","7.142857143","10","28.57142857","40","35.71428571","50"
