"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00001","","","","2","19.3","50.6","3.594512","5.7325091","1","20","25","34","13","34","13","4","2","69.8273315","4","5","5","4","5","2.1","1","11.6","3.1","14.7","45","0.105","0.04","0.068888889","3.461538462","1.323529412","1.538461538","0.588235294","0.238461538","0.091176471","0.892307692","0.341176471","44.44444444","21.08843537","38.23529412","38.14229249","1.182411067","2.058823529","5.384615385","3.039215686","7.948717949","11.37254902","29.74358974","1.159226536","3.031823249","14.41176471","37.69230769"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00010","","","","1","20.1","50.2","0.918725","2.316458","1","19","36","34","25","34","24","1","2","69.9731598","5","5","6","3","4","3.7","0.9","10.8","4.6","15.4","55","0.194736842","0.025","0.083636364","2.2","1.617647059","0.76","0.558823529","0.184","0.135294118","0.432","0.317647059","34.54545455","29.87012987","73.52941176","40.03984064","1.841832669","3.62745098","4.933333333","4.509803922","6.133333333","10.58823529","14.4","1.805718303","2.455776892","15.09803922","20.53333333"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00011","","","","2","17","50.6","2.850914","4.6206532","1","16","100","34","28","34","28","5","3","61.1047783","4","3","3","7","7","1.2","2.7","7.4","3.9","11.3","116","0.075","0.027","0.03362069","4.142857143","3.411764706","0.571428571","0.470588235","0.139285714","0.114705882","0.264285714","0.217647059","13.79310345","34.51327434","82.35294118","33.59683794","1.31027668","1.176470588","1.428571429","3.823529412","4.642857143","7.254901961","8.80952381","1.28458498","1.55985319","11.07843137","13.45238095"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00012","","","","2","21.1","50.1","1.98807","3.3366179","1","18","79","34","28","34","26","4","3","67.5381927","5","4","4","3","4","1.5","1.9","2.8","3.4","6.2","97","0.083333333","0.024050633","0.035051546","3.464285714","2.852941176","0.642857143","0.529411765","0.121428571","0.1","0.1","0.082352941","18.55670103","54.83870968","82.35294118","42.11576846","1.431936128","1.470588235","1.785714286","3.333333333","4.047619048","2.745098039","3.333333333","1.403858949","1.704685866","6.078431373","7.380952381"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00013","","","","1","20.1","50.4","2.9401851","5.3242302","1","11","7","33","15","34","6","4","1","70.1919479","5","7","5","5","5","2","0.4","8.8","2.4","11.2","18","0.181818182","0.057142857","0.133333333","1.2","0.529411765","0.733333333","0.323529412","0.16","0.070588235","0.586666667","0.258823529","61.11111111","21.42857143","44.11764706","39.88095238","0.957142857","1.960784314","4.444444444","2.352941176","5.333333333","8.62745098","19.55555556","0.93837535","2.126984127","10.98039216","24.88888889"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00014","","","","2","18.2","50.9","1.680806","2.779743","1","49","75","34","30","34","30","5","2","63.2874184","5","6","6","3","4","7.5","2.9","11","10.4","21.4","124","0.153061224","0.038666667","0.083870968","4.133333333","3.647058824","1.633333333","1.441176471","0.346666667","0.305882353","0.366666667","0.323529412","39.51612903","48.59813084","88.23529412","35.75638507","3.718664047","7.352941176","8.333333333","10.19607843","11.55555556","10.78431373","12.22222222","3.645749066","4.131848941","20.98039216","23.77777778"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00015","","","","2","17","50.6","3.8329661","6.0302901","1","24","37","34","28","34","26","3","1","57.165863","5","4","5","1","3","2.1","0.6","8.2","2.7","10.9","61","0.0875","0.016216216","0.044262295","2.178571429","1.794117647","0.857142857","0.705882353","0.096428571","0.079411765","0.292857143","0.241176471","39.3442623","24.7706422","82.35294118","33.59683794","0.907114625","2.058823529","2.5","2.647058824","3.214285714","8.039215686","9.761904762","0.889328063","1.079898363","10.68627451","12.97619048"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00016","","","","2","18.4","50.7","3.964637","5.7130022","1","6","62","34","30","34","24","5","2","63.3808289","5","4","6","1","1","0.4","1.2","15.2","1.6","16.8","68","0.066666667","0.019354839","0.023529412","2.266666667","2","0.2","0.176470588","0.053333333","0.047058824","0.506666667","0.447058824","8.823529412","9.523809524","88.23529412","36.29191321","0.580670611","0.392156863","0.444444444","1.568627451","1.777777778","14.90196078","16.88888889","0.569284913","0.645189568","16.47058824","18.66666667"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00017","","","","1","17.4","50.6","2.634913","4.4593139","1","10","56","34","23","34","20","5","2","61.1371307","4","3","3","9","7","0.3","0.8","5.1","1.1","6.2","66","0.03","0.014285714","0.016666667","2.869565217","1.941176471","0.434782609","0.294117647","0.047826087","0.032352941","0.22173913","0.15","15.15151515","17.74193548","67.64705882","34.38735178","0.37826087","0.294117647","0.434782609","1.078431373","1.594202899","5","7.391304348","0.37084399","0.548204159","6.078431373","8.985507246"
"","","GHP2013KMD-AT02","","","","","","","","","GHP2013KMD-AT02-00018","","","","2","18.6","50.2","3.324976","5.149837","1","8","50","34","30","34","24","5","3","66.8117218","5","6","5","3","3","1.8","1.6","10.6","3.4","14","58","0.225","0.032","0.05862069","1.933333333","1.705882353","0.266666667","0.235294118","0.113333333","0.1","0.353333333","0.311764706","13.79310345","24.28571429","88.23529412","37.05179283","1.259760956","1.764705882","2","3.333333333","3.777777778","10.39215686","11.77777778","1.235059761","1.399734396","13.7254902","15.55555556"
