"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00001","","","","1","2","16","22","10","14","10","1","5","6","5","2.3","9.4","7.3","16.7","38","0.3125","0.104545455","0.192105263","3.8","2.714285714","1.6","1.142857143","0.73","0.521428571","0.94","0.671428571","42.10526316","43.71257485","71.42857143","11.9047619","16.66666667","17.38095238","24.33333333","22.38095238","31.33333333","39.76190476","55.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00010","","","","1","3","24","23","7","14","7","2","4","5","4.6","1","6","5.6","11.6","47","0.191666667","0.043478261","0.119148936","6.714285714","3.357142857","3.428571429","1.714285714","0.8","0.4","0.857142857","0.428571429","51.06382979","48.27586207","50","10.95238095","21.9047619","13.33333333","26.66666667","14.28571429","28.57142857","27.61904762","55.23809524"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00011","","","","1","1","12","15","9","14","8","1","5","5","3.1","0.7","2.7","3.8","6.5","27","0.258333333","0.046666667","0.140740741","3","1.928571429","1.333333333","0.857142857","0.422222222","0.271428571","0.3","0.192857143","44.44444444","58.46153846","64.28571429","7.380952381","11.48148148","9.047619048","14.07407407","6.428571429","10","15.47619048","24.07407407"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00012","","","","2","2","15","7","10","14","10","2","4","5","3.8","1","2.8","4.8","7.6","22","0.253333333","0.142857143","0.218181818","2.2","1.571428571","1.5","1.071428571","0.48","0.342857143","0.28","0.2","68.18181818","63.15789474","71.42857143","9.047619048","12.66666667","11.42857143","16","6.666666667","9.333333333","18.0952381","25.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00013","","","","3","3","10","19","10","14","10","3","3","4","2.3","2","1.4","4.3","5.7","29","0.23","0.105263158","0.148275862","2.9","2.071428571","1","0.714285714","0.43","0.307142857","0.14","0.1","34.48275862","75.43859649","71.42857143","5.476190476","7.666666667","10.23809524","14.33333333","3.333333333","4.666666667","13.57142857","19"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00014","","","","2","1","16","16","10","14","10","1","4","5","3.1","1.8","3.5","4.9","8.4","32","0.19375","0.1125","0.153125","3.2","2.285714286","1.6","1.142857143","0.49","0.35","0.35","0.25","50","58.33333333","71.42857143","7.380952381","10.33333333","11.66666667","16.33333333","8.333333333","11.66666667","20","28"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00015","","","","1","1","5","6","9","14","6","1","3","3","0.7","0.4","2.8","1.1","3.9","11","0.14","0.066666667","0.1","1.222222222","0.785714286","0.555555556","0.357142857","0.122222222","0.078571429","0.311111111","0.2","45.45454545","28.20512821","64.28571429","1.666666667","2.592592593","2.619047619","4.074074074","6.666666667","10.37037037","9.285714286","14.44444444"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00016","","","","3","2","15","10","10","14","10","3","5","5","2.8","1","1","3.8","4.8","25","0.186666667","0.1","0.152","2.5","1.785714286","1.5","1.071428571","0.38","0.271428571","0.1","0.071428571","60","79.16666667","71.42857143","6.666666667","9.333333333","9.047619048","12.66666667","2.380952381","3.333333333","11.42857143","16"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00017","","","","3","2","13","10","10","14","10","3","4","5","2.7","0.6","2.6","3.3","5.9","23","0.207692308","0.06","0.143478261","2.3","1.642857143","1.3","0.928571429","0.33","0.235714286","0.26","0.185714286","56.52173913","55.93220339","71.42857143","6.428571429","9","7.857142857","11","6.19047619","8.666666667","14.04761905","19.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00018","","","","1","1","6","15","10","14","8","1","4","4","1","0.7","4.8","1.7","6.5","21","0.166666667","0.046666667","0.080952381","2.1","1.5","0.6","0.428571429","0.17","0.121428571","0.48","0.342857143","28.57142857","26.15384615","71.42857143","2.380952381","3.333333333","4.047619048","5.666666667","11.42857143","16","15.47619048","21.66666667"
