"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00001","","","","4","18.2","50","1.53161","3.4518411","1","11","54","24","34","10","3","1","67.924614","3","3","7","4","1.3","2","8.3","3.3","11.6","65","0.118181818","0.037037037","0.050769231","2.708333333","1.911764706","0.458333333","0.323529412","0.1375","0.097058824","0.345833333","0.244117647","16.92307692","28.44827586","70.58823529","36.4","1.2012","1.274509804","1.805555556","3.235294118","4.583333333","8.137254902","11.52777778","1.177647059","1.668333333","11.37254902","16.11111111"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00010","","","","3","18","50.7","1.085089","2.9231291","3","6","16","29","34","12","3","3","69.0144958","2","3","7","5","0.7","0.9","5.3","1.6","6.9","22","0.116666667","0.05625","0.072727273","0.75862069","0.647058824","0.206896552","0.176470588","0.055172414","0.047058824","0.182758621","0.155882353","27.27272727","23.1884058","85.29411765","35.50295858","0.568047337","0.68627451","0.804597701","1.568627451","1.83908046","5.196078431","6.091954023","0.556909154","0.652927974","6.764705882","7.931034483"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00011","","","","3","17.2","50.3","1.459235","3.213336","3","40","60","29","34","28","4","4","69.292923","6","5","7","4","5.1","2.6","5.8","7.7","13.5","100","0.1275","0.043333333","0.077","3.448275862","2.941176471","1.379310345","1.176470588","0.265517241","0.226470588","0.2","0.170588235","40","57.03703704","85.29411765","34.19483101","2.633001988","5","5.862068966","7.549019608","8.850574713","5.68627451","6.666666667","2.581374498","3.026439067","13.23529412","15.51724138"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00012","","","","1","18.5","50.3","1.658252","3.455951","1","38","80","29","34","29","5","1","68.1749878","6","6","8","2","6.9","3.4","5.6","10.3","15.9","118","0.181578947","0.0425","0.087288136","4.068965517","3.470588235","1.310344828","1.117647059","0.355172414","0.302941176","0.193103448","0.164705882","32.20338983","64.77987421","85.29411765","36.77932406","3.788270378","6.764705882","7.931034483","10.09803922","11.83908046","5.490196078","6.436781609","3.713990566","4.354333768","15.58823529","18.27586207"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00013","","","","1","16.8","50.5","1.209249","2.7466459","1","9","40","27","34","25","3","1","66.5544128","4","3","8","4","1.7","1.9","9.3","3.6","12.9","49","0.188888889","0.0475","0.073469388","1.814814815","1.441176471","0.333333333","0.264705882","0.133333333","0.105882353","0.344444444","0.273529412","18.36734694","27.90697674","79.41176471","33.26732673","1.197623762","1.666666667","2.098765432","3.529411765","4.444444444","9.117647059","11.48148148","1.174140944","1.478547855","12.64705882","15.92592593"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00014","","","","3","18.4","50.4","2.0015359","4.1310449","3","27","32","27","34","25","6","3","65.7883224","4","4","6","4","3.9","2.1","3.1","6","9.1","59","0.144444444","0.065625","0.101694915","2.185185185","1.735294118","1","0.794117647","0.222222222","0.176470588","0.114814815","0.091176471","45.76271186","65.93406593","79.41176471","36.50793651","2.19047619","3.823529412","4.814814815","5.882352941","7.407407407","3.039215686","3.827160494","2.147525677","2.704291593","8.921568627","11.2345679"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00015","","","","4","17.4","50.9","1.4389679","3.2902269","4","15","40","29","34","27","6","4","65.5592957","4","5","8","2","2.5","2.4","6.4","4.9","11.3","55","0.166666667","0.06","0.089090909","1.896551724","1.617647059","0.517241379","0.441176471","0.168965517","0.144117647","0.220689655","0.188235294","27.27272727","43.36283186","85.29411765","34.18467583","1.675049116","2.450980392","2.873563218","4.803921569","5.632183908","6.274509804","7.356321839","1.642205016","1.925343811","11.07843137","12.98850575"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00016","","","","3","17.3","50.9","1.6758879","3.6102321","3","10","13","29","34","16","5","3","67.6178741","4","5","8","4","1.4","0.8","8.6","2.2","10.8","23","0.14","0.061538462","0.095652174","0.793103448","0.676470588","0.344827586","0.294117647","0.075862069","0.064705882","0.296551724","0.252941176","43.47826087","20.37037037","85.29411765","33.98821218","0.747740668","1.37254902","1.609195402","2.156862745","2.528735632","8.431372549","9.885057471","0.733079086","0.859472032","10.58823529","12.4137931"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00017","","","","2","15.5","50","2.038559","3.5421979","3","47","80","29","34","28","4","3","66.3912506","6","5","7","2","6.4","2.7","6.8","9.1","15.9","127","0.136170213","0.03375","0.071653543","4.379310345","3.735294118","1.620689655","1.382352941","0.313793103","0.267647059","0.234482759","0.2","37.00787402","57.2327044","85.29411765","31","2.821","6.274509804","7.356321839","8.921568627","10.45977011","6.666666667","7.816091954","2.765686275","3.242528736","15.58823529","18.27586207"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00018","","","","2","17.1","50.2","1.8262759","3.7072389","3","7","34","29","34","22","5","3","68.4813156","2","3","8","3","0.8","2.8","9.2","3.6","12.8","41","0.114285714","0.082352941","0.087804878","1.413793103","1.205882353","0.24137931","0.205882353","0.124137931","0.105882353","0.317241379","0.270588235","17.07317073","28.125","85.29411765","34.06374502","1.226294821","0.784313725","0.91954023","3.529411765","4.137931034","9.019607843","10.57471264","1.202249824","1.409534277","12.54901961","14.71264368"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00019","","","","1","18.9","50.5","2.1016321","3.9551301","1","42","32","29","34","29","5","1","67.3595734","7","6","8","4","9.3","2","6.3","11.3","17.6","74","0.221428571","0.0625","0.152702703","2.551724138","2.176470588","1.448275862","1.235294118","0.389655172","0.332352941","0.217241379","0.185294118","56.75675676","64.20454545","85.29411765","37.42574257","4.229108911","9.117647059","10.68965517","11.07843137","12.98850575","6.176470588","7.24137931","4.146185207","4.861044725","17.25490196","20.22988506"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00002","","","","2","16","50.6","1.6062959","3.4106901","1","9","25","27","34","13","6","1","61.92","3","3","7","2","0.9","1.1","4.5","2","6.5","34","0.1","0.044","0.058823529","1.259259259","1","0.333333333","0.264705882","0.074074074","0.058823529","0.166666667","0.132352941","26.47058824","30.76923077","79.41176471","31.62055336","0.632411067","0.882352941","1.111111111","1.960784314","2.469135802","4.411764706","5.555555556","0.62001085","0.780754404","6.37254902","8.024691358"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00020","","","","1","18","50.6","1.32026","3.052073","1","34","32","29","34","29","6","2","66.6989746","5","5","7","5","5.5","1.9","3.6","7.4","11","66","0.161764706","0.059375","0.112121212","2.275862069","1.941176471","1.172413793","1","0.255172414","0.217647059","0.124137931","0.105882353","51.51515152","67.27272727","85.29411765","35.57312253","2.632411067","5.392156863","6.32183908","7.254901961","8.505747126","3.529411765","4.137931034","2.580795164","3.025759847","10.78431373","12.64367816"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00021","","","","1","16.6","50.8","1.528298","3.324935","3","10","28","30","34","22","6","3","65.0855865","2","3","7","2","1","1.2","3.8","2.2","6","38","0.1","0.042857143","0.057894737","1.266666667","1.117647059","0.333333333","0.294117647","0.073333333","0.064705882","0.126666667","0.111764706","26.31578947","36.66666667","88.23529412","32.67716535","0.718897638","0.980392157","1.111111111","2.156862745","2.444444444","3.725490196","4.222222222","0.704801606","0.798775153","5.882352941","6.666666667"
"","","GHP2013TON-AT02","","","","","","","","","GHP2013TON-AT02-00022","","","","1","17.8","50.73","1.359933","3.242615","2","8","30","27","34","17","3","2","66.7933655","2","3","8","4","1.1","1","9.8","2.1","11.9","38","0.1375","0.033333333","0.055263158","1.407407407","1.117647059","0.296296296","0.235294118","0.077777778","0.061764706","0.362962963","0.288235294","21.05263158","17.64705882","79.41176471","35.0877193","0.736842105","1.078431373","1.358024691","2.058823529","2.592592593","9.607843137","12.09876543","0.722394221","0.909681611","11.66666667","14.69135802"
