"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00001","","","","","","","","","","0","0","1","10","0","","","","3","8","0","0","0.6","0","0.6","0","","","","0","0","0","0","0","0","0.6","0.06","","0","10","","","0","0","0","0","2","20","","","2","20"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00010","","","","","","","","1","1","0","1","2","10","1","1","","3","3","8","0","0.1","0.9","0.1","1","1","","0.1","0.1","0.5","0.1","0","0","0.05","0.01","0.45","0.09","0","10","20","","","0","0","0.333333333","1.666666667","3","15","","","3.333333333","16.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00100","","","","","","","","","","0","0","7","10","0","","","","8","3","0","0","8","0","8","0","","","","0","0","0","0","0","0","1.142857143","0.8","","0","70","","","0","0","0","0","26.66666667","38.0952381","","","26.66666667","38.0952381"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00101","","","","","","","","1","1","0","33","10","10","5","1","","3","1","9","0","1.1","2.4","1.1","3.5","33","","0.033333333","0.033333333","3.3","3.3","0","0","0.11","0.11","0.24","0.24","0","31.42857143","100","","","0","0","3.666666667","3.666666667","8","8","","","11.66666667","11.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00102","","","","","","","","","","0","0","1","10","0","","","","1","9","0","0","1.4","0","1.4","0","","","","0","0","0","0","0","0","1.4","0.14","","0","10","","","0","0","0","0","4.666666667","46.66666667","","","4.666666667","46.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00103","","","","","","","","3","1","0","42","10","10","10","1","","2","9","3","0","2.9","7.1","2.9","10","42","","0.069047619","0.069047619","4.2","4.2","0","0","0.29","0.29","0.71","0.71","0","29","100","","","0","0","9.666666667","9.666666667","23.66666667","23.66666667","","","33.33333333","33.33333333"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00104","","","","","","","","","","0","0","10","10","0","","","","9","2","0","0","8.1","0","8.1","0","","","","0","0","0","0","0","0","0.81","0.81","","0","100","","","0","0","0","0","27","27","","","27","27"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00105","","","","","","","","","","0","0","0","10","0","","","","1","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00106","","","","","","","","","","0","0","1","10","0","","","","1","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.5","0.05","","0","10","","","0","0","0","0","1.666666667","16.66666667","","","1.666666667","16.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00107","","","","","","","","1","1","0","13","6","10","4","1","","3","3","7","0","0.9","1.7","0.9","2.6","13","","0.069230769","0.069230769","2.166666667","1.3","0","0","0.15","0.09","0.283333333","0.17","0","34.61538462","60","","","0","0","3","5","5.666666667","9.444444444","","","8.666666667","14.44444444"
