"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00001","","","","3","0","1.62","0.77","19.47","50.11","2.96","4.34","1","71","45","30","30","30","30","2","6","3.64","2","72.22","3","38.85452006","5","7","2.53","5","4","4","17.3","3.4","15.2","20.7","35.9","116","0.243661972","0.075555556","0.178448276","3.866666667","3.866666667","2.366666667","2.366666667","0.69","0.69","0.506666667","0.506666667","61.20689655","57.66016713","100","8.042885652","19.22222222","19.22222222","23","23","16.88888889","16.88888889","8.936539613","8.936539613","39.88888889","39.88888889"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00010","","","","2","0.8","1.92","1.1","15.56","50.93","2.63","4.28","1","77","119","30","30","30","30","6","2","3.55","2","64.73","8","30.55173768","6","8","8.16","8","1","1","16.4","8.3","42.6","24.7","67.3","196","0.212987013","0.069747899","0.126020408","6.533333333","6.533333333","2.566666667","2.566666667","0.823333333","0.823333333","1.42","1.42","39.28571429","36.7013373","100","7.546279207","18.22222222","18.22222222","27.44444444","27.44444444","47.33333333","47.33333333","8.384754674","8.384754674","74.77777778","74.77777778"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00011","","","","1","2.92","1.63","0.95","16.03","50.57","2.49","3.93","1","95","98","30","30","30","30","6","2","2.53","2","67.36","8","31.69863555","6","8","7.79","8","1","1","22.3","7","26.4","29.3","55.7","193","0.234736842","0.071428571","0.151813472","6.433333333","6.433333333","3.166666667","3.166666667","0.976666667","0.976666667","0.88","0.88","49.22279793","52.6032316","100","9.287700218","24.77777778","24.77777778","32.55555556","32.55555556","29.33333333","29.33333333","10.31966691","10.31966691","61.88888889","61.88888889"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00012","","","","2","0","1.6","0.99","19.49","50.61","1.97","3.3","1","30","92","30","30","30","30","1","6","3.76","1","69.45","5","38.51017585","5","6","5.65","7","5","4","6","7","49.8","13","62.8","122","0.2","0.076086957","0.106557377","4.066666667","4.066666667","1","1","0.433333333","0.433333333","1.66","1.66","24.59016393","20.70063694","100","5.006322861","6.666666667","6.666666667","14.44444444","14.44444444","55.33333333","55.33333333","5.562580957","5.562580957","69.77777778","69.77777778"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00013","","","","1","0","1.65","0.81","17.01","50.52","3.83","5.65","2","75","70","30","30","30","30","2","6","3.21","1","66.52","3","33.66983373","5","8","4.94","6","3","3","37.1","9.2","32.6","46.3","78.9","145","0.494666667","0.131428571","0.319310345","4.833333333","4.833333333","2.5","2.5","1.543333333","1.543333333","1.086666667","1.086666667","51.72413793","58.68187579","100","15.58913302","41.22222222","41.22222222","51.44444444","51.44444444","36.22222222","36.22222222","17.32125891","17.32125891","87.66666667","87.66666667"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00014","","","","2","0","1.43","0.83","19.47","50.45","1.95","3.49","1","73","75","30","30","30","30","5","3","3.4","2","72.15","3","38.59266601","6","8","5.51","6","5","5","28.1","7.4","17.8","35.5","53.3","148","0.384931507","0.098666667","0.239864865","4.933333333","4.933333333","2.433333333","2.433333333","1.183333333","1.183333333","0.593333333","0.593333333","49.32432432","66.60412758","100","13.70039643","31.22222222","31.22222222","39.44444444","39.44444444","19.77777778","19.77777778","15.2226627","15.2226627","59.22222222","59.22222222"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00015","","","","1","0","1.58","0.88","16.34","50.87","2.97","4.7","2","160","208","30","30","30","30","4","8","2.92","2","65.65","5","32.12109298","5","7","10.48","8","3","3","43","15","20.4","58","78.4","368","0.26875","0.072115385","0.157608696","12.26666667","12.26666667","5.333333333","5.333333333","1.933333333","1.933333333","0.68","0.68","43.47826087","73.97959184","100","18.63023393","47.77777778","47.77777778","64.44444444","64.44444444","22.66666667","22.66666667","20.70025992","20.70025992","87.11111111","87.11111111"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00016","","","","3","0","1.39","0.61","19.19","50.84","3.92","5.55","1","9","121","30","20","30","18","5","3","2.83","1","71.21","3","37.74586939","5","3","1.72","7","4","3","1.9","6","41.1","7.9","49","130","0.211111111","0.049586777","0.060769231","6.5","4.333333333","0.45","0.3","0.395","0.263333333","2.055","1.37","6.923076923","16.12244898","66.66666667","2.981923682","2.111111111","3.166666667","8.777777778","13.16666667","45.66666667","68.5","3.313248536","4.969872804","54.44444444","81.66666667"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00017","","","","3","","2.46","1.37","10.72","50.44","5.86","8.67","2","120","132","30","30","30","30","7","6","4.05","3","46.88","3","21.25297383","4","8","20.33","6","4","4","42","7.9","18.2","49.9","68.1","252","0.35","0.059848485","0.198015873","8.4","8.4","4","4","1.663333333","1.663333333","0.606666667","0.606666667","47.61904762","73.27459618","100","10.60523394","46.66666667","46.66666667","55.44444444","55.44444444","20.22222222","20.22222222","11.78359327","11.78359327","75.66666667","75.66666667"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00018","","","","2","0","1.57","0.84","18.16","50.42","2.1","3.33","1","35","92","30","28","30","26","1","8","3.14","2","69.77","3","36.01745339","5","6","7.7","8","4","4","10","5.4","34.6","15.4","50","127","0.285714286","0.058695652","0.121259843","4.535714286","4.233333333","1.25","1.166666667","0.55","0.513333333","1.235714286","1.153333333","27.55905512","30.8","93.33333333","5.546687822","11.11111111","11.9047619","17.11111111","18.33333333","38.44444444","41.19047619","6.162986469","6.603199788","55.55555556","59.52380952"
