"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00001","","","","3","0","1.4851692","0.8532482","20.01","50.81","1.9364015","3.1581929","4","42","50","30","30","30","30","4","8","4.0068231","1","72.1020966","3","39.38201142","6","5","1.3134769","5","4","5","9.9","3.3","6.6","13.2","19.8","92","0.235714286","0.066","0.143478261","3.066666667","3.066666667","1.4","1.4","0.44","0.44","0.22","0.22","45.65217391","66.66666667","100","5.198425507","11","11","14.66666667","14.66666667","7.333333333","7.333333333","5.776028341","5.776028341","22","22"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00010","","","","3","0","2.0198352","0.9493852","18.7","50.47","1.1437567","1.6395222","3","43","23","26","26","30","26","8","8","4.9461341","2","69.5057831","5","37.05171389","7","7","6.4731064","5","3","3","13.3","3.2","8","16.5","24.5","66","0.309302326","0.139130435","0.25","2.538461538","2.2","1.653846154","1.433333333","0.634615385","0.55","0.307692308","0.266666667","65.15151515","67.34693878","86.66666667","6.113532792","14.77777778","17.05128205","18.33333333","21.15384615","8.888888889","10.25641026","6.792814213","7.837862554","27.22222222","31.41025641"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00011","","","","3","0","1.5176642","0.8864831","19.99","50.84","1.967528","3.0791221","3","48","32","21","21","30","21","6","6","3.8338621","2","73.0361862","2","39.31943352","7","7","1.94577","6","1","3","19.6","2.9","9.6","22.5","32.1","80","0.408333333","0.090625","0.28125","3.80952381","2.666666667","2.285714286","1.6","1.071428571","0.75","0.457142857","0.32","60","70.09345794","70","8.846872541","21.77777778","31.11111111","25","35.71428571","10.66666667","15.23809524","9.829858379","14.04265483","35.66666667","50.95238095"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00012","","","","3","0","1.7029731","0.9798093","18.25","50.79","1.2529961","2.3749871","3","62","42","28","28","30","27","5","3","4.3648229","1","71.299263","3","35.93227013","7","6","2.6937006","6","3","3","10.3","2.7","7.8","13","20.8","104","0.166129032","0.064285714","0.125","3.714285714","3.466666667","2.214285714","2.066666667","0.464285714","0.433333333","0.278571429","0.26","59.61538462","62.5","93.33333333","4.671195117","11.44444444","12.26190476","14.44444444","15.47619048","8.666666667","9.285714286","5.190216797","5.560946568","23.11111111","24.76190476"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00013","","","","2","0","1.7303642","0.9027874","17.44","50.03","2.549047","3.7354889","3","28","30","22","22","30","22","5","3","4.4974556","3","69.5871582","8","34.85908455","6","6","5.1450315","6","4","4","6.4","2.4","7","8.8","15.8","58","0.228571429","0.08","0.151724138","2.636363636","1.933333333","1.272727273","0.933333333","0.4","0.293333333","0.318181818","0.233333333","48.27586207","55.69620253","73.33333333","3.06759944","7.111111111","9.696969697","9.777777778","13.33333333","7.777777778","10.60606061","3.408443823","4.64787794","17.55555556","23.93939394"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00014","","","","2","0.638457","1.8339486","1.0229733","20.3","50.31","1.9164195","3.0279965","3","75","21","22","22","30","22","1","8","4.6343431","1","72.7718124","3","40.34983105","7","7","1.4889473","8","1","3","18","1.5","25","19.5","44.5","96","0.24","0.071428571","0.203125","4.363636364","3.2","3.409090909","2.5","0.886363636","0.65","1.136363636","0.833333333","78.125","43.82022472","73.33333333","7.868217054","20","27.27272727","21.66666667","29.54545455","27.77777778","37.87878788","8.742463394","11.92154099","49.44444444","67.42424242"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00015","","","","2","0","1.8595597","0.910516","17.3","50.68","1.8894887","2.6226587","2","9","9","10","10","30","10","4","8","5.0415602","2","71.0382156","3","34.13575375","6","6","3.5245886","6","3","4","2.8","0.5","3","3.3","6.3","18","0.311111111","0.055555556","0.183333333","1.8","0.6","0.9","0.3","0.33","0.11","0.3","0.1","50","52.38095238","33.33333333","1.126479874","3.111111111","9.333333333","3.666666667","11","3.333333333","10","1.251644304","3.754932912","7","21"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00016","","","","3","0","1.4680523","0.847055","18.9","50.13","0.6013713","1.0657855","3","36","17","27","27","30","27","5","3","3.3877995","1","75.6531448","3","37.70197487","7","7","1.0578086","7","3","3","12.6","1.2","18","13.8","31.8","53","0.35","0.070588235","0.260377358","1.962962963","1.766666667","1.333333333","1.2","0.511111111","0.46","0.666666667","0.6","67.9245283","43.39622642","90","5.202872531","14","15.55555556","15.33333333","17.03703704","20","22.22222222","5.780969479","6.423299422","35.33333333","39.25925926"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00017","","","","3","0","1.7268409","0.7743428","17.5","50.61","1.2808464","1.7715431","3","64","27","27","27","30","27","4","8","3.3440545","3","69.5322266","8","34.57814661","7","7","6.9483719","5","3","4","17.2","2.1","9.4","19.3","28.7","91","0.26875","0.077777778","0.212087912","3.37037037","3.033333333","2.37037037","2.133333333","0.714814815","0.643333333","0.348148148","0.313333333","70.32967033","67.24738676","90","6.673582296","19.11111111","21.2345679","21.44444444","23.82716049","10.44444444","11.60493827","7.41509144","8.238990489","31.88888889","35.43209877"
"","","GHP2014FMS-AT01","","","","","","","","","GHP2014FMS-AT01-00018","","","","3","35.9866104","2.615417","1.4213568","9.5","50.37","5.1184459","7.0766125","4","73","43","27","27","30","27","4","8","4.4624162","1","44.9447594","3","18.8604328","7","8","19.9172153","6","4","3","22.1","2.8","18.8","24.9","43.7","116","0.302739726","0.065116279","0.214655172","4.296296296","3.866666667","2.703703704","2.433333333","0.922222222","0.83","0.696296296","0.626666667","62.93103448","56.97940503","90","4.696247767","24.55555556","27.28395062","27.66666667","30.74074074","20.88888889","23.20987654","5.218053074","5.797836749","48.55555556","53.95061728"
