"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00001","","","","3","0","1.499921","0.7548944","18.7","50.43","2.3193455","3.3289437","2","50","20","34","30","34","30","3","6","3.6110728","2","72.5817337","5","37.08110252","5","8","0.0229124","5","4","5.1","6.1","19","11.2","30.2","70","0.102","0.305","0.16","2.333333333","2.058823529","1.666666667","1.470588235","0.373333333","0.329411765","0.633333333","0.558823529","71.42857143","37.08609272","88.23529412","4.153083482","5","5.666666667","10.98039216","12.44444444","18.62745098","21.11111111","4.071650473","4.614537202","29.60784314","33.55555556"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00010","","","","4","","2.5464644","1.3736206","11.5","50.64","3.400372","5.5582147","3","64","56","34","30","34","30","6","4","4.8070922","5","50.8279381","3","22.7093207","5","6","22.6732082","8","1","35.2","8.1","28.6","43.3","71.9","120","0.55","0.144642857","0.360833333","4","3.529411765","2.133333333","1.882352941","1.443333333","1.273529412","0.953333333","0.841176471","53.33333333","60.22253129","88.23529412","9.833135861","34.50980392","39.11111111","42.45098039","48.11111111","28.03921569","31.77777778","9.640329275","10.92570651","70.49019608","79.88888889"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00011","","","","2","","2.8332577","1.4789134","11.1","50.77","4.312398","6.3890553","2","85","78","34","30","34","30","6","4","6.1346965","3","49.8681564","3","21.8633051","6","8","16.8168926","8","1","53.3","11.8","22","65.1","87.1","163","0.627058824","0.151282051","0.399386503","5.433333333","4.794117647","2.833333333","2.5","2.17","1.914705882","0.733333333","0.647058824","52.14723926","74.74167623","88.23529412","14.23301162","52.25490196","59.22222222","63.82352941","72.33333333","21.56862745","24.44444444","13.95393296","15.81445736","85.39215686","96.77777778"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00012","","","","4","","2.4624057","1.3706936","10.5","50.66","4.1543322","6.3517823","2","27","50","34","30","34","30","3","7","5.0674353","3","51.7723961","3","20.72641137","5","5","16.7516632","7","4","14.8","7.2","20","22","42","77","0.548148148","0.144","0.285714286","2.566666667","2.264705882","0.9","0.794117647","0.733333333","0.647058824","0.666666667","0.588235294","35.06493506","52.38095238","88.23529412","4.559810501","14.50980392","16.44444444","21.56862745","24.44444444","19.60784314","22.22222222","4.470402452","5.066456113","41.17647059","46.66666667"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00013","","","","2","0","1.69015","0.740097","20.3","50.62","0.9666869","1.4261382","2","56","22","33","30","34","30","3","6","4.2628465","2","72.5231628","3","40.1027262","5","7","8.0135336","5","3","52.3","5.1","17.2","57.4","74.6","78","0.933928571","0.231818182","0.735897436","2.6","2.294117647","1.866666667","1.647058824","1.913333333","1.688235294","0.573333333","0.505882353","71.79487179","76.94369973","88.23529412","23.01896484","51.2745098","58.11111111","56.2745098","63.77777778","16.8627451","19.11111111","22.56761258","25.5766276","73.1372549","82.88888889"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00014","","","","2","0","1.9684247","1.0662501","19.1","50.69","0.7884279","1.4499439","4","15","18","34","19","34","30","5","3","5.7955728","3","69.1954193","3","37.68001578","5","5","9.4297094","5","5","7.9","2.1","10.2","10","20.2","33","0.526666667","0.116666667","0.303030303","1.736842105","0.970588235","0.789473684","0.441176471","0.526315789","0.294117647","0.536842105","0.3","45.45454545","49.5049505","55.88235294","3.768001578","7.745098039","13.85964912","9.803921569","17.54385965","10","17.89473684","3.694119194","6.610529085","19.80392157","35.43859649"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00015","","","","2","0","1.4464682","0.6323037","19.2","50.58","0.680569","1.8222367","2","78","89","34","30","34","30","4","8","2.85338","3","75.3899231","5","37.95966785","5","8","10.9245987","7","1","80.3","21.4","21.2","101.7","122.9","167","1.029487179","0.240449438","0.608982036","5.566666667","4.911764706","2.6","2.294117647","3.39","2.991176471","0.706666667","0.623529412","46.70658683","82.75020342","88.23529412","38.60498221","78.7254902","89.22222222","99.70588235","113","20.78431373","23.55555556","37.84802177","42.89442467","120.4901961","136.5555556"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00016","","","","3","0","1.556157","0.6897638","19.5","50.61","0.8577016","1.8719501","4","38","22","30","30","34","27","5","3","3.5814388","5","73.9248657","2","38.5299348","6","8","9.2312336","5","3","30.7","4.3","24","35","59","60","0.807894737","0.195454545","0.583333333","2","1.764705882","1.266666667","1.117647059","1.166666667","1.029411765","0.8","0.705882353","63.33333333","59.3220339","88.23529412","13.48547718","30.09803922","34.11111111","34.31372549","38.88888889","23.52941176","26.66666667","13.22105606","14.98386353","57.84313725","65.55555556"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00017","","","","3","0","1.737919","0.8008281","21","50.56","1.8660791","2.8644454","3","108","62","34","30","34","30","8","7","4.6836338","5","69.7979126","2","41.53481013","4","7","5.661777","5","3","61","8.6","16.6","69.6","86.2","170","0.564814815","0.138709677","0.409411765","5.666666667","5","3.6","3.176470588","2.32","2.047058824","0.553333333","0.488235294","63.52941176","80.7424594","88.23529412","28.90822785","59.80392157","67.77777778","68.23529412","77.33333333","16.2745098","18.44444444","28.34139985","32.12025316","84.50980392","95.77777778"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00018","","","","2","0","1.9102527","0.9445893","19.2","50.98","1.5878776","2.5326903","3","54","65","34","30","34","30","1","8","4.8282695","2","68.941597","2","37.66182817","5","6","3.8799791","7","3","32.3","7.1","33","39.4","72.4","119","0.598148148","0.109230769","0.331092437","3.966666667","3.5","1.8","1.588235294","1.313333333","1.158823529","1.1","0.970588235","45.37815126","54.4198895","88.23529412","14.8387603","31.66666667","35.88888889","38.62745098","43.77777778","32.35294118","36.66666667","14.54780421","16.48751144","70.98039216","80.44444444"
