"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00001","","","","","","10","2","0","0","0","0","","","","","","","","1","7","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00002","","","","50.11","20.81","10","9","9","9","25","9","1","1","5","2","3","5","7","8","3","3","13.1","0.4","2.6","13.5","16.1","34","0.524","0.044444444","0.397058824","3.777777778","3.4","2.777777778","2.5","1.5","1.35","0.288888889","0.26","73.52941176","83.85093168","90","41.528637","5.606365995","43.66666667","48.51851852","45","50","8.666666667","9.62962963","18.68788665","20.7643185","53.66666667","59.62962963"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00003","","","","","","10","8","8","7","3","11","3","1","","","3","3","4","5","3","5","1.7","1.3","1.2","3","4.2","14","0.566666667","0.118181818","0.214285714","1.75","1.4","0.375","0.3","0.375","0.3","0.15","0.12","21.42857143","71.42857143","80","","","5.666666667","7.083333333","10","12.5","4","5","","","14","17.5"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00004","","","","50.46","20.06","10","10","10","9","10","17","4","1","5","2","3","5","4","7","4","4","3.2","1.1","2.6","4.3","6.9","27","0.32","0.064705882","0.159259259","2.7","2.7","1","1","0.43","0.43","0.26","0.26","37.03703704","62.31884058","100","39.7542608","1.709433214","10.66666667","10.66666667","14.33333333","14.33333333","8.666666667","8.666666667","5.698110715","5.698110715","23","23"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00005","","","","50.81","22.17","10","10","10","10","18","19","2","1","5","8","2","5","6","7","4","5","8.2","1.2","5","9.4","14.4","37","0.455555556","0.063157895","0.254054054","3.7","3.7","1.8","1.8","0.94","0.94","0.5","0.5","48.64864865","65.27777778","100","43.63314308","4.10151545","27.33333333","27.33333333","31.33333333","31.33333333","16.66666667","16.66666667","13.67171817","13.67171817","48","48"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00006","","","","50.95","20.28","10","10","10","6","4","19","4","1","3","2","2","4","3","7","3","5","0.1","0.1","4.8","0.2","5","23","0.025","0.005263158","0.008695652","2.3","2.3","0.4","0.4","0.02","0.02","0.48","0.48","17.39130435","4","100","39.80372915","0.079607458","0.333333333","0.333333333","0.666666667","0.666666667","16","16","0.265358194","0.265358194","16.66666667","16.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00007","","","","50.35","21.14","10","10","10","10","9","25","2","1","9","9","2","5","6","6","3","6","5.1","3.1","0.8","8.2","9","34","0.566666667","0.124","0.241176471","3.4","3.4","0.9","0.9","0.82","0.82","0.08","0.08","26.47058824","91.11111111","100","41.98609732","3.44285998","17","17","27.33333333","27.33333333","2.666666667","2.666666667","11.47619993","11.47619993","30","30"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00008","","","","","","10","0","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00009","","","","50.68","15.66","10","10","10","10","17","21","4","2","8","5","3","5","6","4","5","8","8.6","3.4","1.4","12","13.4","38","0.505882353","0.161904762","0.315789474","3.8","3.8","1.7","1.7","1.2","1.2","0.14","0.14","44.73684211","89.55223881","100","30.89976322","3.707971586","28.66666667","28.66666667","40","40","4.666666667","4.666666667","12.35990529","12.35990529","44.66666667","44.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00010","","","","50.23","18.06","10","10","10","10","8","20","3","1","5","2","3","5","6","6","3","4","4.1","2.4","1.8","6.5","8.3","28","0.5125","0.12","0.232142857","2.8","2.8","0.8","0.8","0.65","0.65","0.18","0.18","28.57142857","78.31325301","100","35.9546088","2.337049572","13.66666667","13.66666667","21.66666667","21.66666667","6","6","7.79016524","7.79016524","27.66666667","27.66666667"
