"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00001","","","","3","1.44","1.92","1.45","20.87","50.2","2.74","4.49","4.31","69.05","41.57370518","1.06","1","5","35","36","36","45","29","2","3","3","4","7","3","4","1","2.7","10","3.7","13.7","40","0.2","0.077142857","0.0925","1.111111111","0.888888889","0.138888889","0.111111111","0.102777778","0.082222222","0.277777778","0.222222222","12.5","27.00729927","80","1.538227092","0.740740741","0.925925926","2.740740741","3.425925926","7.407407407","9.259259259","1.139427475","1.424284344","10.14814815","12.68518519"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00010","","","","3","2.77","2.25","0.99","21.11","50.08","2.1","6.3","5.64","67.35","42.15255591","1.29","1","4","13","45","45","45","7","2","3","3","4","6","1","5","0.7","0.6","10","1.3","11.3","17","0.175","0.046153846","0.076470588","0.377777778","0.377777778","0.088888889","0.088888889","0.028888889","0.028888889","0.222222222","0.222222222","23.52941176","11.50442478","100","0.547983227","0.518518519","0.518518519","0.962962963","0.962962963","7.407407407","7.407407407","0.405913501","0.405913501","8.37037037","8.37037037"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00011","","","","5","0.55","2.04","1.2","21.74","50.36","2.4","5.97","4.65","67.93","43.16918189","1.11","3","18","75","39","39","45","33","4","3","4","5","8","3","3","2.7","4.2","13.5","6.9","20.4","93","0.15","0.056","0.074193548","2.384615385","2.066666667","0.461538462","0.4","0.176923077","0.153333333","0.346153846","0.3","19.35483871","33.82352941","86.66666667","2.97867355","2","2.307692308","5.111111111","5.897435897","10","11.53846154","2.206424852","2.545874829","15.11111111","17.43589744"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00012","","","","3","4.94","1.9","1.23","18.8","50.2","2.58","7.21","4.29","67.09","37.4501992","1.13","2","92","88","36","36","45","36","3","2","6","8","8","1","5","20.7","4.8","11.5","25.5","37","180","0.225","0.054545455","0.141666667","5","4","2.555555556","2.044444444","0.708333333","0.566666667","0.319444444","0.255555556","51.11111111","68.91891892","80","9.549800797","15.33333333","19.16666667","18.88888889","23.61111111","8.518518519","10.64814815","7.073926516","8.842408145","27.40740741","34.25925926"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00013","","","","5","38.59","3.26","8.76","19.2","50.57","13.36","15.82","4.59","37.15","37.96717421","1.82","3","50","75","35","35","45","35","4","3","5","8","4","1","5","10","4.9","8","14.9","22.9","125","0.2","0.065333333","0.1192","3.571428571","2.777777778","1.428571429","1.111111111","0.425714286","0.331111111","0.228571429","0.177777778","40","65.06550218","77.77777778","5.657108958","7.407407407","9.523809524","11.03703704","14.19047619","5.925925926","7.619047619","4.19045108","5.387722817","16.96296296","21.80952381"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00014","","","","4","6.11","2.32","1.34","18.09","50.04","2.57","10.41","4.99","61.76","36.15107914","1.21","2","24","63","35","35","45","29","4","3","5","7","7","1","4","4.8","3.6","10.5","8.4","18.9","87","0.2","0.057142857","0.096551724","2.485714286","1.933333333","0.685714286","0.533333333","0.24","0.186666667","0.3","0.233333333","27.5862069","44.44444444","77.77777778","3.036690647","3.555555556","4.571428571","6.222222222","8","7.777777778","10","2.24940048","2.892086331","14","18"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00015","","","","4","0.42","2.15","0.58","22.26","50.19","1.69","6.56","4.71","67.58","44.35146444","1.24","2","8","35","27","27","45","12","3","3","3","5","8","3","7","1.6","2.3","12.5","3.9","16.4","43","0.2","0.065714286","0.090697674","1.592592593","0.955555556","0.296296296","0.177777778","0.144444444","0.086666667","0.462962963","0.277777778","18.60465116","23.7804878","60","1.729707113","1.185185185","1.975308642","2.888888889","4.814814815","9.259259259","15.43209877","1.281264528","2.13544088","12.14814815","20.24691358"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00016","","","","3","0","1.79","2.45","21.63","50.14","4.02","4.3","4.12","67.56","43.13921021","0.97","2","28","46","40","40","45","28","2","2","7","8","7","1","6","8.9","3.2","6","12.1","18.1","74","0.317857143","0.069565217","0.163513514","1.85","1.644444444","0.7","0.622222222","0.3025","0.268888889","0.15","0.133333333","37.83783784","66.85082873","88.88888889","5.219844436","6.592592593","7.416666667","8.962962963","10.08333333","4.444444444","5","3.866551434","4.349870363","13.40740741","15.08333333"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00017","","","","4","5.81","1.78","0.93","22.06","50.53","2.38","2.5","4.63","71.47","43.65723333","1.1","3","13","35","40","40","45","27","5","3","5","7","6","3","6","3.8","2","7.5","5.8","13.3","48","0.292307692","0.057142857","0.120833333","1.2","1.066666667","0.325","0.288888889","0.145","0.128888889","0.1875","0.166666667","27.08333333","43.60902256","88.88888889","2.532119533","2.814814815","3.166666667","4.296296296","4.833333333","5.555555556","6.25","1.875644098","2.110099611","9.851851852","11.08333333"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00018","","","","2","","","","","","","","","","","","1","0","44","31","31","45","22","2","3","3","3","4","3","3","0","1.9","4","1.9","5.9","44","","0.043181818","0.043181818","1.419354839","0.977777778","0","0","0.061290323","0.042222222","0.129032258","0.088888889","0","32.20338983","68.88888889","","0","0","1.407407407","2.043010753","2.962962963","4.301075269","","","4.37037037","6.344086022"
