"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00001","","","","2","0","2.19","1.27","19.56","50.83","0.84","1.88","1","32","44","21","21","30","20","5","3","6.03","1","67.56","3","38.48121188","6","7","6.65","6","4","5.8","2.2","4.5","8","12.5","76","0.18125","0.05","0.105263158","3.619047619","2.533333333","1.523809524","1.066666667","0.380952381","0.266666667","0.214285714","0.15","42.10526316","64","70","3.078496951","6.444444444","9.206349206","8.888888889","12.6984127","5","7.142857143","3.420552167","4.886503096","13.88888889","19.84126984"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00010","","","","1","0","1.99","1.1","18.57","50.85","0.8","1.66","1","34","34","28","28","30","21","5","3","4.22","1","66.35","3","36.51917404","6","5","9.09","8","4","8.4","2.8","6","11.2","17.2","68","0.247058824","0.082352941","0.164705882","2.428571429","2.266666667","1.214285714","1.133333333","0.4","0.373333333","0.214285714","0.2","50","65.11627907","93.33333333","4.090147493","9.333333333","10","12.44444444","13.33333333","6.666666667","7.142857143","4.544608325","4.869223206","19.11111111","20.47619048"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00011","","","","2","23.97","3.16","1.5","14.29","50.45","2.37","4.13","2","82","76","29","29","30","29","8","7","7.17","3","42.54","3","28.32507433","8","9","26.98","9","3","27.8","6.3","8","34.1","42.1","158","0.33902439","0.082894737","0.215822785","5.448275862","5.266666667","2.827586207","2.733333333","1.175862069","1.136666667","0.275862069","0.266666667","51.89873418","80.9976247","96.66666667","9.658850347","30.88888889","31.95402299","37.88888889","39.1954023","8.888888889","9.195402299","10.73205594","11.10212684","46.77777778","48.3908046"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00012","","","","2","0","2.07","1.25","20","50.37","0.86","1.81","2","24","16","30","30","30","29","5","3","6.38","2","69.49","3","39.70617431","5","6","4.24","9","3","5.9","2.3","12.5","8.2","20.7","40","0.245833333","0.14375","0.205","1.333333333","1.333333333","0.8","0.8","0.273333333","0.273333333","0.416666667","0.416666667","60","39.61352657","100","3.255906293","6.555555556","6.555555556","9.111111111","9.111111111","13.88888889","13.88888889","3.617673659","3.617673659","23","23"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00013","","","","1","26.47","3.42","1.87","10.64","50.52","3.71","5.98","4","55","40","23","23","30","23","7","6","8","5","39.55","3","21.06096595","7","9","23.53","7","4","19.2","2.5","4","21.7","25.7","95","0.349090909","0.0625","0.228421053","4.130434783","3.166666667","2.391304348","1.833333333","0.943478261","0.723333333","0.173913043","0.133333333","57.89473684","84.43579767","76.66666667","4.570229612","21.33333333","27.82608696","24.11111111","31.44927536","4.444444444","5.797101449","5.078032902","6.623521177","28.55555556","37.24637681"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00014","","","","2","20.67","2.35","0.96","14.4","50.24","4.44","6.57","2","63","80","30","30","30","30","8","4","4.5","2","49.45","2","28.66242038","7","7","19.69","7","6","11.8","4.4","6.5","16.2","22.7","143","0.187301587","0.055","0.113286713","4.766666667","4.766666667","2.1","2.1","0.54","0.54","0.216666667","0.216666667","44.05594406","71.36563877","100","4.643312102","13.11111111","13.11111111","18","18","7.222222222","7.222222222","5.159235669","5.159235669","25.22222222","25.22222222"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00015","","","","1","36.12","2.62","1.28","18.69","50.57","1.95","3.51","2","53","46","27","27","30","27","9","9","5.15","2","62.35","3","36.95867115","7","7","10.57","7","4","12.6","3.4","2","16","18","99","0.237735849","0.073913043","0.161616162","3.666666667","3.3","1.962962963","1.766666667","0.592592593","0.533333333","0.074074074","0.066666667","53.53535354","88.88888889","90","5.913387384","14","15.55555556","17.77777778","19.75308642","2.222222222","2.469135802","6.570430426","7.300478252","20","22.22222222"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00016","","","","2","0","1.92","1.04","18.82","50.09","1","1.94","1","32","39","30","30","30","30","4","4","4.14","1","70.15","2","37.57236973","6","8","7.29","6","3","8.5","3.1","3","11.6","14.6","71","0.265625","0.079487179","0.163380282","2.366666667","2.366666667","1.066666667","1.066666667","0.386666667","0.386666667","0.1","0.1","45.07042254","79.45205479","100","4.358394889","9.444444444","9.444444444","12.88888889","12.88888889","3.333333333","3.333333333","4.842660988","4.842660988","16.22222222","16.22222222"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00017","","","","2","0","2.04","1.24","22.12","50.59","0.75","1.72","2","17","30","28","28","30","23","5","3","6.23","3","69.52","3","43.72405614","5","6","4.54","9","1","3.6","2.1","9.5","5.7","15.2","47","0.211764706","0.07","0.121276596","1.678571429","1.566666667","0.607142857","0.566666667","0.203571429","0.19","0.339285714","0.316666667","36.17021277","37.5","93.33333333","2.4922712","4","4.285714286","6.333333333","6.785714286","10.55555556","11.30952381","2.769190222","2.966989524","16.88888889","18.0952381"
"","","GHP2014OHW-AT05","","","","","","","","","GHP2014OHW-AT05-00018","","","","2","24.54","3.15","1.45","13.28","50.91","2.23","3.74","1","68","72","30","30","30","30","8","7","6.94","3","41.65","3","26.08524848","7","7","27.36","7","3","14.4","4.4","4","18.8","22.8","140","0.211764706","0.061111111","0.134285714","4.666666667","4.666666667","2.266666667","2.266666667","0.626666667","0.626666667","0.133333333","0.133333333","48.57142857","82.45614035","100","4.904026714","16","16","20.88888889","20.88888889","4.444444444","4.444444444","5.448918571","5.448918571","25.33333333","25.33333333"
