"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00001","","","","","","0","0","8","8","10","0","","","","","","","7","3","5","0","0","5.9","0","5.9","0","","","","0","0","0","0","0","0","0.7375","0.59","","0","80","","","0","0","0","0","19.66666667","24.58333333","","","19.66666667","24.58333333"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00010","","","","","","3","12","5","5","10","3","","1","1","1","3","4","1","7","9","0.5","0.4","0.6","0.9","1.5","15","0.166666667","0.033333333","0.06","3","1.5","0.6","0.3","0.18","0.09","0.12","0.06","20","60","50","","","1.666666667","3.333333333","3","6","2","4","","","5","10"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00100","","","","","","0","0","10","10","10","0","","","","","","","2","4","8","0","0","2","0","2","0","","","","0","0","0","0","0","0","0.2","0.2","","0","100","","","0","0","0","0","6.666666667","6.666666667","","","6.666666667","6.666666667"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00101","","","","","","0","10","10","10","10","8","","1","1","1","3","3","1","8","9","0","0.3","1.1","0.3","1.4","10","","0.03","0.03","1","1","0","0","0.03","0.03","0.11","0.11","0","21.42857143","100","","","0","0","1","1","3.666666667","3.666666667","","","4.666666667","4.666666667"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00102","","","","15.8","50.35","9","12","9","9","10","4","5","1","1","1","4","5","4","1","6","1.4","0.7","4.5","2.1","6.6","21","0.155555556","0.058333333","0.1","2.333333333","2.1","1","0.9","0.233333333","0.21","0.5","0.45","42.85714286","31.81818182","90","31.38033764","0.65898709","4.666666667","5.185185185","7","7.777777778","15","16.66666667","2.196623635","2.440692927","22","24.44444444"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00103","","","","","","0","0","8","8","10","0","","","","","","","3","4","7","0","0","3.6","0","3.6","0","","","","0","0","0","0","0","0","0.45","0.36","","0","80","","","0","0","0","0","12","15","","","12","15"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00104","","","","","","0","0","2","2","10","0","","","","","","","1","9","9","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.05","0.01","","0","20","","","0","0","0","0","0.333333333","1.666666667","","","0.333333333","1.666666667"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00105","","","","","","0","0","7","7","10","0","","","","","","","6","2","5","0","0","4","0","4","0","","","","0","0","0","0","0","0","0.571428571","0.4","","0","70","","","0","0","0","0","13.33333333","19.04761905","","","13.33333333","19.04761905"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00106","","","","","","4","10","10","10","10","5","","1","1","1","5","5","2","6","8","0.6","0.5","2.7","1.1","3.8","14","0.15","0.05","0.078571429","1.4","1.4","0.4","0.4","0.11","0.11","0.27","0.27","28.57142857","28.94736842","100","","","2","2","3.666666667","3.666666667","9","9","","","12.66666667","12.66666667"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00107","","","","","","5","20","8","8","10","7","","2","1","1","5","5","7","3","4","0.7","1","7.9","1.7","9.6","25","0.14","0.05","0.068","3.125","2.5","0.625","0.5","0.2125","0.17","0.9875","0.79","20","17.70833333","80","","","2.333333333","2.916666667","5.666666667","7.083333333","26.33333333","32.91666667","","","32","40"
