"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00001","","","","2","1","4","4","10","10","10","3","","","1","3","3","6","2","6","0.4","0.2","24","0.6","24.6","8","0.1","0.05","0.075","0.8","0.8","0.4","0.4","0.06","0.06","2.4","2.4","50","2.43902439","100","1.333333333","1.333333333","2","2","80","80","82","82"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00010","","","","","","0","0","2","2","10","0","","","","","","1","8","9","0","0","0.8","0","0.8","0","","","","0","0","0","0","0","0","0.4","0.08","","0","20","0","0","0","0","2.666666667","13.33333333","2.666666667","13.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00100","","","","","","0","0","8","8","10","0","","","","","","3","3","7","0","0","0.6","0","0.6","0","","","","0","0","0","0","0","0","0.075","0.06","","0","80","0","0","0","0","2","2.5","2","2.5"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00101","","","","","","0","0","4","4","10","0","","","","","","3","8","7","0","0","0.6","0","0.6","0","","","","0","0","0","0","0","0","0.15","0.06","","0","40","0","0","0","0","2","5","2","5"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00102","","","","1","1","9","9","7","7","10","5","5","","1","5","5","4","2","5","1.4","0.3","4","1.7","5.7","18","0.155555556","0.033333333","0.094444444","2.571428571","1.8","1.285714286","0.9","0.242857143","0.17","0.571428571","0.4","50","29.8245614","70","4.666666667","6.666666667","5.666666667","8.095238095","13.33333333","19.04761905","19","27.14285714"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00103","","","","2","1","3","7","10","10","10","3","","","1","3","3","4","3","6","0.3","0.1","4.4","0.4","4.8","10","0.1","0.014285714","0.04","1","1","0.3","0.3","0.04","0.04","0.44","0.44","30","8.333333333","100","1","1","1.333333333","1.333333333","14.66666667","14.66666667","16","16"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00104","","","","","","0","0","3","3","10","0","","","","","","1","9","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.066666667","0.02","","0","30","0","0","0","0","0.666666667","2.222222222","0.666666667","2.222222222"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00105","","","","1","1","3","3","8","8","10","2","","","1","2","2","6","1","5","0.1","0.1","6.2","0.2","6.4","6","0.033333333","0.033333333","0.033333333","0.75","0.6","0.375","0.3","0.025","0.02","0.775","0.62","50","3.125","80","0.333333333","0.416666667","0.666666667","0.833333333","20.66666667","25.83333333","21.33333333","26.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00106","","","","1","1","6","7","5","5","10","4","","","1","3","4","3","7","7","1","0.2","2.6","1.2","3.8","13","0.166666667","0.028571429","0.092307692","2.6","1.3","1.2","0.6","0.24","0.12","0.52","0.26","46.15384615","31.57894737","50","3.333333333","6.666666667","4","8","8.666666667","17.33333333","12.66666667","25.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00107","","","","1","1","51","46","9","9","10","9","3","9","1","5","5","8","2","3","5.5","1.8","8.2","7.3","15.5","97","0.107843137","0.039130435","0.075257732","10.77777778","9.7","5.666666667","5.1","0.811111111","0.73","0.911111111","0.82","52.57731959","47.09677419","90","18.33333333","20.37037037","24.33333333","27.03703704","27.33333333","30.37037037","51.66666667","57.40740741"
