"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of total sugars estimating 1-9|CO_331:0000766","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00001","","","","2","2.474061012","1.539633036","11","2","50.03","3.514280081","5.550896168","2","32","37","30","28","30","28","3","6","4.961175919","3","49.08787918","2","21.98680792","5","2","4","18.89164925","4","5","4","4","1.4","3.5","3.5","4.9","8.4","69","0.04375","0.094594595","0.071014493","2.464285714","2.3","1.142857143","1.066666667","0.175","0.163333333","0.125","0.116666667","46.37681159","58.33333333","93.33333333","1.077353588","1.555555556","1.666666667","5.444444444","5.833333333","3.888888889","4.166666667","1.197059542","1.282563795","9.333333333","10"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00010","","","","2","1.827049971","0.971853971","16.82","3","50.89","5.248019218","7.252490997","3","44","88","30","24","30","23","8","7","3.950766087","3","63.00323868","5","33.05168009","2","3","4","1.731166005","6","3","4","4","2.7","6.5","6.5","9.2","15.7","132","0.061363636","0.073863636","0.06969697","5.5","4.4","1.833333333","1.466666667","0.383333333","0.306666667","0.270833333","0.216666667","33.33333333","58.59872611","80","3.040754569","3","3.75","10.22222222","12.77777778","7.222222222","9.027777778","3.378616187","4.223270234","17.44444444","21.80555556"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00011","","","","2","1.929222941","1.095453978","17.44","2","50.17","2.25523901","3.434904099","1","8","30","30","30","30","23","2","8","5.024169922","1","66.12044525","5","34.76180985","3","1","2","4.967607975","8","3","3","3","0.8","27.9","27.9","28.7","56.6","38","0.1","0.93","0.755263158","1.266666667","1.266666667","0.266666667","0.266666667","0.956666667","0.956666667","0.93","0.93","21.05263158","50.70671378","100","9.976639426","0.888888889","0.888888889","31.88888889","31.88888889","31","31","11.08515492","11.08515492","62.88888889","62.88888889"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00012","","","","4","1.625061035","0.962206006","17.65","2","50.3","3.647422075","5.329620838","2","22","44","30","30","30","30","5","3","3.485006094","2","67.33740997","5","35.08946322","2","2","4","0.905843019","4","1","4","4","1.3","7.5","7.5","8.8","16.3","66","0.059090909","0.170454545","0.133333333","2.2","2.2","0.733333333","0.733333333","0.293333333","0.293333333","0.25","0.25","33.33333333","53.98773006","100","3.087872763","1.444444444","1.444444444","9.777777778","9.777777778","8.333333333","8.333333333","3.430969737","3.430969737","18.11111111","18.11111111"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00013","","","","4","1.47982204","0.939898014","18.55","3","50.65","1.972856045","3.135569096","3","45","59","30","23","30","23","8","6","3.791564941","4","71.72566223","2","36.62388944","2","2","3","0.873753011","5","4","4","4","1.9","5.7","5.7","7.6","13.3","104","0.042222222","0.096610169","0.073076923","4.52173913","3.466666667","1.956521739","1.5","0.330434783","0.253333333","0.247826087","0.19","43.26923077","57.14285714","76.66666667","2.783415597","2.111111111","2.753623188","8.444444444","11.01449275","6.333333333","8.260869565","3.092683997","4.033935648","14.77777778","19.27536232"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00014","","","","2","1.885203004","1.212267041","19.9","2","50.8","1.453199029","3.130213022","2","40","38","30","29","30","28","3","6","5.761606216","3","71.76019287","2","39.17322835","5","2","4","0.076994002","4","5","5","5","1.3","5","5","6.3","11.3","78","0.0325","0.131578947","0.080769231","2.689655172","2.6","1.379310345","1.333333333","0.217241379","0.21","0.172413793","0.166666667","51.28205128","55.75221239","96.66666667","2.467913386","1.444444444","1.494252874","7","7.24137931","5.555555556","5.747126437","2.742125984","2.836682053","12.55555556","12.98850575"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00015","","","","3","1.673171997","1.064851046","18.06","2","50.29","2.997986078","5.01452589","2","33","53","30","26","30","26","3","6","4.380081177","3","69.04768372","2","35.91171207","5","1","4","0.884880006","4","4","5","5","2.1","4.5","4.5","6.6","11.1","86","0.063636364","0.08490566","0.076744186","3.307692308","2.866666667","1.269230769","1.1","0.253846154","0.22","0.173076923","0.15","38.37209302","59.45945946","86.66666667","2.370172997","2.333333333","2.692307692","7.333333333","8.461538462","5","5.769230769","2.633525552","3.038683329","12.33333333","14.23076923"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00016","","","","2","1.822726965","1.163753033","21.88","2","50.12","1.260990977","2.565716982","2","12","23","30","28","30","25","6","3","5.949654102","2","73.93946075","2","43.65522745","2","1","4","0.001345048","7","1","1","1","1.7","14.8","14.8","16.5","31.3","35","0.141666667","0.643478261","0.471428571","1.25","1.166666667","0.428571429","0.4","0.589285714","0.55","0.528571429","0.493333333","34.28571429","52.71565495","93.33333333","7.20311253","1.888888889","2.023809524","18.33333333","19.64285714","16.44444444","17.61904762","8.003458367","8.575133964","34.77777778","37.26190476"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00017","","","","4","1.776427984","1.156826019","16.95","2","37.06","1.112728953","2.421005011","2","13","66","30","27","30","26","5","3","5.874649048","3","74.16973114","2","45.73664328","2","2","4","0.009293003","5","1","4","4","2.3","9.7","9.7","12","21.7","79","0.176923077","0.146969697","0.151898734","2.925925926","2.633333333","0.481481481","0.433333333","0.444444444","0.4","0.359259259","0.323333333","16.4556962","55.29953917","90","5.488397194","2.555555556","2.839506173","13.33333333","14.81481481","10.77777778","11.97530864","6.098219104","6.775799005","24.11111111","26.79012346"
"","","GHP2015FMS-AT01","","","","","","","","","GHP2015FMS-AT01-00018","","","","2","1.509963989","1.069259048","22.52","2","50.19","1.244508982","2.459660053","1","4","18","30","25","30","22","2","8","4.933914185","1","74.39854431","2","44.86949592","3","1","2","0.000539987","6","4","4","4","0.6","12.7","12.7","13.3","26","22","0.15","0.705555556","0.604545455","0.88","0.733333333","0.16","0.133333333","0.532","0.443333333","0.508","0.423333333","18.18181818","51.15384615","83.33333333","5.967642957","0.666666667","0.8","14.77777778","17.73333333","14.11111111","16.93333333","6.630714396","7.956857276","28.88888889","34.66666667"
