"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00001","","","","4","1.958974957","1.253780961","17.92","40.3","0.956978023","2.136928082","2","8","15","28","14","30","8","5","2","6.455700874","4","71.14441681","3","44.46650124","4","2","0","4","6","5","1.2","0.7","6.2","1.9","8.1","23","0.15","0.046666667","0.082608696","1.642857143","0.766666667","0.571428571","0.266666667","0.135714286","0.063333333","0.442857143","0.206666667","34.7826087","23.45679012","46.66666667","0.844863524","1.333333333","2.857142857","2.111111111","4.523809524","6.888888889","14.76190476","0.938737248","2.011579818","9","19.28571429"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00010","","","","5","1.632966042","1.104611993","20.85","50.2","0.990549028","2.107709885","2","17","44","30","29","30","29","5","2","5.114215851","3","73.1253891","3","41.53386454","4","1","0.439855993","5","1","4","2","1.9","7","3.9","10.9","61","0.117647059","0.043181818","0.063934426","2.103448276","2.033333333","0.586206897","0.566666667","0.134482759","0.13","0.24137931","0.233333333","27.86885246","35.77981651","96.66666667","1.619820717","2.222222222","2.298850575","4.333333333","4.482758621","7.777777778","8.045977011","1.799800797","1.861862893","12.11111111","12.52873563"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00011","","","","4","1.585049987","1.09","20.85","50.9","0.653634012","1.974205017","1","5","12","30","26","30","13","1","8","3.565654993","1","74.87916565","3","40.96267191","2","1","0.51374501","7","3","3","0.4","0.4","14.4","0.8","15.2","17","0.08","0.033333333","0.047058824","0.653846154","0.566666667","0.192307692","0.166666667","0.030769231","0.026666667","0.553846154","0.48","29.41176471","5.263157895","86.66666667","0.327701375","0.444444444","0.512820513","0.888888889","1.025641026","16","18.46153846","0.364112639","0.420129968","16.88888889","19.48717949"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00012","","","","3","1.99871695","1.318719029","20.97","50.4","1.439772964","2.942614079","2","18","48","30","28","30","28","7","6","5.168893814","3","72.49724579","3","41.60714286","5","1","0.155552998","5","3","3","1.9","1.8","6.5","3.7","10.2","66","0.105555556","0.0375","0.056060606","2.357142857","2.2","0.642857143","0.6","0.132142857","0.123333333","0.232142857","0.216666667","27.27272727","36.2745098","93.33333333","1.539464286","2.111111111","2.261904762","4.111111111","4.404761905","7.222222222","7.738095238","1.710515873","1.832695578","11.33333333","12.14285714"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00013","","","","4","1.755846024","1.11461997","14.12","35.2","1.008208036","2.357225895","1","1","9","28","13","30","6","5","2","5.350100994","1","72.23976898","3","40.11363636","1","1","0.640628994","5","5","4","0.2","0.3","8.5","0.5","9","10","0.2","0.033333333","0.05","0.769230769","0.333333333","0.076923077","0.033333333","0.038461538","0.016666667","0.653846154","0.283333333","10","5.555555556","43.33333333","0.200568182","0.222222222","0.512820513","0.555555556","1.282051282","9.444444444","21.79487179","0.222853535","0.514277389","10","23.07692308"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00014","","","","2","1.755947948","0.810097992","13.72","50.2","5.96157217","7.631637096","2","31","38","30","28","30","28","8","7","3.659152985","2","62.15543747","3","27.33067729","5","2","4.986480236","6","3","4","4.3","2","12","6.3","18.3","69","0.138709677","0.052631579","0.091304348","2.464285714","2.3","1.107142857","1.033333333","0.225","0.21","0.428571429","0.4","44.92753623","34.42622951","93.33333333","1.721832669","4.777777778","5.119047619","7","7.5","13.33333333","14.28571429","1.91314741","2.049800797","20.33333333","21.78571429"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00015","","","","3","2.451246977","1.510040998","12.14","50.4","3.074179888","4.841185093","3","46","41","29","28","30","28","8","6","5.350894928","4","56.03395081","2","24.08730159","5","4","13.17207241","4","3","4","6.8","2","6.2","8.8","15","87","0.147826087","0.048780488","0.101149425","3.107142857","2.9","1.642857143","1.533333333","0.314285714","0.293333333","0.221428571","0.206666667","52.87356322","58.66666667","93.33333333","2.11968254","7.555555556","8.095238095","9.777777778","10.47619048","6.888888889","7.380952381","2.355202822","2.523431595","16.66666667","17.85714286"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00016","","","","3","1.883178949","1.20006001","22.78","50.3","0.874090016","2.054167032","2","22","53","30","27","30","27","5","2","5.515127182","2","73.80438232","3","45.28827038","4","1","0","5","3","3","2.7","2.2","8.2","4.9","13.1","75","0.122727273","0.041509434","0.065333333","2.777777778","2.5","0.814814815","0.733333333","0.181481481","0.163333333","0.303703704","0.273333333","29.33333333","37.40458015","90","2.219125249","3","3.333333333","5.444444444","6.049382716","9.111111111","10.12345679","2.465694721","2.739660801","14.55555556","16.17283951"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00017","","","","1","1.714365005","0.929121017","19.74","50.7","1.123365998","2.101170063","2","34","19","30","25","30","25","4","9","4.515406132","2","74.63985443","3","38.93491124","7","2","2.496942997","6","3","3","6.8","1.2","9.5","8","17.5","53","0.2","0.063157895","0.150943396","2.12","1.766666667","1.36","1.133333333","0.32","0.266666667","0.38","0.316666667","64.1509434","45.71428571","83.33333333","3.114792899","7.555555556","9.066666667","8.888888889","10.66666667","10.55555556","12.66666667","3.460880999","4.153057199","19.44444444","23.33333333"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00018","","","","3","1.408367038","0.85975498","16.88","50.9","4.255309105","6.446811199","2","41","34","30","27","30","27","5","8","3.116430044","2","71.28401184","2","33.16306483","6","4","0","6","1","1","6.9","2.2","12.2","9.1","21.3","75","0.168292683","0.064705882","0.121333333","2.777777778","2.5","1.518518519","1.366666667","0.337037037","0.303333333","0.451851852","0.406666667","54.66666667","42.72300469","90","3.0178389","7.666666667","8.518518519","10.11111111","11.2345679","13.55555556","15.0617284","3.353154333","3.725727037","23.66666667","26.2962963"
