"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00001","","","","1","1.694506049","1.037055016","15.99","4","50.62","2.322819948","3.855288982","1","58","59","30","30","30","30","5","3","2.96095705","2","63.23124695","3","31.58830502","6","7","2","10.81571007","7","1","4","14.6","1.8","17.2","16.4","33.6","117","0.251724138","0.030508475","0.14017094","3.9","3.9","1.933333333","1.933333333","0.546666667","0.546666667","0.573333333","0.573333333","49.57264957","48.80952381","100","5.180482023","16.22222222","16.22222222","18.22222222","18.22222222","19.11111111","19.11111111","5.756091137","5.756091137","37.33333333","37.33333333"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00010","","","","1","1.456655979","1.096441031","18.87","3","50.62","0.833393991","2.244579077","1","46","25","30","29","30","29","2","8","2.457223892","1","72.15198517","3","37.27775583","6","2","1","5.46100378","8","1","4","4.8","0.9","16.5","5.7","22.2","71","0.104347826","0.036","0.08028169","2.448275862","2.366666667","1.586206897","1.533333333","0.196551724","0.19","0.568965517","0.55","64.78873239","25.67567568","96.66666667","2.124832082","5.333333333","5.517241379","6.333333333","6.551724138","18.33333333","18.96551724","2.360924536","2.442335727","24.66666667","25.51724138"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00011","","","","2","1.376227021","0.914762974","18.06","3","42.43","1.322087049","2.662053108","2","25","70","30","29","30","29","5","3","2.779951096","1","70.81130219","3","42.56422343","5","1","3","5.120456219","8","3","4","2.5","2.1","13.6","4.6","18.2","95","0.1","0.03","0.048421053","3.275862069","3.166666667","0.862068966","0.833333333","0.15862069","0.153333333","0.468965517","0.453333333","26.31578947","25.27472527","96.66666667","1.957954278","2.777777778","2.873563218","5.111111111","5.287356322","15.11111111","15.63218391","2.175504753","2.250522158","20.22222222","20.91954023"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00012","","","","2","1.981032968","1.143978953","15.1","2","50.39","3.0713799","4.892990112","2","75","73","30","28","30","28","8","5","4.256228924","1","57.96675873","3","29.96626315","6","1","4","11.99902153","8","3","5","10","3.1","8.5","13.1","21.6","148","0.133333333","0.042465753","0.088513514","5.285714286","4.933333333","2.678571429","2.5","0.467857143","0.436666667","0.303571429","0.283333333","50.67567568","60.64814815","93.33333333","3.925580472","11.11111111","11.9047619","14.55555556","15.5952381","9.444444444","10.11904762","4.36175608","4.673310086","24","25.71428571"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00013","","","","1","1.575219989","0.979924023","16.1","4","50.87","4.036459923","5.970541954","1","26","42","30","26","30","25","5","3","2.708805084","1","62.05786133","3","31.64930214","6","3","2","7.071977139","8","1","3","5.7","1.7","12.4","7.4","19.8","68","0.219230769","0.04047619","0.108823529","2.615384615","2.266666667","1","0.866666667","0.284615385","0.246666667","0.476923077","0.413333333","38.23529412","37.37373737","86.66666667","2.342048359","6.333333333","7.307692308","8.222222222","9.487179487","13.77777778","15.8974359","2.602275954","3.002626101","22","25.38461538"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00014","","","","2","2.790467978","1.62501204","8.41","2","45.1","8.11197567","12.23907948","4","57","40","30","23","30","22","8","6","4.005371094","3","33.80922318","3","18.64745011","6","4","4","27.57448769","7","3","5","15.3","1.6","12.4","16.9","29.3","97","0.268421053","0.04","0.174226804","4.217391304","3.233333333","2.47826087","1.9","0.734782609","0.563333333","0.539130435","0.413333333","58.7628866","57.67918089","76.66666667","3.151419069","17","22.17391304","18.77777778","24.49275362","13.77777778","17.97101449","3.501576743","4.567274013","32.55555556","42.46376812"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00015","","","","1","1.537744999","0.948136985","16.04","4","50.66","3.122710943","5.004728794","2","40","23","30","29","30","29","5","3","2.360901117","2","63.35430527","3","31.6620608","6","3","2","9.620836258","8","1","3","8.6","2.3","12","10.9","22.9","63","0.215","0.1","0.173015873","2.172413793","2.1","1.379310345","1.333333333","0.375862069","0.363333333","0.413793103","0.4","63.49206349","47.59825328","96.66666667","3.451164627","9.555555556","9.885057471","12.11111111","12.52873563","13.33333333","13.79310345","3.834627363","3.966855893","25.44444444","26.32183908"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00016","","","","1","1.583542943","1.048820019","14.95","3","38.43","1.66447401","3.122570992","1","43","42","30","29","30","28","2","8","2.332384109","1","69.8789978","3","38.90189956","5","1","1","5.617403984","8","1","3","8","1.3","20.2","9.3","29.5","85","0.186046512","0.030952381","0.109411765","2.931034483","2.833333333","1.482758621","1.433333333","0.320689655","0.31","0.696551724","0.673333333","50.58823529","31.52542373","96.66666667","3.617876659","8.888888889","9.195402299","10.33333333","10.68965517","22.44444444","23.2183908","4.019862954","4.158478918","32.77777778","33.90804598"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00017","","","","3","1.89231205","1.064972997","17.05","3","50.98","3.37687397","5.275396824","1","43","22","26","20","30","20","9","9","3.584213018","1","58.94384384","2","33.44448803","6","1","3","12.61179733","6","4","6","6.1","0.9","6.8","7","13.8","65","0.141860465","0.040909091","0.107692308","3.25","2.166666667","2.15","1.433333333","0.35","0.233333333","0.34","0.226666667","66.15384615","50.72463768","66.66666667","2.341114162","6.777777778","10.16666667","7.777777778","11.66666667","7.555555556","11.33333333","2.601237958","3.901856937","15.33333333","23"
"","","GHP2015KMD-AT01","","","","","","","","","GHP2015KMD-AT01-00018","","","","1","1.975849032","1.103693008","14.12","2","50.92","2.378560066","3.56396699","1","100","92","30","26","30","26","8","5","4.313830853","2","55.61436844","3","27.72977219","6","1","4","15.72056198","8","3","4","23.3","4.3","13.5","27.6","41.1","192","0.233","0.04673913","0.14375","7.384615385","6.4","3.846153846","3.333333333","1.061538462","0.92","0.519230769","0.45","52.08333333","67.15328467","86.66666667","7.653417125","25.88888889","29.87179487","30.66666667","35.38461538","15","17.30769231","8.503796805","9.812073237","45.66666667","52.69230769"
