"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00001","","","","2","19.2","3","50.5","1","10","10","10","9","14","9","5","6","1","6","5","4","5","3","5","1.7","0.2","3","1.9","4.9","23","0.121428571","0.022222222","0.082608696","2.3","2.3","1.4","1.4","0.19","0.19","0.3","0.3","60.86956522","38.7755102","100","38.01980198","0.722376238","5.666666667","5.666666667","6.333333333","6.333333333","10","10","2.407920792","2.407920792","16.33333333","16.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00010","","","","2","","","","1","10","6","2","2","5","2","","","1","4","5","","3","7","7","0.8","0.2","0.1","1","1.1","7","0.16","0.1","0.142857143","3.5","0.7","2.5","0.5","0.5","0.1","0.05","0.01","71.42857143","90.90909091","20","","","2.666666667","13.33333333","3.333333333","16.66666667","0.333333333","1.666666667","","","3.666666667","18.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00100","","","","3","17.38","3","47.5","1","10","9","8","5","2","5","6","6","2","4","4","3","5","7","6","0.2","0.1","4.4","0.3","4.7","7","0.1","0.02","0.042857143","0.875","0.7","0.25","0.2","0.0375","0.03","0.55","0.44","28.57142857","6.382978723","80","36.58947368","0.109768421","0.666666667","0.833333333","1","1.25","14.66666667","18.33333333","0.365894737","0.457368421","15.66666667","19.58333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00101","","","","3","17.71","1","50.46","1","10","9","9","7","10","2","5","8","2","8","8","1","6","4","5","2.1","0.1","13.5","2.2","15.7","12","0.21","0.05","0.183333333","1.333333333","1.2","1.111111111","1","0.244444444","0.22","1.5","1.35","83.33333333","14.01273885","90","35.09710662","0.772136346","7","7.777777778","7.333333333","8.148148148","45","50","2.573787819","2.859764243","52.33333333","58.14814815"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00102","","","","2","19.01","4","50.82","1","10","9","9","9","14","11","5","1","2","7","7","3","7","4","4","3.6","0.4","11.8","4","15.8","25","0.257142857","0.036363636","0.16","2.777777778","2.5","1.555555556","1.4","0.444444444","0.4","1.311111111","1.18","56","25.3164557","90","37.40653286","1.496261314","12","13.33333333","13.33333333","14.81481481","39.33333333","43.7037037","4.987537715","5.541708572","52.66666667","58.51851852"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00103","","","","3","18.09","3","50.35","1","10","10","10","10","13","5","5","9","2","7","8","3","7","4","5","2.6","0.3","7.5","2.9","10.4","18","0.2","0.06","0.161111111","1.8","1.8","1.3","1.3","0.29","0.29","0.75","0.75","72.22222222","27.88461538","100","35.9285005","1.041926514","8.666666667","8.666666667","9.666666667","9.666666667","25","25","3.473088381","3.473088381","34.66666667","34.66666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00104","","","","2","20.8","1","50.48","1","10","10","9","9","8","11","2","1","1","7","8","1","7","3","5","1.4","0.4","8","1.8","9.8","19","0.175","0.036363636","0.094736842","2.111111111","1.9","0.888888889","0.8","0.2","0.18","0.888888889","0.8","42.10526316","18.36734694","90","41.2044374","0.741679873","4.666666667","5.185185185","6","6.666666667","26.66666667","29.62962963","2.472266244","2.746962493","32.66666667","36.2962963"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00105","","","","3","17.73","3","50.24","1","10","10","10","10","15","7","9","9","2","7","6","4","4","5","7","3","0.4","4.8","3.4","8.2","22","0.2","0.057142857","0.154545455","2.2","2.2","1.5","1.5","0.34","0.34","0.48","0.48","68.18181818","41.46341463","100","35.2906051","1.199880573","10","10","11.33333333","11.33333333","16","16","3.999601911","3.999601911","27.33333333","27.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00106","","","","3","19.26","2","50.68","1","10","10","10","10","25","10","5","8","2","7","8","3","7","3","4","6.3","0.5","11.4","6.8","18.2","35","0.252","0.05","0.194285714","3.5","3.5","2.5","2.5","0.68","0.68","1.14","1.14","71.42857143","37.36263736","100","38.00315706","2.58421468","21","21","22.66666667","22.66666667","38","38","8.614048934","8.614048934","60.66666667","60.66666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00107","","","","3","12.26","3","38.22","1","10","10","10","10","9","7","8","5","2","7","7","4","5","4","6","2","0.4","3.8","2.4","6.2","16","0.222222222","0.057142857","0.15","1.6","1.6","0.9","0.9","0.24","0.24","0.38","0.38","56.25","38.70967742","100","32.07744636","0.769858713","6.666666667","6.666666667","8","8","12.66666667","12.66666667","2.566195709","2.566195709","20.66666667","20.66666667"
