"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00001","","","","4","2.598892927","1.435889006","12.2","50.44","8.37003231","12.43969059","3","5","70","30","30","30","15","7","6","5.176743031","2","46.83196259","5","24.18715305","5","5","3","9.944791794","4","5","4","0.9","1.8","5.2","2.7","7.9","75","0.18","0.025714286","0.036","2.5","2.5","0.166666667","0.166666667","0.09","0.09","0.173333333","0.173333333","6.666666667","34.17721519","100","0.653053132","1","1","3","3","5.777777778","5.777777778","0.725614592","0.725614592","8.777777778","8.777777778"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00010","","","","2","1.405887961","0.910495996","19.3","50.17","3.51602602","5.529817104","2","46","52","30","28","30","27","3","9","3.816390991","1","64.91094208","1","38.4692047","7","6","4","4.960576057","6","3","3","10.5","3.2","23.5","13.7","37.2","98","0.22826087","0.061538462","0.139795918","3.5","3.266666667","1.642857143","1.533333333","0.489285714","0.456666667","0.839285714","0.783333333","46.93877551","36.82795699","93.33333333","5.270281044","11.66666667","12.5","15.22222222","16.30952381","26.11111111","27.97619048","5.855867827","6.274144101","41.33333333","44.28571429"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00011","","","","3","1.577630997","1.013651967","18.8","50.41","3.084733963","5.251197815","3","20","37","30","30","30","20","5","3","3.532871008","3","67.24713135","1","37.29418766","5","6","2","3.666659117","6","1","3","2.7","2","28.5","4.7","33.2","57","0.135","0.054054054","0.08245614","1.9","1.9","0.666666667","0.666666667","0.156666667","0.156666667","0.95","0.95","35.0877193","14.15662651","100","1.75282682","3","3","5.222222222","5.222222222","31.66666667","31.66666667","1.947585356","1.947585356","36.88888889","36.88888889"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00012","","","","5","1.799708962","1.166301012","19.3","50.93","2.880548","5.211438179","4","50","72","29","28","30","28","8","6","4.506928921","3","65.96110535","1","37.89515021","8","5","3","4.800292015","7","3","1","10.8","3.2","25.5","14","39.5","122","0.216","0.044444444","0.114754098","4.357142857","4.066666667","1.785714286","1.666666667","0.5","0.466666667","0.910714286","0.85","40.98360656","35.44303797","93.33333333","5.305321029","12","12.85714286","15.55555556","16.66666667","28.33333333","30.35714286","5.894801143","6.315858368","43.88888889","47.02380952"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00013","","","","4","1.446015954","0.880532026","19.1","50.51","3.590702057","5.587364197","3","11","33","29","27","30","18","9","9","3.076128006","2","63.53358841","2","37.8142942","5","4","3","6.817440033","4","6","6","1.6","1.4","9","3","12","44","0.145454545","0.042424242","0.068181818","1.62962963","1.466666667","0.407407407","0.366666667","0.111111111","0.1","0.333333333","0.3","25","25","90","1.134428826","1.777777778","1.975308642","3.333333333","3.703703704","10","11.11111111","1.260476473","1.400529415","13.33333333","14.81481481"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00014","","","","3","1.795542002","1.040333986","17","50.18","3.121948004","5.07311821","4","27","64","29","29","30","27","7","6","3.538923025","1","63.85882568","2","33.87803906","7","5","3","7.282396793","5","4","6","5.3","4","8","9.3","17.3","91","0.196296296","0.0625","0.102197802","3.137931034","3.033333333","0.931034483","0.9","0.320689655","0.31","0.275862069","0.266666667","29.67032967","53.75722543","96.66666667","3.150657633","5.888888889","6.091954023","10.33333333","10.68965517","8.888888889","9.195402299","3.500730703","3.621445555","19.22222222","19.88505747"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00015","","","","3","1.799960971","1.172294021","17.1","50.43","2.827296972","4.850727081","3","5","16","26","13","30","10","9","9","4.484574795","1","62.90380859","2","33.90838786","4","4","3","7.353212833","3","6","7","0.7","0.8","4.5","1.5","6","21","0.14","0.05","0.071428571","1.615384615","0.7","0.384615385","0.166666667","0.115384615","0.05","0.346153846","0.15","23.80952381","25","43.33333333","0.508625818","0.777777778","1.794871795","1.666666667","3.846153846","5","11.53846154","0.565139798","1.304168764","6.666666667","15.38461538"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00016","","","","4","1.724810958","1.00978601","13.4","41.09","3.090981007","4.981939793","3","43","57","30","27","30","27","8","6","4.965424061","3","67.76002502","3","32.61134096","7","5","3","6.120635986","5","3","3","8.4","2.3","17.5","10.7","28.2","100","0.195348837","0.040350877","0.107","3.703703704","3.333333333","1.592592593","1.433333333","0.396296296","0.356666667","0.648148148","0.583333333","43","37.94326241","90","3.489413483","9.333333333","10.37037037","11.88888889","13.20987654","19.44444444","21.60493827","3.877126092","4.30791788","31.33333333","34.81481481"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00017","","","","4","1.866408944","1.210487962","23.4","50.28","1.759448051","3.50343895","4","13","45","30","28","30","26","7","6","5.942471027","3","68.65161133","3","46.53937947","5","4","3","4.45229578","5","5","5","1.7","1.6","3.5","3.3","6.8","58","0.130769231","0.035555556","0.056896552","2.071428571","1.933333333","0.464285714","0.433333333","0.117857143","0.11","0.125","0.116666667","22.4137931","48.52941176","93.33333333","1.535799523","1.888888889","2.023809524","3.666666667","3.928571429","3.888888889","4.166666667","1.706443914","1.828332765","7.555555556","8.095238095"
"","","GHP2015KPV-AT01","","","","","","","","","GHP2015KPV-AT01-00018","","","","2","1.583016038","1.154232025","20.4","50.6","1.373267055","3.267887115","3","13","42","30","29","30","25","5","3","4.873633862","1","69.38598633","3","40.31620553","6","5","3","2.685790062","7","1","1","2.3","1.6","27.5","3.9","31.4","55","0.176923077","0.038095238","0.070909091","1.896551724","1.833333333","0.448275862","0.433333333","0.134482759","0.13","0.948275862","0.916666667","23.63636364","12.42038217","96.66666667","1.572332016","2.555555556","2.643678161","4.333333333","4.482758621","30.55555556","31.6091954","1.747035573","1.807278179","34.88888889","36.09195402"
