"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00001","","","","4","1.907186031","0.924304008","16.7","50.7","6.464767933","8.928832054","1","19","12","29","24","34","23","8","6","3.897432089","3","53.57178879","3","32.93885602","7","1","10.82433891","9","1","1","5.5","0.65","6.2","6.15","12.35","31","0.289473684","0.054166667","0.198387097","1.291666667","0.911764706","0.791666667","0.558823529","0.25625","0.180882353","0.258333333","0.182352941","61.29032258","49.79757085","70.58823529","2.025739645","5.392156863","7.638888889","6.029411765","8.541666667","6.078431373","8.611111111","1.98601926","2.813527285","12.10784314","17.15277778"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00010","","","","8","","","","","","","1","","10","32","27","34","22","1","1","","1","","","","1","1","","8","1","1","","0.26","8.2","","","","","0.026","","","","","","","","0.303703704","0.241176471","","","79.41176471","","","","","","8.039215686","10.12345679","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00011","","","","8","","","","","","","1","","25","29","27","34","20","1","1","","4","","","","3","1","","9","1","1","","1.05","8.5","","","","","0.042","","","","","","","","0.314814815","0.25","","","79.41176471","","","","","","8.333333333","10.49382716","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00012","","","","7","2.607582092","1.740692019","22.1","50.7","0.852088988","1.607195973","1","5","24","29","28","34","20","5","3","8.275862694","3","67.82033539","2","43.58974359","5","2","4.480453014","7","1","1","0.9","1.4","5.5","2.3","7.8","29","0.18","0.058333333","0.079310345","1.035714286","0.852941176","0.178571429","0.147058824","0.082142857","0.067647059","0.196428571","0.161764706","17.24137931","29.48717949","82.35294118","1.002564103","0.882352941","1.071428571","2.254901961","2.738095238","5.392156863","6.547619048","0.982905983","1.193528694","7.647058824","9.285714286"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00013","","","","8","2.112741947","1.460044026","24.5","50.8","0.774313986","2.591128111","1","","30","34","23","34","22","8","5","4.522520065","7","66.53610229","2","48.22834646","4","1","8.960461617","6","1","1","","2.25","5.15","","","","","0.075","","","","","","","","0.223913043","0.151470588","","","67.64705882","","","","","","5.049019608","7.463768116","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00014","","","","7","","","","","","","1","","25","32","29","34","25","1","1","","1","","","","1","1","","9","1","1","","0.2","8.15","","","","","0.008","","","","","","","","0.281034483","0.239705882","","","85.29411765","","","","","","7.990196078","9.367816092","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00015","","","","4","1.840507984","0.949809015","17.4","51","4.651213169","6.789873123","1","6","21","30","27","34","19","8","6","3.534766912","4","56.57301331","3","34.11764706","5","1","12.67173767","7","1","1","0.8","1.96","4.65","2.76","7.41","27","0.133333333","0.093333333","0.102222222","1","0.794117647","0.222222222","0.176470588","0.102222222","0.081176471","0.172222222","0.136764706","22.22222222","37.24696356","79.41176471","0.941647059","0.784313725","0.987654321","2.705882353","3.407407407","4.558823529","5.740740741","0.923183391","1.162527233","7.264705882","9.148148148"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00016","","","","8","2.129400015","1.33","16","50.5","4.457045078","7.251607895","3","2","86","29","27","34","25","8","5","4.373326778","8","53.48861694","3","31.68316832","8","4","13.51572037","6","2","1","0.55","9.4","4.85","9.95","14.8","88","0.275","0.109302326","0.113068182","3.259259259","2.588235294","0.074074074","0.058823529","0.368518519","0.292647059","0.17962963","0.142647059","2.272727273","67.22972973","79.41176471","3.152475248","0.539215686","0.679012346","9.754901961","12.28395062","4.754901961","5.987654321","3.090662007","3.89194475","14.50980392","18.27160494"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00017","","","","7","2.673636913","1.594944954","23.7","50","0.97399199","1.675377965","1","","56","34","31","34","28","4","9","7.149055004","4","62.46245956","3","47.4","3","1","11.00893974","8","1","1","","2.55","5.85","","","","","0.045535714","","","","","","","","0.188709677","0.172058824","","","91.17647059","","","","","","5.735294118","6.290322581","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00018","","","","4","1.639225006","1.123980045","22.4","50.4","3.596409082","5.792943001","1","3","50","33","30","34","20","4","8","3.076796055","1","65.68762207","3","44.44444444","4","1","8.267661095","7","1","1","0.4","1.85","4.65","2.25","6.9","53","0.133333333","0.037","0.04245283","1.766666667","1.558823529","0.1","0.088235294","0.075","0.066176471","0.155","0.136764706","5.660377358","32.60869565","88.23529412","1","0.392156863","0.444444444","2.205882353","2.5","4.558823529","5.166666667","0.980392157","1.111111111","6.764705882","7.666666667"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00019","","","","4","2.038391113","1.206742048","22.8","50.9","0.622053981","2.349760056","1","","10","28","24","34","15","4","9","3.685877085","2","68.05635071","3","44.79371316","3","1","11.19062233","7","1","1","","0.75","4.3","","","","","0.075","","","","","","","","0.179166667","0.126470588","","","70.58823529","","","","","","4.215686275","5.972222222","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00002","","","","8","2.373958111","1.610735059","24.3","50.4","0.388529986","1.719910026","1","10","42","32","27","34","26","8","5","6.278728962","4","67.81537628","2","48.21428571","3","1","7.334401131","7","1","1","1","1.45","3.6","2.45","6.05","52","0.1","0.03452381","0.047115385","1.925925926","1.529411765","0.37037037","0.294117647","0.090740741","0.072058824","0.133333333","0.105882353","19.23076923","40.49586777","79.41176471","1.18125","0.980392157","1.234567901","2.401960784","3.024691358","3.529411765","4.444444444","1.158088235","1.458333333","5.931372549","7.469135802"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00020","","","","6","2.831432104","1.675505042","25.2","50.3","1.076800942","2.307897091","1","","43","32","31","34","22","5","3","7.085578918","4","65.33000183","3","50.09940358","3","1","8.459378242","8","1","1","","1.46","4.85","","","","","0.033953488","","","","","","","","0.156451613","0.142647059","","","91.17647059","","","","","","4.754901961","5.215053763","","","",""
