"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00001","","","","17","30","24","19","34","16","1","7","6","6","3","3","3.4","1.3","7.68","4.7","12.38","47","0.2","0.043333333","0.1","2.473684211","1.382352941","0.894736842","0.5","0.247368421","0.138235294","0.404210526","0.225882353","36.17021277","37.9644588","55.88235294","3.333333333","5.964912281","4.607843137","8.245614035","7.529411765","13.47368421","12.1372549","21.71929825"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00002","","","","74","75","29","28","34","28","3","7","7","7","1","1","12.7","3.38","11.02","16.08","27.1","149","0.171621622","0.045066667","0.107919463","5.321428571","4.382352941","2.642857143","2.176470588","0.574285714","0.472941176","0.393571429","0.324117647","49.66442953","59.33579336","82.35294118","12.45098039","15.11904762","15.76470588","19.14285714","10.80392157","13.11904762","26.56862745","32.26190476"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00003","","","","0","3","32","26","34","3","1","6","2","8","1","1","0","0.04","3.24","0.04","3.28","3","","0.013333333","0.013333333","0.115384615","0.088235294","0","0","0.001538462","0.001176471","0.124615385","0.095294118","0","1.219512195","76.47058824","0","0","0.039215686","0.051282051","3.176470588","4.153846154","3.215686275","4.205128205"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00004","","","","20","27","25","20","34","18","1","6","6","5","4","2","4.02","1.08","6.7","5.1","11.8","47","0.201","0.04","0.108510638","2.35","1.382352941","1","0.588235294","0.255","0.15","0.335","0.197058824","42.55319149","43.22033898","58.82352941","3.941176471","6.7","5","8.5","6.568627451","11.16666667","11.56862745","19.66666667"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00005","","","","23","55","31","23","34","18","3","7","5","6","3","2","2.68","1.9","1.22","4.58","5.8","78","0.116521739","0.034545455","0.058717949","3.391304348","2.294117647","1","0.676470588","0.199130435","0.134705882","0.053043478","0.035882353","29.48717949","78.96551724","67.64705882","2.62745098","3.884057971","4.490196078","6.637681159","1.196078431","1.768115942","5.68627451","8.405797101"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00006","","","","47","55","31","17","34","17","2","7","6","8","2","1","7.76","1.94","10.76","9.7","20.46","102","0.165106383","0.035272727","0.095098039","6","3","2.764705882","1.382352941","0.570588235","0.285294118","0.632941176","0.316470588","46.07843137","47.40957967","50","7.607843137","15.21568627","9.509803922","19.01960784","10.54901961","21.09803922","20.05882353","40.11764706"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00007","","","","14","46","25","24","34","22","2","6","6","4","2","2","2.48","1.16","0.96","3.64","4.6","60","0.177142857","0.025217391","0.060666667","2.5","1.764705882","0.583333333","0.411764706","0.151666667","0.107058824","0.04","0.028235294","23.33333333","79.13043478","70.58823529","2.431372549","3.444444444","3.568627451","5.055555556","0.941176471","1.333333333","4.509803922","6.388888889"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00008","","","","13","48","28","24","34","18","3","7","6","7","2","1","2.24","1.64","1.92","3.88","5.8","61","0.172307692","0.034166667","0.063606557","2.541666667","1.794117647","0.541666667","0.382352941","0.161666667","0.114117647","0.08","0.056470588","21.31147541","66.89655172","70.58823529","2.196078431","3.111111111","3.803921569","5.388888889","1.882352941","2.666666667","5.68627451","8.055555556"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00009","","","","14","78","32","21","34","20","4","7","5","7","1","1","1.42","5.04","0.74","6.46","7.2","92","0.101428571","0.064615385","0.070217391","4.380952381","2.705882353","0.666666667","0.411764706","0.307619048","0.19","0.035238095","0.021764706","15.2173913","89.72222222","61.76470588","1.392156863","2.253968254","6.333333333","10.25396825","0.725490196","1.174603175","7.058823529","11.42857143"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00010","","","","13","16","30","21","34","13","2","6","7","5","3","2","3.96","1.26","0.88","5.22","6.1","29","0.304615385","0.07875","0.18","1.380952381","0.852941176","0.619047619","0.382352941","0.248571429","0.153529412","0.041904762","0.025882353","44.82758621","85.57377049","61.76470588","3.882352941","6.285714286","5.117647059","8.285714286","0.862745098","1.396825397","5.980392157","9.682539683"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00011","","","","1","12","34","25","34","5","1","6","3","8","1","1","0.14","0.32","17.38","0.46","17.84","13","0.14","0.026666667","0.035384615","0.52","0.382352941","0.04","0.029411765","0.0184","0.013529412","0.6952","0.511176471","7.692307692","2.578475336","73.52941176","0.137254902","0.186666667","0.450980392","0.613333333","17.03921569","23.17333333","17.49019608","23.78666667"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00012","","","","56","58","32","25","34","24","3","7","5","7","3","2","7.76","2.36","9.52","10.12","19.64","114","0.138571429","0.040689655","0.08877193","4.56","3.352941176","2.24","1.647058824","0.4048","0.297647059","0.3808","0.28","49.12280702","51.52749491","73.52941176","7.607843137","10.34666667","9.921568627","13.49333333","9.333333333","12.69333333","19.25490196","26.18666667"
