"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00001","","","","2","","","3","23","24","34","18","34","18","","","3","6","1","6","2","3","9.35","2.4","2.4","11.75","14.15","47","0.406521739","0.1","0.25","2.611111111","1.382352941","1.277777778","0.676470588","0.652777778","0.345588235","0.133333333","0.070588235","48.93617021","83.03886926","52.94117647","9.166666667","17.31481481","11.51960784","21.75925926","2.352941176","4.444444444","13.87254902","26.2037037","","","",""
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00002","","","","2","17","50.6","4","52","61","34","28","34","28","8","3","3","8","1","7","3","3","9.8","2.65","5.7","12.45","18.15","113","0.188461538","0.043442623","0.110176991","4.035714286","3.323529412","1.857142857","1.529411765","0.444642857","0.366176471","0.203571429","0.167647059","46.01769912","68.59504132","82.35294118","9.607843137","11.66666667","12.20588235","14.82142857","5.588235294","6.785714286","17.79411765","21.60714286","33.59683794","4.182806324","4.100790514","4.979531338"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00003","","","","2","19.7","50.7","2","67","36","34","24","34","24","4","4","2","6","1","7","3","3","16.9","1.35","6.65","18.25","24.9","103","0.252238806","0.0375","0.177184466","4.291666667","3.029411765","2.791666667","1.970588235","0.760416667","0.536764706","0.277083333","0.195588235","65.04854369","73.29317269","70.58823529","16.56862745","23.47222222","17.89215686","25.34722222","6.519607843","9.236111111","24.41176471","34.58333333","38.85601578","7.09122288","6.952179294","9.848920666"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00004","","","","2","13.9","50.8","4","62","61","32","27","34","27","8","5","4","7","1","7","1","1","14.5","5.4","5.95","19.9","25.85","123","0.233870968","0.08852459","0.161788618","4.555555556","3.617647059","2.296296296","1.823529412","0.737037037","0.585294118","0.22037037","0.175","50.40650407","76.98259188","79.41176471","14.21568627","17.90123457","19.50980392","24.56790123","5.833333333","7.345679012","25.34313725","31.91358025","27.36220472","5.44507874","5.33831249","6.722319432"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00005","","","","2","17.6","50.1","2","48","52","33","23","34","23","8","5","1","7","2","8","2","2","12.7","2.05","3.85","14.75","18.6","100","0.264583333","0.039423077","0.1475","4.347826087","2.941176471","2.086956522","1.411764706","0.641304348","0.433823529","0.167391304","0.113235294","48","79.30107527","67.64705882","12.45098039","18.4057971","14.46078431","21.37681159","3.774509804","5.579710145","18.23529412","26.95652174","35.12974052","5.181636727","5.080036006","7.509618444"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00006","","","","2","18.1","50.3","2","38","33","27","19","34","19","7","5","2","7","2","9","1","1","11.5","2.75","8.45","14.25","22.7","71","0.302631579","0.083333333","0.200704225","3.736842105","2.088235294","2","1.117647059","0.75","0.419117647","0.444736842","0.248529412","53.52112676","62.7753304","55.88235294","11.2745098","20.1754386","13.97058824","25","8.284313725","14.8245614","22.25490196","39.8245614","35.98409543","5.127733598","5.027189802","8.996023857"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00007","","","","2","22.7","50.8","2","49","38","34","23","34","23","9","9","1","7","1","9","3","3","10.55","1.45","5.75","12","17.75","87","0.215306122","0.038157895","0.137931034","3.782608696","2.558823529","2.130434783","1.441176471","0.52173913","0.352941176","0.25","0.169117647","56.32183908","67.6056338","67.64705882","10.34313725","15.28985507","11.76470588","17.39130435","5.637254902","8.333333333","17.40196078","25.72463768","44.68503937","5.362204724","5.257063455","7.771311195"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00008","","","","2","14.9","50.7","4","43","67","29","21","34","21","8","5","4","6","2","7","1","1","11.1","5.5","7.7","16.6","24.3","110","0.258139535","0.082089552","0.150909091","5.238095238","3.235294118","2.047619048","1.264705882","0.79047619","0.488235294","0.366666667","0.226470588","39.09090909","68.3127572","61.76470588","10.88235294","17.61904762","16.2745098","26.34920635","7.549019608","12.22222222","23.82352941","38.57142857","29.38856016","4.878500986","4.782844104","7.743652359"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00009","","","","2","18.6","50.9","4","37","50","31","21","34","21","8","3","4","8","1","8","3","3","6.75","2.65","6.3","9.4","15.7","87","0.182432432","0.053","0.108045977","4.142857143","2.558823529","1.761904762","1.088235294","0.447619048","0.276470588","0.3","0.185294118","42.52873563","59.87261146","61.76470588","6.617647059","10.71428571","9.215686275","14.92063492","6.176470588","10","15.39215686","24.92063492","36.54223969","3.43497053","3.367618167","5.452334175"
"","","GHP2015WAG-AT01","","","","","","","","","GHP2015WAG-AT01-00010","","","","2","18.9","50.4","2","29","29","25","17","34","17","7","5","2","6","1","9","1","1","8.9","1.65","6.65","10.55","17.2","58","0.306896552","0.056896552","0.181896552","3.411764706","1.705882353","1.705882353","0.852941176","0.620588235","0.310294118","0.391176471","0.195588235","50","61.3372093","50","8.725490196","17.45098039","10.34313725","20.68627451","6.519607843","13.03921569","16.8627451","33.7254902","37.5","3.95625","3.878676471","7.757352941"
