"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00001","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00010","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00100","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00101","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00102","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00103","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00104","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00105","","","","2","1","6","6","3","3","3","3","1","2","3","8","1","2","1","0.2","0.4","1.2","1.6","12","0.166666667","0.033333333","0.1","4","4","2","2","0.4","0.4","0.133333333","0.133333333","50","75","100","11.11111111","11.11111111","13.33333333","13.33333333","4.444444444","4.444444444","17.77777778","17.77777778"
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00106","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00107","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00108","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00109","","","","","","","","3","","3","","","","","7","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00011","","","","3","2","5","5","3","3","3","3","2","2","3","6","1","1","1.3","0.3","0.2","1.6","1.8","10","0.26","0.06","0.16","3.333333333","3.333333333","1.666666667","1.666666667","0.533333333","0.533333333","0.066666667","0.066666667","50","88.88888889","100","14.44444444","14.44444444","17.77777778","17.77777778","2.222222222","2.222222222","20","20"
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00110","","","","","","","","3","","3","","","","","6","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00111","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00112","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00113","","","","","","","","3","","3","","","","","6","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00114","","","","4","3","5","6","3","3","3","3","3","3","4","7","1","1","0.8","0.3","0.5","1.1","1.6","11","0.16","0.05","0.1","3.666666667","3.666666667","1.666666667","1.666666667","0.366666667","0.366666667","0.166666667","0.166666667","45.45454545","68.75","100","8.888888889","8.888888889","12.22222222","12.22222222","5.555555556","5.555555556","17.77777778","17.77777778"
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00115","","","","4","1","5","1","3","3","3","3","2","2","4","8","2","1","0.4","0.2","0.2","0.6","0.8","6","0.08","0.2","0.1","2","2","1.666666667","1.666666667","0.2","0.2","0.066666667","0.066666667","83.33333333","75","100","4.444444444","4.444444444","6.666666667","6.666666667","2.222222222","2.222222222","8.888888889","8.888888889"
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00116","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00117","","","","","","","","1","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00118","","","","","","","","3","","3","","","","","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00119","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00012","","","","","","","","3","","3","","","","","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00120","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016BWK-OT01","","","","","","","","","GHP2016BWK-OT01-00121","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
