"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00001","","","","4","2","82","51","30","30","30","30","4","5","3","9","1","1","25.4","2.4","10.8","27.8","38.6","133","0.309756098","0.047058824","0.209022556","4.433333333","4.433333333","2.733333333","2.733333333","0.926666667","0.926666667","0.36","0.36","61.65413534","72.02072539","100","28.22222222","28.22222222","30.88888889","30.88888889","12","12","42.88888889","42.88888889"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00010","","","","3","1","11","32","30","26","30","23","3","5","5","8","1","1","2.7","1.9","20.1","4.6","24.7","43","0.245454545","0.059375","0.106976744","1.653846154","1.433333333","0.423076923","0.366666667","0.176923077","0.153333333","0.773076923","0.67","25.58139535","18.62348178","86.66666667","3","3.461538462","5.111111111","5.897435897","22.33333333","25.76923077","27.44444444","31.66666667"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00011","","","","5","1","33","33","30","25","30","25","5","7","5","8","1","1","10.1","3.1","10.1","13.2","23.3","66","0.306060606","0.093939394","0.2","2.64","2.2","1.32","1.1","0.528","0.44","0.404","0.336666667","50","56.65236052","83.33333333","11.22222222","13.46666667","14.66666667","17.6","11.22222222","13.46666667","25.88888889","31.06666667"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00012","","","","5","1","76","62","30","30","30","30","5","3","3","8","1","1","13.1","4.1","11.1","17.2","28.3","138","0.172368421","0.066129032","0.124637681","4.6","4.6","2.533333333","2.533333333","0.573333333","0.573333333","0.37","0.37","55.07246377","60.77738516","100","14.55555556","14.55555556","19.11111111","19.11111111","12.33333333","12.33333333","31.44444444","31.44444444"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00013","","","","3","1","27","67","30","30","30","30","3","5","5","8","1","1","4.2","3.7","9","7.9","16.9","94","0.155555556","0.055223881","0.084042553","3.133333333","3.133333333","0.9","0.9","0.263333333","0.263333333","0.3","0.3","28.72340426","46.74556213","100","4.666666667","4.666666667","8.777777778","8.777777778","10","10","18.77777778","18.77777778"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00014","","","","5","1","30","44","30","23","30","23","5","7","5","8","1","1","10.3","3","9.1","13.3","22.4","74","0.343333333","0.068181818","0.17972973","3.217391304","2.466666667","1.304347826","1","0.57826087","0.443333333","0.395652174","0.303333333","40.54054054","59.375","76.66666667","11.44444444","14.92753623","14.77777778","19.27536232","10.11111111","13.1884058","24.88888889","32.46376812"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00015","","","","3","1","53","44","30","26","30","23","5","3","5","8","1","1","11.2","2.4","11.9","13.6","25.5","97","0.211320755","0.054545455","0.140206186","3.730769231","3.233333333","2.038461538","1.766666667","0.523076923","0.453333333","0.457692308","0.396666667","54.63917526","53.33333333","86.66666667","12.44444444","14.35897436","15.11111111","17.43589744","13.22222222","15.25641026","28.33333333","32.69230769"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00016","","","","5","3","105","52","30","28","30","28","5","3","3","8","1","8","23.8","2.6","9.8","26.4","36.2","157","0.226666667","0.05","0.168152866","5.607142857","5.233333333","3.75","3.5","0.942857143","0.88","0.35","0.326666667","66.87898089","72.9281768","93.33333333","26.44444444","28.33333333","29.33333333","31.42857143","10.88888889","11.66666667","40.22222222","43.0952381"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00017","","","","3","1","30","57","30","30","30","28","3","3","5","8","1","1","4.3","2.4","14.1","6.7","20.8","87","0.143333333","0.042105263","0.077011494","2.9","2.9","1","1","0.223333333","0.223333333","0.47","0.47","34.48275862","32.21153846","100","4.777777778","4.777777778","7.444444444","7.444444444","15.66666667","15.66666667","23.11111111","23.11111111"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00018","","","","3","1","12","7","30","28","30","16","3","5","5","8","1","1","1.5","0.4","22.1","1.9","24","19","0.125","0.057142857","0.1","0.678571429","0.633333333","0.428571429","0.4","0.067857143","0.063333333","0.789285714","0.736666667","63.15789474","7.916666667","93.33333333","1.666666667","1.785714286","2.111111111","2.261904762","24.55555556","26.30952381","26.66666667","28.57142857"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00002","","","","3","1","42","57","29","29","30","29","3","3","5","9","1","1","6.5","2.8","7.2","9.3","16.5","99","0.154761905","0.049122807","0.093939394","3.413793103","3.3","1.448275862","1.4","0.320689655","0.31","0.248275862","0.24","42.42424242","56.36363636","96.66666667","7.222222222","7.471264368","10.33333333","10.68965517","8","8.275862069","18.33333333","18.96551724"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00003","","","","3","1","17","60","30","23","30","23","3","5","5","9","1","1","2.3","2.5","10.2","4.8","15","77","0.135294118","0.041666667","0.062337662","3.347826087","2.566666667","0.739130435","0.566666667","0.208695652","0.16","0.443478261","0.34","22.07792208","32","76.66666667","2.555555556","3.333333333","5.333333333","6.956521739","11.33333333","14.7826087","16.66666667","21.73913043"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00004","","","","3","1","43","53","30","20","30","16","5","5","5","8","1","1","8.2","3.2","12.5","11.4","23.9","96","0.190697674","0.060377358","0.11875","4.8","3.2","2.15","1.433333333","0.57","0.38","0.625","0.416666667","44.79166667","47.69874477","66.66666667","9.111111111","13.66666667","12.66666667","19","13.88888889","20.83333333","26.55555556","39.83333333"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00005","","","","5","1","40","61","30","18","30","16","5","5","5","8","1","1","10.9","2.5","8.2","13.4","21.6","101","0.2725","0.040983607","0.132673267","5.611111111","3.366666667","2.222222222","1.333333333","0.744444444","0.446666667","0.455555556","0.273333333","39.6039604","62.03703704","60","12.11111111","20.18518519","14.88888889","24.81481481","9.111111111","15.18518519","24","40"
"","","GHP2016EJR-AT01","","","","","","","","","GHP2016EJR-AT01-00006","","","","3","1","5","23","30","22","30","22","3","5","5","8","1","1","0.8","1.2","18.6","2","20.6","28","0.16","0.052173913","0.071428571","1.272727273","0.933333333","0.227272727","0.166666667","0.090909091","0.066666667","0.845454545","0.62","17.85714286","9.708737864","73.33333333","0.888888889","1.212121212","2.222222222","3.03030303","20.66666667","28.18181818","22.88888889","31.21212121"
