"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00001","","","","4","0","1.88","0.84","21.22","48.55","1.25","2.04","3","23","20","30","22","30","15","4.92","3","71.34","5","43.70751802","3","3","7.95","7","3","4","5.8","0.9","15.8","6.7","22.5","43","0.252173913","0.045","0.155813953","1.954545455","1.433333333","1.045454545","0.766666667","0.304545455","0.223333333","0.718181818","0.526666667","53.48837209","29.77777778","73.33333333","2.928403708","6.444444444","8.787878788","7.444444444","10.15151515","17.55555556","23.93939394","3.253781897","4.436975314","25","34.09090909"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00010","","","","4","38.84","3.07","1.79","11.51","49.08","4.62","7.7","3","89","80","30","30","30","30","6","4","46.37","3","23.45150774","4","4","21.6","7","1","4","16.4","4.2","10.2","20.6","30.8","169","0.184269663","0.0525","0.121893491","5.633333333","5.633333333","2.966666667","2.966666667","0.686666667","0.686666667","0.34","0.34","52.66272189","66.88311688","100","4.831010595","18.22222222","18.22222222","22.88888889","22.88888889","11.33333333","11.33333333","5.36778955","5.36778955","34.22222222","34.22222222"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00011","","","","3","0.03","2.41","0.96","20.55","48.62","0.84","1.61","2","28","55","30","29","30","29","5.07","3","72.35","3","42.26655697","4","5","11.33","9","1","1","5.3","3.8","45.5","9.1","54.6","83","0.189285714","0.069090909","0.109638554","2.862068966","2.766666667","0.965517241","0.933333333","0.313793103","0.303333333","1.568965517","1.516666667","33.73493976","16.66666667","96.66666667","3.846256684","5.888888889","6.091954023","10.11111111","10.45977011","50.55555556","52.29885057","4.273618538","4.420984695","60.66666667","62.75862069"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00012","","","","4","0","2.06","0.98","16.32","48.97","3.56","5.43","3","70","45","29","28","30","27","4.47","4","67.75","2","33.32652644","4","3","6.76","9","1","3","17.4","3.1","10.4","20.5","30.9","115","0.248571429","0.068888889","0.17826087","4.107142857","3.833333333","2.5","2.333333333","0.732142857","0.683333333","0.371428571","0.346666667","60.86956522","66.34304207","93.33333333","6.831937921","19.33333333","20.71428571","22.77777778","24.4047619","11.55555556","12.38095238","7.591042135","8.13325943","34.33333333","36.78571429"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00013","","","","4","2.13","1.8","0.7","18.6","48.81","1.54","2.62","2","83","85","30","30","30","30","2.94","3","70.61","3","38.1069453","4","5","11.67","9","1","1","13.6","4","36.1","17.6","53.7","168","0.163855422","0.047058824","0.104761905","5.6","5.6","2.766666667","2.766666667","0.586666667","0.586666667","1.203333333","1.203333333","49.4047619","32.77467412","100","6.706822372","15.11111111","15.11111111","19.55555556","19.55555556","40.11111111","40.11111111","7.452024858","7.452024858","59.66666667","59.66666667"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00014","","","","4","3.06","1.91","0.9","17.72","48.51","0.56","1.28","2","10","35","30","28","30","26","2.93","5","71.64","3","36.52855081","4","4","11.2","9","3","3","2.2","1.9","47.8","4.1","51.9","45","0.22","0.054285714","0.091111111","1.607142857","1.5","0.357142857","0.333333333","0.146428571","0.136666667","1.707142857","1.593333333","22.22222222","7.899807322","93.33333333","1.497670583","2.444444444","2.619047619","4.555555556","4.880952381","53.11111111","56.9047619","1.664078426","1.782941171","57.66666667","61.78571429"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00015","","","","4","36.21","2.95","1.71","10.08","48.6","3.18","5.84","3","119","46","30","30","30","30","5.27","4","49.01","3","20.74074074","4","3","24.32","7","1","3","29.3","2.5","13.2","31.8","45","165","0.246218487","0.054347826","0.192727273","5.5","5.5","3.966666667","3.966666667","1.06","1.06","0.44","0.44","72.12121212","70.66666667","100","6.595555556","32.55555556","32.55555556","35.33333333","35.33333333","14.66666667","14.66666667","7.328395062","7.328395062","50","50"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00016","","","","3","0","1.86","0.87","20.32","49.09","1.46","2.34","2","40","23","30","27","30","25","4.71","2","70.42","5","41.39335914","4","2","9.22","9","1","3","10.1","1.2","28","11.3","39.3","63","0.2525","0.052173913","0.179365079","2.333333333","2.1","1.481481481","1.333333333","0.418518519","0.376666667","1.037037037","0.933333333","63.49206349","28.75318066","90","4.677449582","11.22222222","12.4691358","12.55555556","13.95061728","31.11111111","34.56790123","5.197166203","5.774629114","43.66666667","48.51851852"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00017","","","","3","7.27","2.59","1.1","21.77","48.68","1.73","2.92","2","48","33","30","26","30","26","4.42","3","70.59","2","44.72062449","4","5","10.26","7","3","3","5.8","1.4","7.8","7.2","15","81","0.120833333","0.042424242","0.088888889","3.115384615","2.7","1.846153846","1.6","0.276923077","0.24","0.3","0.26","59.25925926","48","86.66666667","3.219884963","6.444444444","7.435897436","8","9.230769231","8.666666667","10","3.577649959","4.128057645","16.66666667","19.23076923"
"","","GHP2016FMS-AT01","","","","","","","","","GHP2016FMS-AT01-00018","","","","4","1.22","2.42","1.13","16.85","48.95","3.36","4.67","3","30","33","24","20","30","20","6.45","4","65.65","2","34.42288049","5","3","8.97","7","1","3","6.2","2","5.2","8.2","13.4","63","0.206666667","0.060606061","0.13015873","3.15","2.1","1.5","1","0.41","0.273333333","0.26","0.173333333","47.61904762","61.19402985","66.66666667","2.8226762","6.888888889","10.33333333","9.111111111","13.66666667","5.777777778","8.666666667","3.136306889","4.704460334","14.88888889","22.33333333"
