"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00001","","","","2","1","","4","3","2","2","2","3","7","7","5","5","6","","0.1","0.6","","","","","0.025","","","","","0.3","","","","","10","","","","","0.2","66.66666667","","","6.666666667",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00010","","","","2","1","3","3","3","3","2","2","3","5","7","6","3","5","0.2","0.1","0.1","0.3","0.4","6","0.066666667","0.033333333","0.05","3","1.5","0.15","0.05","50","75","3.333333333","5","1.666666667","6.666666667","2","1","0.1","0.033333333","66.66666667","2.222222222","3.333333333","1.111111111","4.444444444"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00100","","","","3","2","3","2","3","3","2","2","2","3","3","","4","","0.45","0.25","0.25","0.7","0.95","5","0.15","0.125","0.14","2.5","1.5","0.35","0.125","60","73.68421053","7.5","11.66666667","4.166666667","15.83333333","1.666666667","1","0.233333333","0.083333333","66.66666667","5","7.777777778","2.777777778","10.55555556"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00101","","","","2","2","3","","3","3","2","2","4","5","5","3","4","7","0.58","","0.25","","","","0.193333333","","","","1.5","","0.125","","","9.666666667","","4.166666667","","","1","","0.083333333","66.66666667","6.444444444","","2.777777778",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00102","","","","3","1","3","","3","3","3","1","3","3","1","4","5","6","0.8","","0.35","","","","0.266666667","","","","1","","0.116666667","","","8.888888889","","3.888888889","","","1","","0.116666667","100","8.888888889","","3.888888889",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00103","","","","2","2","2","","3","3","3","3","2","3","3","5","5","5","0.36","","0.3","","","","0.18","","","","0.666666667","","0.1","","","4","","3.333333333","","","0.666666667","","0.1","100","4","","3.333333333",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00104","","","","","","","","3","3","","","","","","5","4","6","","","0.45","","","","","","","","","","","","","","","","","","","","0.15","","","","5",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00105","","","","","","","","3","1","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00106","","","","3","2","2","","3","1","1","1","5","5","7","3","3","7","","","","","","","","","","","2","","","","","","","","","","0.666666667","","","33.33333333","","","",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00107","","","","4","1","","","3","1","1","","3","5","7","3","3","7","","0.15","0.2","","","","","","","","","","0.2","","","","","6.666666667","","","","","0.066666667","33.33333333","","","2.222222222",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00108","","","","3","3","","","3","3","2","","3","7","7","5","4","6","","0.2","0.25","","","","","","","","","","0.125","","","","","4.166666667","","","","","0.083333333","66.66666667","","","2.777777778",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00109","","","","","","","","3","1","1","","","","","5","3","6","","","0.25","","","","","","","","","","0.25","","","","","8.333333333","","","","","0.083333333","33.33333333","","","2.777777778",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00011","","","","","","","","3","2","1","","","","","4","3","7","","","0.4","","","","","","","","","","0.4","","","","","13.33333333","","","","","0.133333333","33.33333333","","","4.444444444",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00110","","","","","","","","3","1","1","","","","","","4","","","","0.2","","","","","","","","","","0.2","","","","","6.666666667","","","","","0.066666667","33.33333333","","","2.222222222",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00111","","","","","","","1","3","3","","","","","","","6","","","","0.25","","","","","","","","","","","","","","","","","","","","0.083333333","","","","2.777777778",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00112","","","","","","","","3","2","1","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00113","","","","","","","","3","1","1","","","","","3","6","7","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00114","","","","","","","","3","2","1","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","",""
