"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00001","","","","4","35.854023","3.380990028","1.891757965","9.67","48.5","2.334625959","4.649409771","3","50","13","10","10","10","10","6.430666924","3","46.42276382","3","19.93814433","3","4","26.81052208","6","3","5","13","0.5","8","13.5","21.5","63","0.26","0.038461538","0.214285714","6.3","6.3","5","5","1.35","1.35","0.8","0.8","79.36507937","62.79069767","100","2.691649485","43.33333333","43.33333333","45","45","26.66666667","26.66666667","8.972164948","8.972164948","71.66666667","71.66666667"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00010","","","","3","3.7411003","2.752475977","1.287448049","14.85","48.66","1.717651963","1.521098971","2","8","1","6","6","10","6","7.0904212","2","60.31400681","3","30.51787916","5","6","17.47354126","2","7","8","1.2","0.1","1.6","1.3","2.9","9","0.15","0.1","0.144444444","1.5","0.9","1.333333333","0.8","0.216666667","0.13","0.266666667","0.16","88.88888889","44.82758621","60","0.396732429","4","6.666666667","4.333333333","7.222222222","5.333333333","8.888888889","1.32244143","2.204069051","9.666666667","16.11111111"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00100","","","","3","0","1.974938989","0.988318026","18.96","48.89","0.685392976","1.130624056","2","19","19","8","8","10","8","5.260901928","3","70.98066711","3","38.7809368","5","5","9.658398628","6","4","4","3.1","0.6","2","3.7","5.7","38","0.163157895","0.031578947","0.097368421","4.75","3.8","2.375","1.9","0.4625","0.37","0.25","0.2","50","64.9122807","80","1.434894661","10.33333333","12.91666667","12.33333333","15.41666667","6.666666667","8.333333333","4.782982205","5.978727756","19","23.75"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00101","","","","3","4.9745102","2.050508022","0.833160996","19.17","48.57","1.439846992","1.887205005","2","14","5","8","8","10","8","3.422040939","2","68.05871582","2","39.46880791","4","4","12.33043766","7","4","3","3.8","0.2","20","4","24","19","0.271428571","0.04","0.210526316","2.375","1.9","1.75","1.4","0.5","0.4","2.5","2","73.68421053","16.66666667","80","1.578752316","12.66666667","15.83333333","13.33333333","16.66666667","66.66666667","83.33333333","5.262507721","6.578134651","80","100"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00102","","","","3","0","2.457278013","1.130805016","14.74","49.07","1.337399006","2.303071022","2","13","9","10","7","10","7","6.008605957","3","60.55744934","3","30.0387202","4","4","16.81557274","6","5","5","4.1","0.5","8.8","4.6","13.4","22","0.315384615","0.055555556","0.209090909","3.142857143","2.2","1.857142857","1.3","0.657142857","0.46","1.257142857","0.88","59.09090909","34.32835821","70","1.381781129","13.66666667","19.52380952","15.33333333","21.9047619","29.33333333","41.9047619","4.605937097","6.579910138","44.66666667","63.80952381"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00103","","","","4","5.7448502","2.198162079","1.054370046","12.35","48.54","5.535645008","7.763516903","3","18","5","10","7","10","7","4.369480133","3","54.25970459","","25.44293366","3","2","13.17133617","5","5","7","11.7","0.3","12.2","12","24.2","23","0.65","0.06","0.52173913","3.285714286","2.3","2.571428571","1.8","1.714285714","1.2","1.742857143","1.22","78.26086957","49.58677686","70","3.05315204","39","55.71428571","40","57.14285714","40.66666667","58.0952381","10.17717347","14.53881924","80.66666667","115.2380952"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00104","","","","4","1.2234383","2.194917917","0.878310025","20.34","48.84","0.611793995","1.552317977","3","22","8","10","10","10","10","3.14389205","3","70.97035217","3","41.64619165","5","5","10.04063702","6","3","5","4.7","0.6","7.2","5.3","12.5","30","0.213636364","0.075","0.176666667","3","3","2.2","2.2","0.53","0.53","0.72","0.72","73.33333333","42.4","100","2.207248157","15.66666667","15.66666667","17.66666667","17.66666667","24","24","7.357493857","7.357493857","41.66666667","41.66666667"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00011","","","","4","0","2.413096905","1.099439979","16.88","48.93","1.628519058","2.798568964","3","18","13","6","8","10","7","5.988234043","4","62.68002319","3","34.49826282","4","4","14.60579681","5","3","5","4.3","0.7","2","5","7","31","0.238888889","0.053846154","0.161290323","3.875","3.1","2.25","1.8","0.625","0.5","0.25","0.2","58.06451613","71.42857143","80","1.724913141","14.33333333","17.91666667","16.66666667","20.83333333","6.666666667","8.333333333","5.749710471","7.187138088","23.33333333","29.16666667"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00012","","","","3","0","2.136992931","0.864777982","20.66","48.25","1.48962903","1.737733006","1","28","8","10","10","10","10","5.002624989","2","71.86860657","3","42.81865285","3","3","7.700828075","8","2","3","7.4","0.3","5","7.7","12.7","36","0.264285714","0.0375","0.213888889","3.6","3.6","2.8","2.8","0.77","0.77","0.5","0.5","77.77777778","60.62992126","100","3.297036269","24.66666667","24.66666667","25.66666667","25.66666667","16.66666667","16.66666667","10.9901209","10.9901209","42.33333333","42.33333333"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00013","","","","3","0","2.331041098","1.064739943","17.04","48.71","1.554399967","2.34926796","1","11","7","10","10","10","10","5.711072922","2","65.49954987","5","34.98254978","4","5","7.063125134","4","6","7","0.5","0.2","5.4","0.7","6.1","18","0.045454545","0.028571429","0.038888889","1.8","1.8","1.1","1.1","0.07","0.07","0.54","0.54","61.11111111","11.47540984","100","0.244877848","1.666666667","1.666666667","2.333333333","2.333333333","18","18","0.816259495","0.816259495","20.33333333","20.33333333"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00014","","","","3","6.2387905","2.361040115","1.048105001","19.82","48.67","0.474795997","1.043789983","3","23","12","10","10","10","10","4.707148075","3","68.16705322","2","40.72323813","3","2","12.81809044","9","3","3","5.8","0.5","13.6","6.3","19.9","35","0.252173913","0.041666667","0.18","3.5","3.5","2.3","2.3","0.63","0.63","1.36","1.36","65.71428571","31.65829146","100","2.565564002","19.33333333","19.33333333","21","21","45.33333333","45.33333333","8.551880008","8.551880008","66.33333333","66.33333333"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00015","","","","3","0","1.849720001","0.812654018","19.5","48.66","1.084815025","1.381780982","2","28","8","10","10","10","10","4.844940186","2","71.43869019","3","40.07398274","3","2","8.099425316","9","2","3","8","0.3","5","8.3","13.3","36","0.285714286","0.0375","0.230555556","3.6","3.6","2.8","2.8","0.83","0.83","0.5","0.5","77.77777778","62.40601504","100","3.326140567","26.66666667","26.66666667","27.66666667","27.66666667","16.66666667","16.66666667","11.08713522","11.08713522","44.33333333","44.33333333"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00016","","","","3","1.8971291","2.141942978","0.848047018","21.83","48.73","0.873834014","1.433267951","2","29","17","10","10","10","10","3.621813059","3","72.69320679","3","44.79786579","4","5","9.610994339","5","3","5","4.3","0.6","3.8","4.9","8.7","46","0.148275862","0.035294118","0.106521739","4.6","4.6","2.9","2.9","0.49","0.49","0.38","0.38","63.04347826","56.32183908","100","2.195095424","14.33333333","14.33333333","16.33333333","16.33333333","12.66666667","12.66666667","7.316984746","7.316984746","29","29"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00017","","","","3","0","2.285372972","1.185312986","17.59","48.44","0.870064974","1.337638021","3","20","12","10","10","10","10","6.305650234","3","69.80796051","3","36.31296449","5","5","10.37834454","6","5","6","3.3","0.4","1.8","3.7","5.5","32","0.165","0.033333333","0.115625","3.2","3.2","2","2","0.37","0.37","0.18","0.18","62.5","67.27272727","100","1.343579686","11","11","12.33333333","12.33333333","6","6","4.478598954","4.478598954","18.33333333","18.33333333"
