"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00001","","","","4","36.4852829","2.531008959","1.43","10.38","48.89","5.99","9.16","3","56","36","26","26","30","26","3.848309994","4","42.0700531","2","21.23133565","1","1","25.42","6","3","4","16.6","1.3","8.4","17.9","26.3","92","0.296428571","0.036111111","0.194565217","3.538461538","3.066666667","2.153846154","1.866666667","0.688461538","0.596666667","0.323076923","0.28","60.86956522","68.0608365","86.66666667","3.800409082","18.44444444","21.28205128","19.88888889","22.94871795","9.333333333","10.76923077","4.222676757","4.872319335","29.22222222","33.71794872"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00010","","","","3","4.2173672","1.747987986","1.02","15.95","48.42","3.26","5.36","2","21","8","9","9","30","9","3.511753082","2","64.58618927","2","32.9409335","3","3","13.16","6","3","5","3.2","0.2","12.6","3.4","16","29","0.152380952","0.025","0.117241379","3.222222222","0.966666667","2.333333333","0.7","0.377777778","0.113333333","1.4","0.42","72.4137931","21.25","30","1.119991739","3.555555556","11.85185185","3.777777778","12.59259259","14","46.66666667","1.244435266","4.148117552","17.77777778","59.25925926"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00011","","","","3","0","1.843605042","0.8","18.58","48.23","1.81","3.08","1","33","55","30","29","30","29","4.051095963","2","70.33927917","3","38.52374041","5","5","11.69","7","4","4","3.8","1.7","21.4","5.5","26.9","88","0.115151515","0.030909091","0.0625","3.034482759","2.933333333","1.137931034","1.1","0.189655172","0.183333333","0.737931034","0.713333333","37.5","20.44609665","96.66666667","2.118805723","4.222222222","4.367816092","6.111111111","6.32183908","23.77777778","24.59770115","2.354228581","2.435408877","29.88888889","30.91954023"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00012","","","","3","0","1.773437023","1.03","18.41","49.07","1.05","2.34","1","6","15","30","16","30","14","4.426380157","2","70.30725098","3","37.51783167","5","5","12.54","7","5","4","0.8","0.4","16","1.2","17.2","21","0.133333333","0.026666667","0.057142857","1.3125","0.7","0.375","0.2","0.075","0.04","1","0.533333333","28.57142857","6.976744186","53.33333333","0.45021398","0.888888889","1.666666667","1.333333333","2.5","17.77777778","33.33333333","0.500237756","0.937945792","19.11111111","35.83333333"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00013","","","","3","0","1.84701705","0.98","18.01","48.67","1.03","2.27","1","14","16","30","22","30","18","4.456221104","2","71.47683716","2","37.00431477","3","3","11.25","8","4","4","2.8","0.6","32.4","3.4","35.8","30","0.2","0.0375","0.113333333","1.363636364","1","0.636363636","0.466666667","0.154545455","0.113333333","1.472727273","1.08","46.66666667","9.497206704","73.33333333","1.258146702","3.111111111","4.242424242","3.777777778","5.151515152","36","49.09090909","1.39794078","1.906282882","39.77777778","54.24242424"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00014","","","","3","0","1.690929055","0.81","16.46","48.47","2.77","4.27","2","15","8","11","10","30","9","3.851783991","3","67.87878418","2","33.95914999","5","1","11.27","6","3","5","5.2","0.3","13","5.5","18.5","23","0.346666667","0.0375","0.239130435","2.3","0.766666667","1.5","0.5","0.55","0.183333333","1.3","0.433333333","65.2173913","29.72972973","33.33333333","1.867753249","5.777777778","17.33333333","6.111111111","18.33333333","14.44444444","43.33333333","2.075281388","6.225844165","20.55555556","61.66666667"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00015","","","","3","0","1.438745022","0.72","18.24","48.73","2.25","3.66","1","7","11","30","18","30","15","3.17347002","2","69.68878937","3","37.43074082","3","3","10.25","7","4","4","1.4","0.5","27.6","1.9","29.5","18","0.2","0.045454545","0.105555556","1","0.6","0.388888889","0.233333333","0.105555556","0.063333333","1.533333333","0.92","38.88888889","6.440677966","60","0.711184076","1.555555556","2.592592593","2.111111111","3.518518519","30.66666667","51.11111111","0.790204528","1.317007547","32.77777778","54.62962963"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00016","","","","3","2.9330845","2.081010103","1.06","17.48","48.73","2.45","4.31","2","16","18","15","14","30","14","3.98813796","3","65.97702789","2","35.87112662","5","5","12.94","6","3","5","2.5","0.7","13.8","3.2","17","34","0.15625","0.038888889","0.094117647","2.428571429","1.133333333","1.142857143","0.533333333","0.228571429","0.106666667","0.985714286","0.46","47.05882353","18.82352941","46.66666667","1.147876052","2.777777778","5.952380952","3.555555556","7.619047619","15.33333333","32.85714286","1.275417835","2.733038218","18.88888889","40.47619048"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00017","","","","3","0.6930962","2.088524103","1.08","16.45","48.44","1.84","3.2","2","30","31","30","28","30","27","5.275917053","2","66.36396027","3","33.95953757","5","5","12.41","7","3","4","3.5","1.1","25.8","4.6","30.4","61","0.116666667","0.035483871","0.075409836","2.178571429","2.033333333","1.071428571","1","0.164285714","0.153333333","0.921428571","0.86","49.18032787","15.13157895","93.33333333","1.562138728","3.888888889","4.166666667","5.111111111","5.476190476","28.66666667","30.71428571","1.735709698","1.859688962","33.77777778","36.19047619"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00018","","","","4","36.8375626","2.62192893","1.55","9.26","48.73","5.63","9.24","3","70","8","27","22","30","22","4.408297062","4","42.8088913","2","19.00266776","3","1","24.81","7","3","3","27.1","0.4","19.2","27.5","46.7","78","0.387142857","0.05","0.352564103","3.545454545","2.6","3.181818182","2.333333333","1.25","0.916666667","0.872727273","0.64","89.74358974","58.88650964","73.33333333","5.225733634","30.11111111","41.06060606","30.55555556","41.66666667","21.33333333","29.09090909","5.806370705","7.917778234","51.88888889","70.75757576"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00002","","","","3","4.6917439","1.598935008","0.7","17.08","48.26","2.21","3.29","2","25","25","27","19","30","18","2.892563105","3","67.04496002","2","35.39162868","5","3","15.33","6","4","5","9.1","1.1","11.2","10.2","21.4","50","0.364","0.044","0.204","2.631578947","1.666666667","1.315789474","0.833333333","0.536842105","0.34","0.589473684","0.373333333","50","47.6635514","63.33333333","3.609946125","10.11111111","15.96491228","11.33333333","17.89473684","12.44444444","19.64912281","4.01105125","6.333238816","23.77777778","37.54385965"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00003","","","","2","0","1.725618005","0.94","17.99","48.77","1.22","2.25","1","4","20","30","22","30","21","3.719217062","2","68.31581116","3","36.8874308","3","5","12.74","8","4","3","0.8","0.6","17.8","1.4","19.2","24","0.2","0.03","0.058333333","1.090909091","0.8","0.181818182","0.133333333","0.063636364","0.046666667","0.809090909","0.593333333","16.66666667","7.291666667","73.33333333","0.516424031","0.888888889","1.212121212","1.555555556","2.121212121","19.77777778","26.96969697","0.573804479","0.782460653","21.33333333","29.09090909"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00004","","","","3","1.2372169","1.860376","0.83","17.7","48.44","1.84","3.14","1","26","28","30","27","30","27","4.216852188","2","68.58496857","3","36.54004955","3","3","11.12","7","3","3","4.3","1.1","35.2","5.4","40.6","54","0.165384615","0.039285714","0.1","2","1.8","0.962962963","0.866666667","0.2","0.18","1.303703704","1.173333333","48.14814815","13.30049261","90","1.973162675","4.777777778","5.308641975","6","6.666666667","39.11111111","43.45679012","2.192402973","2.436003303","45.11111111","50.12345679"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00005","","","","3","8.3030224","2.045731068","1.12","15.34","48.79","2.86","4.78","2","18","12","10","9","30","8","3.486263037","2","62.40784836","2","31.44086903","3","3","14.67","6","4","4","3.2","0.6","12","3.8","15.8","30","0.177777778","0.05","0.126666667","3.333333333","1","2","0.6","0.422222222","0.126666667","1.333333333","0.4","60","24.05063291","30","1.194753023","3.555555556","11.85185185","4.222222222","14.07407407","13.33333333","44.44444444","1.327503359","4.425011197","17.55555556","58.51851852"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00006","","","","2","7.8421116","1.945294976","0.96","17.63","48.87","2.48","3.97","1","14","16","30","22","30","21","4.440505981","2","64.88817596","3","36.07530182","5","","11.27","7","4","5","1.4","0.7","34.4","2.1","36.5","30","0.1","0.04375","0.07","1.363636364","1","0.636363636","0.466666667","0.095454545","0.07","1.563636364","1.146666667","46.66666667","5.753424658","73.33333333","0.757581338","1.555555556","2.121212121","2.333333333","3.181818182","38.22222222","52.12121212","0.841757042","1.147850512","40.55555556","55.3030303"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00007","","","","3","4.690649","1.69038403","0.82","16.75","48.31","2.68","4.17","2","19","12","30","21","30","20","3.708123922","2","66.37352753","3","34.67191058","1","1","11.68","7","5","4","3.1","0.5","29.2","3.6","32.8","31","0.163157895","0.041666667","0.116129032","1.476190476","1.033333333","0.904761905","0.633333333","0.171428571","0.12","1.39047619","0.973333333","61.29032258","10.97560976","70","1.248188781","3.444444444","4.920634921","4","5.714285714","32.44444444","46.34920635","1.386876423","1.981252033","36.44444444","52.06349206"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00008","","","","4","33.9601517","2.231300116","1.33","10.37","47.81","5.24","8.51","2","64","38","21","20","30","20","3.965049982","3","49.64632034","4","21.69002301","1","1","21.4","6","3","3","16.2","1.4","8.2","17.6","25.8","102","0.253125","0.036842105","0.17254902","5.1","3.4","3.2","2.133333333","0.88","0.586666667","0.41","0.273333333","62.74509804","68.21705426","66.66666667","3.817444049","18","27","19.55555556","29.33333333","9.111111111","13.66666667","4.241604499","6.362406749","28.66666667","43"
"","","GHP2016KMD-AT01","","","","","","","","","GHP2016KMD-AT01-00009","","","","3","4.2790775","2.050337076","0.94","16.47","48.63","3.82","5.94","2","50","32","23","21","30","21","4.141270161","2","67.03473663","2","33.86798273","5","1","8.82","6","4","4","12.8","1.3","14.2","14.1","28.3","82","0.256","0.040625","0.17195122","3.904761905","2.733333333","2.380952381","1.666666667","0.671428571","0.47","0.676190476","0.473333333","60.97560976","49.82332155","70","4.775385564","14.22222222","20.31746032","15.66666667","22.38095238","15.77777778","22.53968254","5.305983961","7.579977086","31.44444444","44.92063492"
