"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00001","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00010","","","","1","1","7","7","3","3","3","3","1","3","2","8","1","1","2.8","0.4","3.4","3.2","6.6","14","0.4","0.057142857","0.228571429","4.666666667","4.666666667","2.333333333","2.333333333","1.066666667","1.066666667","1.133333333","1.133333333","50","48.48484848","100","31.11111111","31.11111111","35.55555556","35.55555556","37.77777778","37.77777778","73.33333333","73.33333333"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00100","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00101","","","","","","","","3","","3","","","","","7","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00102","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00103","","","","","","","","3","","3","","","","","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00104","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00105","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00106","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00107","","","","","","","","3","","3","","","","","6","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00108","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00109","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00011","","","","","","","","3","","3","","","","","7","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00110","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00111","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00112","","","","","","","","3","","3","","","","","9","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00113","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00114","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00115","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00116","","","","","","","","3","","3","","","","","6","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00117","","","","","","","","3","","3","","","","","6","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00118","","","","","","","","3","","3","","","","","7","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00119","","","","","","","","3","","3","","","","","8","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00012","","","","1","1","6","","3","3","3","3","1","1","3","7","2","1","1.6","","1.1","","","","0.266666667","","","","","2","2","","","0.366666667","0.366666667","","","100","17.77777778","17.77777778","","","12.22222222","12.22222222","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00120","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00121","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00122","","","","1","1","12","","3","3","3","3","1","2","2","9","1","2","3","","1.2","","","","0.25","","","","","4","4","","","0.4","0.4","","","100","33.33333333","33.33333333","","","13.33333333","13.33333333","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00123","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00124","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00125","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00126","","","","","","","","3","","3","","","","","4","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00127","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00128","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00129","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00013","","","","1","1","5","5","3","3","3","3","1","2","3","7","1","1","1.3","0.4","1.2","1.7","2.9","10","0.26","0.08","0.17","3.333333333","3.333333333","1.666666667","1.666666667","0.566666667","0.566666667","0.4","0.4","50","58.62068966","100","14.44444444","14.44444444","18.88888889","18.88888889","13.33333333","13.33333333","32.22222222","32.22222222"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00130","","","","","","","","3","","3","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00131","","","","","","","","3","","3","","","","","7","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00132","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00133","","","","","","","","3","","3","","","","","8","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00134","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00135","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00136","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00137","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00138","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00139","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00014","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00140","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00141","","","","1","2","4","2","2","2","3","2","1","2","3","6","4","1","0.9","0.3","0.2","1.2","1.4","6","0.225","0.15","0.2","3","2","2","1.333333333","0.6","0.4","0.1","0.066666667","66.66666667","85.71428571","66.66666667","10","15","13.33333333","20","2.222222222","3.333333333","15.55555556","23.33333333"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00142","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
