"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00001","","","","5","1","42","44","30","22","30","21","3","5","3","6","2","2","7.8","1.4","3.4","9.2","12.6","86","0.185714286","0.031818182","0.106976744","3.909090909","2.866666667","1.909090909","1.4","0.418181818","0.306666667","0.154545455","0.113333333","48.8372093","73.01587302","73.33333333","8.666666667","11.81818182","10.22222222","13.93939394","3.777777778","5.151515152","14","19.09090909"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00010","","","","3","1","66","54","30","30","30","30","1","1","1","5","1","2","21.5","3.2","11.8","24.7","36.5","120","0.325757576","0.059259259","0.205833333","4","4","2.2","2.2","0.823333333","0.823333333","0.393333333","0.393333333","55","67.67123288","100","23.88888889","23.88888889","27.44444444","27.44444444","13.11111111","13.11111111","40.55555556","40.55555556"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00011","","","","3","1","30","60","30","24","30","24","1","3","3","6","1","1","5.5","3.1","9.3","8.6","17.9","90","0.183333333","0.051666667","0.095555556","3.75","3","1.25","1","0.358333333","0.286666667","0.3875","0.31","33.33333333","48.04469274","80","6.111111111","7.638888889","9.555555556","11.94444444","10.33333333","12.91666667","19.88888889","24.86111111"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00012","","","","3","1","42","44","30","26","30","26","1","3","1","7","2","2","11.4","2.9","10.4","14.3","24.7","86","0.271428571","0.065909091","0.16627907","3.307692308","2.866666667","1.615384615","1.4","0.55","0.476666667","0.4","0.346666667","48.8372093","57.89473684","86.66666667","12.66666667","14.61538462","15.88888889","18.33333333","11.55555556","13.33333333","27.44444444","31.66666667"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00013","","","","3","1","18","16","30","18","30","18","1","5","5","9","1","1","3.1","1","18.4","4.1","22.5","34","0.172222222","0.0625","0.120588235","1.888888889","1.133333333","1","0.6","0.227777778","0.136666667","1.022222222","0.613333333","52.94117647","18.22222222","60","3.444444444","5.740740741","4.555555556","7.592592593","20.44444444","34.07407407","25","41.66666667"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00014","","","","5","3","45","25","30","24","30","24","5","3","3","8","1","1","14.1","1.8","5.8","15.9","21.7","70","0.313333333","0.072","0.227142857","2.916666667","2.333333333","1.875","1.5","0.6625","0.53","0.241666667","0.193333333","64.28571429","73.2718894","80","15.66666667","19.58333333","17.66666667","22.08333333","6.444444444","8.055555556","24.11111111","30.13888889"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00015","","","","3","1","15","41","30","23","30","23","1","3","5","7","1","2","3.1","2.2","3.7","5.3","9","56","0.206666667","0.053658537","0.094642857","2.434782609","1.866666667","0.652173913","0.5","0.230434783","0.176666667","0.160869565","0.123333333","26.78571429","58.88888889","76.66666667","3.444444444","4.492753623","5.888888889","7.68115942","4.111111111","5.362318841","10","13.04347826"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00016","","","","3","1","28","51","30","29","30","29","1","5","5","9","1","1","5.2","3.6","10.8","8.8","19.6","79","0.185714286","0.070588235","0.111392405","2.724137931","2.633333333","0.965517241","0.933333333","0.303448276","0.293333333","0.372413793","0.36","35.44303797","44.89795918","96.66666667","5.777777778","5.977011494","9.777777778","10.11494253","12","12.4137931","21.77777778","22.52873563"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00017","","","","3","1","43","56","30","26","30","26","3","3","1","6","2","2","15.2","3.4","6.8","18.6","25.4","99","0.353488372","0.060714286","0.187878788","3.807692308","3.3","1.653846154","1.433333333","0.715384615","0.62","0.261538462","0.226666667","43.43434343","73.22834646","86.66666667","16.88888889","19.48717949","20.66666667","23.84615385","7.555555556","8.717948718","28.22222222","32.56410256"
"","","GHP2016NYK-ST01","","","","","","","","","GHP2016NYK-ST01-00018","","","","3","1","50","64","30","28","30","28","1","3","3","7","2","2","9.5","3.7","8.7","13.2","21.9","114","0.19","0.0578125","0.115789474","4.071428571","3.8","1.785714286","1.666666667","0.471428571","0.44","0.310714286","0.29","43.85964912","60.2739726","93.33333333","10.55555556","11.30952381","14.66666667","15.71428571","9.666666667","10.35714286","24.33333333","26.07142857"
