"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00001","","","","5","1","2","2","3","3","3","3","3","3","5","6","2","4","0.3","0.1","0.5","0.4","0.9","4","0.15","0.05","0.1","1.333333333","0.666666667","0.133333333","0.166666667","50","44.44444444","3.333333333","4.444444444","5.555555556","10","1.333333333","0.666666667","0.133333333","0.166666667","100","3.333333333","4.444444444","5.555555556","10"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00010","","","","3","1","4","","3","3","3","1","5","5","3","6","3","5","0.5","","2.1","","","","0.125","","","","1.333333333","","0.7","","","5.555555556","","23.33333333","","","1.333333333","","0.7","100","5.555555556","","23.33333333",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00100","","","","3","1","4","","3","3","3","2","1","5","3","6","6","5","1","","0.8","","","","0.25","","","","1.333333333","","0.266666667","","","11.11111111","","8.888888889","","","1.333333333","","0.266666667","100","11.11111111","","8.888888889",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00101","","","","5","5","4","3","3","3","3","3","7","3","1","5","5","6","0.5","0.6","2.9","1.1","4","7","0.125","0.2","0.157142857","2.333333333","1.333333333","0.366666667","0.966666667","57.14285714","27.5","5.555555556","12.22222222","32.22222222","44.44444444","2.333333333","1.333333333","0.366666667","0.966666667","100","5.555555556","12.22222222","32.22222222","44.44444444"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00102","","","","1","1","3","","3","3","3","1","1","3","5","5","5","6","0.2","","1.44","","","","0.066666667","","","","1","","0.48","","","2.222222222","","16","","","1","","0.48","100","2.222222222","","16",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00103","","","","3","1","2","","3","3","2","2","1","1","1","6","4","6","1","","2","","","","0.5","","","","1","","1","","","16.66666667","","33.33333333","","","0.666666667","","0.666666667","66.66666667","11.11111111","","22.22222222",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00104","","","","","","","","3","3","1","","","","","5","6","7","","","0.25","","","","","","","","","","0.25","","","","","8.333333333","","","","","0.083333333","33.33333333","","","2.777777778",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00105","","","","","","4","3","3","3","2","2","","","","6","4","6","1.2","0.2","1.2","1.4","2.6","7","0.3","0.066666667","0.2","3.5","2","0.7","0.6","57.14285714","53.84615385","20","23.33333333","20","43.33333333","2.333333333","1.333333333","0.466666667","0.4","66.66666667","13.33333333","15.55555556","13.33333333","28.88888889"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00106","","","","1","1","2","","3","3","1","1","1","3","3","5","4","6","0.5","","0.7","","","","0.25","","","","2","","0.7","","","16.66666667","","23.33333333","","","0.666666667","","0.233333333","33.33333333","5.555555556","","7.777777778",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00107","","","","1","1","6","4","3","3","3","3","1","3","1","5","6","6","1.5","0.2","1","1.7","2.7","10","0.25","0.05","0.17","3.333333333","2","0.566666667","0.333333333","60","62.96296296","16.66666667","18.88888889","11.11111111","30","3.333333333","2","0.566666667","0.333333333","100","16.66666667","18.88888889","11.11111111","30"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00108","","","","","","","1","3","3","3","","","","","6","5","6","","0.1","1.5","","","","","0.1","","","","","0.5","","","","","16.66666667","","","","","0.5","100","","","16.66666667",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00109","","","","1","1","","1","3","1","2","1","1","5","7","4","6","7","","0.1","0.3","","","","","0.1","","","","","0.15","","","","","5","","","","","0.1","66.66666667","","","3.333333333",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00011","","","","","","1","","3","3","3","1","","","","8","1","4","0.3","","4.1","","","","0.3","","","","0.333333333","","1.366666667","","","3.333333333","","45.55555556","","","0.333333333","","1.366666667","100","3.333333333","","45.55555556",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00110","","","","3","1","3","2","3","2","1","","3","5","5","3","6","7","0.2","0.1","0.5","0.3","0.8","5","0.066666667","0.05","0.06","5","3","0.3","0.5","60","37.5","6.666666667","10","16.66666667","26.66666667","1.666666667","1","0.1","0.166666667","33.33333333","2.222222222","3.333333333","5.555555556","8.888888889"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00111","","","","3","1","6","","3","1","2","2","3","3","3","4","5","6","0.6","","0.5","","","","0.1","","","","3","","0.25","","","10","","8.333333333","","","2","","0.166666667","66.66666667","6.666666667","","5.555555556",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00112","","","","1","1","1","","3","3","2","1","1","5","3","5","5","6","0.2","","0.8","","","","0.2","","","","0.5","","0.4","","","3.333333333","","13.33333333","","","0.333333333","","0.266666667","66.66666667","2.222222222","","8.888888889",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00113","","","","1","1","2","","3","3","3","2","1","5","5","6","3","6","0.2","","2.9","","","","0.1","","","","0.666666667","","0.966666667","","","2.222222222","","32.22222222","","","0.666666667","","0.966666667","100","2.222222222","","32.22222222",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00114","","","","1","1","4","","3","3","3","3","1","3","1","7","1","5","0.8","","3.7","","","","0.2","","","","1.333333333","","1.233333333","","","8.888888889","","41.11111111","","","1.333333333","","1.233333333","100","8.888888889","","41.11111111",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00115","","","","1","1","1","","3","3","2","2","1","3","3","8","1","3","0.3","","2.6","","","","0.3","","","","0.5","","1.3","","","5","","43.33333333","","","0.333333333","","0.866666667","66.66666667","3.333333333","","28.88888889",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00116","","","","3","1","3","3","3","3","2","2","3","3","1","6","4","5","1.1","0.2","2.1","1.3","3.4","6","0.366666667","0.066666667","0.216666667","3","1.5","0.65","1.05","50","38.23529412","18.33333333","21.66666667","35","56.66666667","2","1","0.433333333","0.7","66.66666667","12.22222222","14.44444444","23.33333333","37.77777778"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00117","","","","3","1","5","","3","3","2","2","1","3","5","5","6","6","0.3","","1.1","","","","0.06","","","","2.5","","0.55","","","5","","18.33333333","","","1.666666667","","0.366666667","66.66666667","3.333333333","","12.22222222",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00118","","","","3","1","1","3","3","3","3","1","1","3","5","5","7","6","0.1","0.1","1.5","0.2","1.7","4","0.1","0.033333333","0.05","1.333333333","0.333333333","0.066666667","0.5","25","11.76470588","1.111111111","2.222222222","16.66666667","18.88888889","1.333333333","0.333333333","0.066666667","0.5","100","1.111111111","2.222222222","16.66666667","18.88888889"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00119","","","","","","","","3","1","1","","","","","5","6","6","","","0.3","","","","","","","","","","0.3","","","","","10","","","","","0.1","33.33333333","","","3.333333333",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00012","","","","3","1","3","","3","3","3","2","3","3","5","6","3","5","0.5","","1.5","","","","0.166666667","","","","1","","0.5","","","5.555555556","","16.66666667","","","1","","0.5","100","5.555555556","","16.66666667",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00120","","","","3","1","","2","3","3","2","1","1","7","7","6","1","5","","0.2","1","","","","","0.1","","","","","0.5","","","","","16.66666667","","","","","0.333333333","66.66666667","","","11.11111111",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00121","","","","3","1","4","","3","3","3","3","1","1","1","8","1","3","3","","12","","","","0.75","","","","1.333333333","","4","","","33.33333333","","133.3333333","","","1.333333333","","4","100","33.33333333","","133.3333333",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00122","","","","3","1","3","8","3","3","3","3","1","3","3","7","4","4","0.5","0.3","2.5","0.8","3.3","11","0.166666667","0.0375","0.072727273","3.666666667","1","0.266666667","0.833333333","27.27272727","24.24242424","5.555555556","8.888888889","27.77777778","36.66666667","3.666666667","1","0.266666667","0.833333333","100","5.555555556","8.888888889","27.77777778","36.66666667"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00123","","","","3","1","7","2","3","3","3","3","5","3","3","7","3","6","0.7","0.1","1.6","0.8","2.4","9","0.1","0.05","0.088888889","3","2.333333333","0.266666667","0.533333333","77.77777778","33.33333333","7.777777778","8.888888889","17.77777778","26.66666667","3","2.333333333","0.266666667","0.533333333","100","7.777777778","8.888888889","17.77777778","26.66666667"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00124","","","","","","","","3","3","2","","","","","5","3","6","","","0.7","","","","","","","","","","0.35","","","","","11.66666667","","","","","0.233333333","66.66666667","","","7.777777778",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00125","","","","3","1","5","5","3","3","3","3","1","3","3","6","5","6","0.8","0.1","1.1","0.9","2","10","0.16","0.02","0.09","3.333333333","1.666666667","0.3","0.366666667","50","45","8.888888889","10","12.22222222","22.22222222","3.333333333","1.666666667","0.3","0.366666667","100","8.888888889","10","12.22222222","22.22222222"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00126","","","","","","","","3","3","3","","","","","6","5","6","","","0.1","","","","","","","","","","0.033333333","","","","","1.111111111","","","","","0.033333333","100","","","1.111111111",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00127","","","","","","","","3","3","3","","","","","7","6","4","","","3.4","","","","","","","","","","1.133333333","","","","","37.77777778","","","","","1.133333333","100","","","37.77777778",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00128","","","","","","","","3","2","1","","","","","6","5","5","","","0.7","","","","","","","","","","0.7","","","","","23.33333333","","","","","0.233333333","33.33333333","","","7.777777778",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00129","","","","3","1","1","","3","3","2","","1","3","3","7","3","5","0.2","","1.7","","","","0.2","","","","0.5","","0.85","","","3.333333333","","28.33333333","","","0.333333333","","0.566666667","66.66666667","2.222222222","","18.88888889",""
