"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00001","","","","4","3.6496868","2.403512001","1.133074045","20.95","48.38","0.389140993","1.77037704","4.539344788","70.19320679","14.28390121","1","4","5","9","8","10","6","2","2","43.30301778","4","5","6","3","4","0.5","0.2","4.6","0.7","5.3","9","0.125","0.04","0.077777778","1.125","0.9","0.5","0.4","0.0875","0.07","0.575","0.46","44.44444444","13.20754717","80","0.303121124","1.666666667","2.083333333","2.333333333","2.916666667","15.33333333","19.16666667","1.010403748","1.263004685","17.66666667","22.08333333"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00010","","","","4","7.127121","2.337368011","1.269418001","20.94","48.65","0.347761005","1.724557042","4.069105148","65.68634796","11.82717419","1","3","1","10","7","10","3","2","2","43.04213772","4","5","5","5","4","0.2","0.1","1.8","0.3","2.1","4","0.066666667","0.1","0.075","0.571428571","0.4","0.428571429","0.3","0.042857143","0.03","0.257142857","0.18","75","14.28571429","70","0.129126413","0.666666667","0.952380952","1","1.428571429","6","8.571428571","0.430421377","0.614887682","7","10"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00100","","","","4","","","","","","","","","","","1","","","7","7","10","1","2","","","6","7","5","4","5","2","0.1","3.4","2.1","5.5","","","","","","","","","0.3","0.21","0.485714286","0.34","","38.18181818","70","","6.666666667","9.523809524","7","10","11.33333333","16.19047619","","","18.33333333","26.19047619"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00101","","","","","","","","","","","","","","","","0","0","","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00102","","","","4","4.2021027","2.319504976","1.011419058","18.72","48.97","2.779295921","4.609032154","4.634169102","65.26242828","8.733036995","1","3","","4","2","10","2","3","2","38.22748622","4","4","5","4","3","0.6","","0.1","","","","0.2","","","","","1.5","0.3","","","0.05","0.01","","","20","","2","10","","","0.333333333","1.666666667","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00103","","","","4","1.8183594","2.292112112","1.122432947","8.17","17.92","0.579585016","2.066188097","4.418680191","68.91087341","13.44846439","","","","2","1","10","1","","","45.59151786","","","5","3","4","","","0.6","","","","","","","","","","","","","0.6","0.06","","","10","","","","","","2","20","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00104","","","","4","","","","","","","","","","","","","","7","3","10","1","","","","","","4","5","5","","","0.8","","","","","","","","","","","","","0.266666667","0.08","","","30","","","","","","2.666666667","8.888888889","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00011","","","","4","","","","","","","","","","","1","","4","10","9","10","3","2","","","5","6","6","5","4","","0.1","1.8","","","","","0.025","","","","","","","","0.2","0.18","","","90","","","","","","6","6.666666667","","","",""
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00012","","","","5","","","","15.14","48.96","","","","","","1","10","5","10","8","10","8","3","3","30.92320261","4","4","6","3","3","1.6","0.3","1.8","1.9","3.7","15","0.16","0.06","0.126666667","1.875","1.5","1.25","1","0.2375","0.19","0.225","0.18","66.66666667","51.35135135","80","0.58754085","5.333333333","6.666666667","6.333333333","7.916666667","6","7.5","1.958469499","2.448086874","12.33333333","15.41666667"
"","","GHP2016OHW-PT01","","","","","","","","","GHP2016OHW-PT01-00013","","","","4","4.0854855","2.207602978","1.061828017","17.29","48.57","1.719830036","3.198348999","3.547981024","66.82394409","9.394253731","1","10","9","9","9","10","8","3","2","35.59810583","3","3","7","3","3","3","0.4","4.2","3.4","7.6","19","0.3","0.044444444","0.178947368","2.111111111","1.9","1.111111111","1","0.377777778","0.34","0.466666667","0.42","52.63157895","44.73684211","90","1.210335598","10","11.11111111","11.33333333","12.59259259","14","15.55555556","4.034451994","4.482724437","25.33333333","28.14814815"
