"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00001","","","","0","1.57208","0.791248","0.517439","1.223065","5","5","10","6","10","6","17","13","4","8","2.6664121","5","73.5995178","42.7894113","5","3","16.2091675","8","1","1","3.1","0.8","1.2","3.9","5.1","30","0.182352941","0.061538462","0.13","5","3","2.833333333","1.7","0.65","0.39","0.2","0.12","56.66666667","76.47058824","60","1.668787041","10.33333333","17.22222222","13","21.66666667","4","6.666666667","5.562623469","9.271039115","17","28.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00010","","","","38.8974075","2.044147","1.220107","2.541327","4.1174879","3","1","10","4","10","4","7","0","8","8","3.9593029","1","50.524044","27.4135876","1","5","26.2083111","5","2","4","1","0","1.9","1","2.9","7","0.142857143","","0.142857143","1.75","0.7","1.75","0.7","0.25","0.1","0.475","0.19","100","34.48275862","40","0.274135876","3.333333333","8.333333333","3.333333333","8.333333333","6.333333333","15.83333333","0.913786253","2.284465633","9.666666667","24.16666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00011","","","","","","","","","","","10","5","10","0","0","0","","","","","","","","","","6","2","1","0","0","1.4","0","1.4","0","","","","0","0","0","0","0","0","0.28","0.14","","0","50","","0","0","0","0","4.666666667","9.333333333","","","4.666666667","9.333333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00012","","","","0","1.177688","0.697191","0.849182","2.0149031","3","1","9","7","10","7","5","16","2","6","2.187521","1","73.6414337","36.64288545","3","5","14.0997314","7","4","5","0.8","0.7","3","1.5","4.5","21","0.16","0.04375","0.071428571","3","2.1","0.714285714","0.5","0.214285714","0.15","0.428571429","0.3","23.80952381","33.33333333","70","0.549643282","2.666666667","3.80952381","5","7.142857143","10","14.28571429","1.832144273","2.617348961","15","21.42857143"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00013","","","","33.7712975","1.722154","0.966671","3.0121839","4.986877","3","1","10","8","10","8","14","6","8","8","2.1159339","3","64.0443573","30.03554502","3","1","17.9477558","9","1","1","5.7","0.3","4.8","6","10.8","20","0.407142857","0.05","0.3","2.5","2","1.75","1.4","0.75","0.6","0.6","0.48","70","55.55555556","80","1.802132701","19","23.75","20","25","16","20","6.007109004","7.508886255","36","45"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00014","","","","0","1.354578","0.882672","0.729228","1.282202","5","1","10","10","10","10","6","10","4","7","2.771215","3","67.7333679","35.52997221","3","5","16.4934673","8","1","1","1","0.6","2.5","1.6","4.1","16","0.166666667","0.06","0.1","1.6","1.6","0.6","0.6","0.16","0.16","0.25","0.25","37.5","39.02439024","100","0.568479555","3.333333333","3.333333333","5.333333333","5.333333333","8.333333333","8.333333333","1.894931851","1.894931851","13.66666667","13.66666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00015","","","","19.6176605","1.542395","0.801649","1.209218","2.2602639","3","1","10","9","10","9","15","16","8","7","2.6210539","3","67.9407425","33.45330934","1","1","17.0717411","7","1","1","4.7","0.8","2.3","5.5","7.8","31","0.313333333","0.05","0.177419355","3.444444444","3.1","1.666666667","1.5","0.611111111","0.55","0.255555556","0.23","48.38709677","70.51282051","90","1.839932014","15.66666667","17.40740741","18.33333333","20.37037037","7.666666667","8.518518519","6.133106712","6.814563014","26","28.88888889"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00016","","","","30.6880646","1.674577","0.96306","2.4238451","3.7297821","1","1","10","10","10","9","15","16","7","5","2.529068","1","58.880394","27.08785785","3","3","22.336935","7","1","2","3.6","0.9","1.5","4.5","6","31","0.24","0.05625","0.14516129","3.1","3.1","1.5","1.5","0.45","0.45","0.15","0.15","48.38709677","75","100","1.218953603","12","12","15","15","5","5","4.063178678","4.063178678","20","20"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00017","","","","27.7525139","1.611732","0.829847","1.774262","2.777221","5","1","10","9","10","9","20","25","7","8","2.3094621","5","59.4702225","28.31050228","1","1","23.6224537","8","1","1","6","1.3","1.3","7.3","8.6","45","0.3","0.052","0.162222222","5","4.5","2.222222222","2","0.811111111","0.73","0.144444444","0.13","44.44444444","84.88372093","90","2.066666666","20","22.22222222","24.33333333","27.03703704","4.333333333","4.814814815","6.888888888","7.654320987","28.66666667","31.85185185"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00018","","","","0","1.507766","0.90109","0.432502","1.169431","1","1","10","10","10","10","10","23","4","4","2.4802339","1","69.2242203","35.74840764","1","3","18.5253201","7","2","3","2","1.2","1.1","3.2","4.3","33","0.2","0.052173913","0.096969697","3.3","3.3","1","1","0.32","0.32","0.11","0.11","30.3030303","74.41860465","100","1.143949044","6.666666667","6.666666667","10.66666667","10.66666667","3.666666667","3.666666667","3.813163482","3.813163482","14.33333333","14.33333333"
