"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00001","","","","1.9171257","1.789746","0.649283","1.641912","2.397239","3","3","10","10","10","10","6","13","6","7","2.482723","4","69.6525497","6","40.89093088","3","3","10.2479935","8","1","1","1.7","0.7","20","2.4","22.4","19","0.283333333","0.053846154","0.126315789","1.9","0.6","0.24","2","31.57894737","10.71428571","0.981382341","5.666666667","8","66.66666667","3.27127447","74.66666667","1.9","0.6","0.24","2","100","5.666666667","8","66.66666667","3.27127447","74.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00010","","","","0","1.469673","0.6896","1.328056","2.2838011","3","5","10","10","6","6","16","5","3","7","3.5872819","5","73.4957886","7","41.10405083","3","3","9.9345694","5","1","1","4.1","0.3","7","4.4","11.4","21","0.25625","0.06","0.20952381","3.5","2.666666667","0.733333333","1.166666667","76.19047619","38.59649123","1.808578237","22.77777778","24.44444444","38.88888889","10.04765687","63.33333333","2.1","1.6","0.44","0.7","60","13.66666667","14.66666667","23.33333333","6.028594122","38"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00011","","","","0","1.7987649","0.861956","0.163163","0.971993","3","5","10","10","10","10","14","7","5","4","2.957855","5","71.3473587","6","40.90727418","3","5","12.4434958","7","1","1","2.5","0.3","14","2.8","16.8","21","0.178571429","0.042857143","0.133333333","2.1","1.4","0.28","1.4","66.66666667","16.66666667","1.145403677","8.333333333","9.333333333","46.66666667","3.818012257","56","2.1","1.4","0.28","1.4","100","8.333333333","9.333333333","46.66666667","3.818012257","56"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00012","","","","5.6276817","1.684437","0.673685","5.390996","7.3383608","3","3","10","10","8","7","14","10","6","7","2.4175301","5","66.1475677","6","33.0870607","3","5","8.2810221","6","3","3","2","0.4","4","2.4","6.4","24","0.142857143","0.04","0.1","3","1.75","0.3","0.5","58.33333333","37.5","0.794089457","8.333333333","10","16.66666667","3.30870607","26.66666667","2.4","1.4","0.24","0.4","80","6.666666667","8","13.33333333","2.646964856","21.33333333"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00013","","","","0","1.906877","0.823149","0.754273","1.6530811","3","3","10","10","9","9","19","6","3","8","4.0785828","5","71.6118164","7","39.86566574","3","5","10.1164093","6","3","3","5.2","0.2","4.5","5.4","9.9","25","0.273684211","0.033333333","0.216","2.777777778","2.111111111","0.6","0.5","76","54.54545455","2.15274595","19.25925926","20","16.66666667","7.973133148","36.66666667","2.5","1.9","0.54","0.45","90","17.33333333","18","15","7.175819833","33"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00014","","","","0","1.750056","0.741129","1.047626","1.777931","5","5","10","10","10","10","22","4","3","3","3.278898","6","71.4959106","6","42.13873981","3","3","12.1009455","7","1","1","6.8","0.3","5","7.1","12.1","26","0.309090909","0.075","0.273076923","2.6","2.2","0.71","0.5","84.61538462","58.67768595","2.991850527","22.66666667","23.66666667","16.66666667","9.972835088","40.33333333","2.6","2.2","0.71","0.5","100","22.66666667","23.66666667","16.66666667","9.972835088","40.33333333"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00015","","","","0","2.022119","1.022143","2.2595999","4.0666461","3","5","10","10","10","10","29","13","5","5","4.0278072","5","69.1818466","7","37.54720731","3","3","8.7776909","6","3","4","5.3","0.5","5","5.8","10.8","42","0.182758621","0.038461538","0.138095238","4.2","2.9","0.58","0.5","69.04761905","53.7037037","2.177738024","17.66666667","19.33333333","16.66666667","7.259126747","36","4.2","2.9","0.58","0.5","100","17.66666667","19.33333333","16.66666667","7.259126747","36"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00016","","","","35.9308891","2.4190741","1.201026","2.987581","5.4131718","5","5","10","10","8","8","21","25","7","6","3.640223","6","60.4283104","7","29.87166831","3","5","15.6307945","6","3","4","3.2","0.9","4.5","4.1","8.6","46","0.152380952","0.036","0.089130435","5.75","2.625","0.5125","0.5625","45.65217391","47.6744186","1.224738401","13.33333333","17.08333333","18.75","5.10307667","35.83333333","4.6","2.1","0.41","0.45","80","10.66666667","13.66666667","15","4.082461336","28.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00017","","","","2.2728786","1.862087","0.690055","2.061923","2.9815559","5","1","10","10","7","7","17","11","6","7","2.472609","4","67.2049789","9","38.43712812","3","5","9.4981537","9","1","1","2.1","0.3","13","2.4","15.4","28","0.123529412","0.027272727","0.085714286","4","2.428571429","0.342857143","1.857142857","60.71428571","15.58441558","0.922491075","10","11.42857143","61.9047619","4.392814642","73.33333333","2.8","1.7","0.24","1.3","70","7","8","43.33333333","3.07497025","51.33333333"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00018","","","","0","1.637237","0.813257","0.981157","2.353569","3","5","10","10","5","5","20","5","3","8","2.9793639","4","71.5290985","7","35.02396166","3","3","10.9442863","6","1","1","6.4","0.2","7","6.6","13.6","25","0.32","0.04","0.264","5","4","1.32","1.4","80","48.52941176","2.31158147","42.66666667","44","46.66666667","15.41054313","90.66666667","2.5","2","0.66","0.7","50","21.33333333","22","23.33333333","7.705271565","45.33333333"
