"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00101","","","","5","5","","","7","8","6","4","5","1.3","0.2","1.7","1.5","3.2","15","0.185714286","0.025","0.1","","","","","46.66666667","46.875","","","","","3","1.4","0.3","0.34","","8.666666667","10","11.33333333","21.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00102","","","","5","5","","","10","6","7","2","5","2.1","0.2","2.5","2.3","4.8","16","0.21","0.033333333","0.14375","","","","","62.5","47.91666667","","","","","3.2","2","0.46","0.5","","14","15.33333333","16.66666667","32"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00103","","","","5","5","","","8","7","6","3","5","1.7","0.3","1.8","2","3.8","15","0.2125","0.042857143","0.133333333","","","","","53.33333333","52.63157895","","","","","3","1.6","0.4","0.36","","11.33333333","13.33333333","12","25.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00104","","","","5","5","","","7","4","5","3","5","1.8","0.2","2","2","4","11","0.257142857","0.05","0.181818182","","","","","63.63636364","50","","","","","2.2","1.4","0.4","0.4","","12","13.33333333","13.33333333","26.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00105","","","","5","5","","","11","1","5","3","4","4","0.2","2.3","4.2","6.5","12","0.363636364","0.2","0.35","","","","","91.66666667","64.61538462","","","","","2.4","2.2","0.84","0.46","","26.66666667","28","15.33333333","43.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00106","","","","5","5","","","13","2","7","2","3","3.2","0.2","5.4","3.4","8.8","15","0.246153846","0.1","0.226666667","","","","","86.66666667","38.63636364","","","","","3","2.6","0.68","1.08","","21.33333333","22.66666667","36","58.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00107","","","","5","5","","","9","2","7","3","4","2.3","0.2","1.7","2.5","4.2","11","0.255555556","0.1","0.227272727","","","","","81.81818182","59.52380952","","","","","2.2","1.8","0.5","0.34","","15.33333333","16.66666667","11.33333333","28"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00108","","","","5","5","","","5","4","7","1","4","3","0.3","4.3","3.3","7.6","9","0.6","0.075","0.366666667","","","","","55.55555556","43.42105263","","","","","1.8","1","0.66","0.86","","20","22","28.66666667","50.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00109","","","","5","5","","","9","4","6","1","4","3.7","0.3","3.2","4","7.2","13","0.411111111","0.075","0.307692308","","","","","69.23076923","55.55555556","","","","","2.6","1.8","0.8","0.64","","24.66666667","26.66666667","21.33333333","48"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00110","","","","5","5","","","7","6","6","3","4","2","0.3","1.3","2.3","3.6","13","0.285714286","0.05","0.176923077","","","","","53.84615385","63.88888889","","","","","2.6","1.4","0.46","0.26","","13.33333333","15.33333333","8.666666667","24"
