"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00001","","","","","","","","","","","","1","30","2","2","6","6","3","","","","6","","8","","5","7","","4","7","6","0.5","0.3","13","0.8","13.8","4","0.25","0.15","0.2","0.666666667","0.333333333","0.133333333","2.166666667","50","5.797101449","","2.777777778","4.444444444","72.22222222","","76.66666667","0.133333333","0.066666667","0.026666667","0.433333333","20","0.555555556","0.888888889","14.44444444","","15.33333333"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00010","","","","33.6266251","2.170414","1.3318141","50.43","11.52","7.5137472","10.4450827","7","3","30","31","20","30","22","22","8","5","4.9726052","6","55.0168152","8","22.84354551","3","5","8.0195704","5","5","7","4.1","1","2.5","5.1","7.6","51","0.132258065","0.05","0.1","2.318181818","1.409090909","0.231818182","0.113636364","60.78431373","67.10526316","1.165020821","6.212121212","7.727272727","3.787878788","1.765183062","11.51515152","1.7","1.033333333","0.17","0.083333333","73.33333333","4.555555556","5.666666667","2.777777778","1.294467579","8.444444444"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00011","","","","0","2.5244541","1.454688","50.17","18.34","0","1.2696919","5","1","30","52","36","28","26","25","4","8","6.7197008","5","69.4830475","6","36.55571058","3","3","16.6250172","5","4","5","12.2","1.9","2.5","14.1","16.6","88","0.234615385","0.052777778","0.160227273","3.384615385","2","0.542307692","0.096153846","59.09090909","84.93975904","5.154355192","15.64102564","18.07692308","3.205128205","6.608147682","21.28205128","2.933333333","1.733333333","0.47","0.083333333","86.66666667","13.55555556","15.66666667","2.777777778","5.727061325","18.44444444"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00012","","","","0","1.84233","1.067739","50.46","15.72","0.61095","1.86474","3","1","30","25","26","30","23","23","4","4","4.349844","4","69.4087906","6","31.15338882","3","3","15.6256628","5","4","5","4.5","1.3","4.5","5.8","10.3","51","0.18","0.05","0.11372549","2.217391304","1.086956522","0.252173913","0.195652174","49.01960784","56.31067961","1.806896552","6.52173913","8.405797101","6.52173913","2.618690655","14.92753623","1.7","0.833333333","0.193333333","0.15","76.66666667","5","6.444444444","5","2.007662835","11.44444444"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00013","","","","21.3805656","2.2835031","1.3325599","50.51","13.92","1.773445","3.783653","3","3","30","35","12","29","17","16","6","5","4.005671","5","55.8005714","6","27.55889923","3","3","26.770895","6","4","4","6.8","0.5","10.5","7.3","17.8","47","0.194285714","0.041666667","0.155319149","2.764705882","2.058823529","0.429411765","0.617647059","74.46808511","41.01123596","2.011799644","13.33333333","14.31372549","20.58823529","3.944705184","34.90196078","1.566666667","1.166666667","0.243333333","0.35","56.66666667","7.555555556","8.111111111","11.66666667","2.235332937","19.77777778"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00014","","","","7.0400429","2.08672","1.201731","50.84","13.68","3.7747719","6.2574649","3","1","30","14","9","25","9","9","3","7","4.5495572","5","60.6134109","7","26.9079465","3","3","14.5557642","7","3","4","4.7","0.3","17.5","5","22.5","23","0.335714286","0.033333333","0.217391304","2.555555556","1.555555556","0.555555556","1.944444444","60.86956522","22.22222222","1.345397325","17.40740741","18.51851852","64.81481481","4.982953055","83.33333333","0.766666667","0.466666667","0.166666667","0.583333333","30","5.222222222","5.555555556","19.44444444","1.494885917","25"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00015","","","","0","1.6245511","1.045797","50.62","18.4","0.913833","3.4246471","5","1","30","3","2","8","5","4","5","2","3.985008","5","72.3536758","5","36.34926906","3","5","16.8726807","6","5","5","0.7","0.1","5.5","0.8","6.3","5","0.233333333","0.05","0.16","1","0.6","0.16","1.1","60","12.6984127","0.290794153","4.666666667","5.333333333","36.66666667","1.938627683","42","0.166666667","0.1","0.026666667","0.183333333","16.66666667","0.777777778","0.888888889","6.111111111","0.323104614","7"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00016","","","","0","1.882992","1.184759","50.46","17.18","0.961984","2.556334","3","1","30","25","22","28","14","13","4","8","4.9979339","6","69.4372101","7","34.04676972","3","5","14.3563461","6","6","6","4.6","1","9.5","5.6","15.1","47","0.184","0.045454545","0.119148936","3.357142857","1.785714286","0.4","0.678571429","53.19148936","37.08609272","1.906619104","10.95238095","13.33333333","22.61904762","4.539569296","35.95238095","1.566666667","0.833333333","0.186666667","0.316666667","46.66666667","5.111111111","6.222222222","10.55555556","2.118465671","16.77777778"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00017","","","","22.3165245","2.4946439","1.303697","50.41","11.66","3.3062961","5.9626889","3","1","30","34","22","28","17","17","6","5","4.3889871","5","57.3769531","6","23.13033128","3","3","18.6838951","5","3","5","6.5","0.8","6.5","7.3","13.8","56","0.191176471","0.036363636","0.130357143","3.294117647","2","0.429411765","0.382352941","60.71428571","52.89855072","1.688514184","12.74509804","14.31372549","12.74509804","3.310812125","27.05882353","1.866666667","1.133333333","0.243333333","0.216666667","56.66666667","7.222222222","8.111111111","7.222222222","1.876126871","15.33333333"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00018","","","","37.5976715","2.0758369","1.381063","50.42","9.67","9.9689379","13.8616505","5","3","30","19","12","20","16","16","8","5","4.8276939","6","50.7178688","8","19.17889726","3","5","6.1770692","4","6","7","3.2","0.3","6","3.5","9.5","31","0.168421053","0.025","0.112903226","1.9375","1.1875","0.21875","0.375","61.29032258","36.84210526","0.671261404","6.666666667","7.291666667","12.5","1.398461259","19.79166667","1.033333333","0.633333333","0.116666667","0.2","53.33333333","3.555555556","3.888888889","6.666666667","0.745846005","10.55555556"
