"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00001","","","","1.364893","1.973186","1.23111","1.202872","3.0542679","5","1","10","10","8","7","9","8","5","3","4.0824742","5","67.8522415","6","36.49431024","5","5","12.7190371","8","1","3","1.1","0.4","16.5","1.5","18","17","0.122222222","0.05","0.088235294","2.125","1.125","0.1875","2.0625","52.94117647","8.333333333","0.547414654","4.583333333","6.25","68.75","2.28089439","75","1.7","0.9","0.15","1.65","80","3.666666667","5","55","1.824715512","60"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00010","","","","0","1.537042","0.835402","1.01765","2.681963","5","1","10","10","10","10","46","7","3","6","3.250618","4","73.6527557","7","35.85959314","4","3","12.2859306","7","3","3","12.3","0.4","14.5","12.7","27.2","53","0.267391304","0.057142857","0.239622642","5.3","4.6","1.27","1.45","86.79245283","46.69117647","4.554168329","41","42.33333333","48.33333333","15.1805611","90.66666667","5.3","4.6","1.27","1.45","100","41","42.33333333","48.33333333","15.1805611","90.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00011","","","","0","1.4474649","0.799555","0","1.035693","5","1","10","10","10","10","31","31","5","3","3.5438271","5","77.3769531","6","41.30521289","3","5","13.3496485","3","1","8","5.2","1.1","12","6.3","18.3","62","0.167741935","0.035483871","0.101612903","6.2","3.1","0.63","1.2","50","34.42622951","2.602228412","17.33333333","21","40","8.674094707","61","6.2","3.1","0.63","1.2","100","17.33333333","21","40","8.674094707","61"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00012","","","","16.6541901","1.948971","1.1817729","4.3373628","6.9273772","3","1","10","10","9","9","43","23","6","7","3.439445","4","56.9717827","7","22.62093577","3","3","16.7918701","7","1","4","11.7","0.6","7","12.3","19.3","66","0.272093023","0.026086957","0.186363636","7.333333333","4.777777778","1.366666667","0.777777778","65.15151515","63.73056995","2.7823751","43.33333333","45.55555556","25.92592593","10.30509296","71.48148148","6.6","4.3","1.23","0.7","90","39","41","23.33333333","9.274583666","64.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00013","","","","","","","","","7","3","10","10","10","10","33","28","5","5","","5","","6","30.38225391","3","3","","7","3","5","7.4","1.5","9.5","8.9","18.4","61","0.224242424","0.053571429","0.145901639","6.1","3.3","0.89","0.95","54.09836066","48.36956522","2.704020598","24.66666667","29.66666667","31.66666667","9.013401993","61.33333333","6.1","3.3","0.89","0.95","100","24.66666667","29.66666667","31.66666667","9.013401993","61.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00014","","","","0.7955952","1.724988","0.901894","2.422575","4.304657","5","1","10","10","9","9","34","16","3","3","3.7094209","5","67.3108368","7","30.15966884","3","3","15.6766844","6","4","5","7.3","0.6","4.5","7.9","12.4","50","0.214705882","0.0375","0.158","5.555555556","3.777777778","0.877777778","0.5","68","63.70967742","2.382613838","27.03703704","29.25925926","16.66666667","8.824495698","45.92592593","5","3.4","0.79","0.45","90","24.33333333","26.33333333","15","7.942046128","41.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00015","","","","0","1.838161","1.064301","0.932329","2.702147","5","1","10","10","8","8","29","23","5","5","4.7420621","5","71.2833176","6","30.83743842","4","5","15.2531004","6","3","5","4.6","1.1","5","5.7","10.7","52","0.15862069","0.047826087","0.109615385","6.5","3.625","0.7125","0.625","55.76923077","53.27102804","1.75773399","19.16666667","23.75","20.83333333","7.323891625","44.58333333","5.2","2.9","0.57","0.5","80","15.33333333","19","16.66666667","5.8591133","35.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00016","","","","37.2312469","2.2413099","1.537027","3.8037879","6.3142838","5","3","10","10","10","10","31","29","7","6","4.454412","6","45.8430939","7","19.56565053","4","5","27.3956776","6","3","5","5.2","1","5","6.2","11.2","60","0.167741935","0.034482759","0.103333333","6","3.1","0.62","0.5","51.66666667","55.35714286","1.213070333","17.33333333","20.66666667","16.66666667","4.043567776","37.33333333","6","3.1","0.62","0.5","100","17.33333333","20.66666667","16.66666667","4.043567776","37.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00017","","","","0","1.794291","1.035881","0","1.17431","5","1","10","10","10","10","41","48","5","2","3.8832021","5","72.0996704","7","38.01505547","3","5","14.5913839","4","1","7","6.8","2.2","15","9","24","89","0.165853659","0.045833333","0.101123596","8.9","4.1","0.9","1.5","46.06741573","37.5","3.421354992","22.66666667","30","50","11.40451664","80","8.9","4.1","0.9","1.5","100","22.66666667","30","50","11.40451664","80"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00018","","","","0","1.741434","1.031773","0.583868","2.37275","5","3","10","10","10","10","31","21","4","5","3.789871","7","73.8029022","8","34.25667597","4","5","17.5066986","6","3","5","6.2","0.8","3","7","10","52","0.2","0.038095238","0.134615385","5.2","3.1","0.7","0.3","59.61538462","70","2.397967318","20.66666667","23.33333333","10","7.993224393","33.33333333","5.2","3.1","0.7","0.3","100","20.66666667","23.33333333","10","7.993224393","33.33333333"
