"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00001","","","","1","13.7637787","1.28406","0.715205","50.51","0.60928","2.002203","1","68","43","29","28","30","27","7","6","2.5302961","1","79.481041","25.83646803","6","1","9.0151815","7","1","1","20.1","2.9","20.67","23","43.67","111","0.295588235","0.06744186","0.207207207","3.964285714","3.7","2.428571429","2.266666667","0.821428571","0.766666667","0.738214286","0.689","61.26126126","52.66773529","93.33333333","5.942387647","22.33333333","23.92857143","25.55555556","27.38095238","22.96666667","24.60714286","6.602652941","7.074271008","48.52222222","51.98809524"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00010","","","","1","26.4359436","2.0223069","1.2161469","50.44","3.4664531","5.8673639","1","42","33","30","29","30","29","7","6","3.34042","1","59.2490959","21.9666931","6","1","17.5595284","6","1","1","11.68","2.12","14.18","13.8","27.98","75","0.278095238","0.064242424","0.184","2.586206897","2.5","1.448275862","1.4","0.475862069","0.46","0.488965517","0.472666667","56","49.32094353","96.66666667","3.031403648","12.97777778","13.42528736","15.33333333","15.86206897","15.75555556","16.29885057","3.368226275","3.484372009","31.08888889","32.16091954"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00011","","","","1","14.8646736","1.524106","0.697057","50.58","4.1239009","5.8204479","5","79","37","30","30","30","30","7","6","2.1376131","1","66.2318878","25.64254646","4","1","9.133316","8","1","1","2.24","18.76","28.74","21","49.74","116","0.02835443","0.507027027","0.181034483","3.866666667","3.866666667","2.633333333","2.633333333","0.7","0.7","0.958","0.958","68.10344828","42.21954162","100","5.384934757","2.488888889","2.488888889","23.33333333","23.33333333","31.93333333","31.93333333","5.983260841","5.983260841","55.26666667","55.26666667"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00012","","","","1","0","1.193375","0.662958","50.44","1.778949","3.197371","1","12","15","30","30","30","28","5","5","1.754894","1","73.9854279","29.0444092","5","5","9.9658966","6","2","2","2.12","0.34","33.53","2.46","35.99","27","0.176666667","0.022666667","0.091111111","0.9","0.9","0.4","0.4","0.082","0.082","1.117666667","1.117666667","44.44444444","6.835232009","100","0.714492466","2.355555556","2.355555556","2.733333333","2.733333333","37.25555556","37.25555556","0.793880518","0.793880518","39.98888889","39.98888889"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00013","","","","1","0","1.120698","0.591922","50.94","0.808542","1.687301","1","20","26","30","30","30","30","3","5","2.229713","1","78.4503937","33.2155477","7","7","8.5613079","6","2","2","1.62","0.88","25.58","2.5","28.08","46","0.081","0.033846154","0.054347826","1.533333333","1.533333333","0.666666667","0.666666667","0.083333333","0.083333333","0.852666667","0.852666667","43.47826087","8.903133903","100","0.830388693","1.8","1.8","2.777777778","2.777777778","28.42222222","28.42222222","0.922654103","0.922654103","31.2","31.2"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00014","","","","1","0","1.241176","0.548722","50.37","0.938294","1.712232","1","49","65","29","28","30","27","4","5","2.3869231","1","76.4529343","33.31348025","5","1","7.8800159","8","1","1","10.5","2.84","36.78","13.34","50.12","114","0.214285714","0.043692308","0.117017544","4.071428571","3.8","1.75","1.633333333","0.476428571","0.444666667","1.313571429","1.226","42.98245614","26.61612131","93.33333333","4.444018265","11.66666667","12.5","14.82222222","15.88095238","40.86666667","43.78571429","4.937798073","5.290497935","55.68888889","59.66666667"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00015","","","","1","8.50634","1.664477","0.819503","50.04","2.3282919","3.690659","1","34","14","26","25","30","24","7","7","2.9357009","1","69.3431549","25.81934452","4","1","9.3164282","6","1","1","10.16","0.86","20.78","11.02","31.8","48","0.298823529","0.061428571","0.229583333","1.92","1.6","1.36","1.133333333","0.4408","0.367333333","0.8312","0.692666667","70.83333333","34.65408805","83.33333333","2.845291766","11.28888889","13.54666667","12.24444444","14.69333333","23.08888889","27.70666667","3.161435296","3.793722355","35.33333333","42.4"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00016","","","","1","0.8521042","1.729012","0.894579","50.79","1.746381","3.17312","1","55","38","28","28","30","27","6","7","2.909517","1","67.3084488","25.73341209","6","1","13.2711372","8","1","2","9.58","2.06","32.06","11.64","43.7","93","0.174181818","0.054210526","0.12516129","3.321428571","3.1","1.964285714","1.833333333","0.415714286","0.388","1.145","1.068666667","59.13978495","26.63615561","93.33333333","2.995369167","10.64444444","11.4047619","12.93333333","13.85714286","35.62222222","38.16666667","3.328187964","3.565915675","48.55555556","52.02380952"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00017","","","","1","0","1.377026","0.693327","50.56","3.0104439","4.7859411","3","40","30","28","28","30","28","2","8","2.15098","1","73.1878967","30.28085443","6","1","6.6102419","7","1","1","9.7","1.62","20.22","11.32","31.54","70","0.2425","0.054","0.161714286","2.5","2.333333333","1.428571429","1.333333333","0.404285714","0.377333333","0.722142857","0.674","57.14285714","35.89093215","93.33333333","3.427792721","10.77777778","11.54761905","12.57777778","13.47619048","22.46666667","24.07142857","3.808658579","4.080705621","35.04444444","37.54761905"
"","","GHP2017NYK-AT02","","","","","","","","","GHP2017NYK-AT02-00018","","","","1","2.392189","1.652374","0.843018","50.71","2.010195","3.3902349","1","44","30","30","30","30","28","6","5","2.5466559","1","69.8427353","24.94577007","6","1","9.871582","8","1","1","9.56","1.34","36","10.9","46.9","74","0.217272727","0.044666667","0.147297297","2.466666667","2.466666667","1.466666667","1.466666667","0.363333333","0.363333333","1.2","1.2","59.45945946","23.24093817","100","2.719088938","10.62222222","10.62222222","12.11111111","12.11111111","40","40","3.021209931","3.021209931","52.11111111","52.11111111"
