"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00001","","","","4","0","1.97","1.04","13.35","","3.55","","5.49","","3","3","8","8","8","30","8","5","5","3.7","2","2","","63.05","2","26.30023641","3","4","","11.41","6","1","1","0.58","0.5","6.02","1.08","7.1","11","0.193333333","0.0625","0.098181818","1.375","0.366666667","0.375","0.1","0.135","0.036","0.7525","0.200666667","27.27272727","15.21126761","26.66666667","0.284042553","0.644444444","2.416666667","1.2","4.5","6.688888889","25.08333333","0.315602837","1.183510638","7.888888889","29.58333333"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00010","","","","1","12.9354362","2.68","1.5","12.62","1.84","2.22","3.71","4.05","19.17","2","19","30","25","20","30","20","6","7","5.88","3","3","47.29","63.43","2","24.98020586","3","3","18.43","11.4","6","1","1","4.5","2.74","16.1","7.24","23.34","49","0.236842105","0.091333333","0.147755102","2.45","1.633333333","0.95","0.633333333","0.362","0.241333333","0.805","0.536666667","38.7755102","31.01970865","66.66666667","1.808566904","5","7.5","8.044444444","12.06666667","17.88888889","26.83333333","2.009518783","3.014278174","25.93333333","38.9"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00011","","","","2","0","1.71","0.99","16.42","1.4","1.16","2.19","1.92","24.54","2","9","23","30","20","30","20","3","6","4.42","2","2","56.21","72.24","2","32.50197941","3","3","15.42","8.08","7","1","1","3.5","1.66","12.32","5.16","17.48","32","0.388888889","0.072173913","0.16125","1.6","1.066666667","0.45","0.3","0.258","0.172","0.616","0.410666667","28.125","29.5194508","66.66666667","1.677102138","3.888888889","5.833333333","5.733333333","8.6","13.68888889","20.53333333","1.86344682","2.795170229","19.42222222","29.13333333"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00012","","","","4","35.4267578","2.74","1.7","11.93","1.87","2.82","5.3","5.62","10.6","3","22","47","30","26","30","26","7","6","4.92","4","4","43.06","53.91","3","23.58173552","4","4","23.53","19.91","8","2","2","4.92","3.28","15.3","8.2","23.5","69","0.223636364","0.069787234","0.11884058","2.653846154","2.3","0.846153846","0.733333333","0.315384615","0.273333333","0.588461538","0.51","31.88405797","34.89361702","86.66666667","1.933702313","5.466666667","6.307692308","9.111111111","10.51282051","17","19.61538462","2.148558125","2.479105529","26.11111111","30.12820513"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00013","","","","1","1.4531918","2.25","1.2","13.86","1.47","1.77","2.65","2.88","19.25","1","2","22","30","30","30","10","5","5","4.57","1","1","48.83","62.42","3","27.5","3","5","18.78","12.33","7","2","1","0.38","0.86","23.34","1.24","24.58","24","0.19","0.039090909","0.051666667","0.8","0.8","0.066666667","0.066666667","0.041333333","0.041333333","0.778","0.778","8.333333333","5.044751831","100","0.341","0.422222222","0.422222222","1.377777778","1.377777778","25.93333333","25.93333333","0.378888889","0.378888889","27.31111111","27.31111111"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00014","","","","2","13.8506718","2.06","1.01","14.73","2.2","5.27","4.48","7.66","18.34","2","25","47","28","26","30","26","6","6","3.27","1","1","47.47","63.49","2","28.97324941","4","3","18.34","8.31","9","1","1","7.84","3.72","26.1","11.56","37.66","72","0.3136","0.079148936","0.160555556","2.769230769","2.4","0.961538462","0.833333333","0.444615385","0.385333333","1.003846154","0.87","34.72222222","30.69569835","86.66666667","3.349307632","8.711111111","10.05128205","12.84444444","14.82051282","29","33.46153846","3.721452924","4.293984143","41.84444444","48.28205128"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00015","","","","1","0","2.27","1.25","15.81","1.53","2.65","2.35","4.69","16.34","1","25","29","28","17","30","17","5","6","4.77","1","1","55.83","66.99","2","31.35660452","3","4","16.18","10.92","9","2","1","5.4","2.1","10.92","7.5","18.42","54","0.216","0.072413793","0.138888889","3.176470588","1.8","1.470588235","0.833333333","0.441176471","0.25","0.642352941","0.364","46.2962963","40.71661238","56.66666667","2.351745339","6","10.58823529","8.333333333","14.70588235","12.13333333","21.41176471","2.613050377","4.611265371","20.46666667","36.11764706"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00016","","","","3","0","1.89","0.91","17.16","1.86","2.52","3.06","4.2","11.99","1","34","57","30","30","30","30","3","7","3.02","2","2","50.81","69.43","2","34.02736466","4","4","16.89","10.58","6","2","1","5.66","2.8","9.93","8.46","18.39","91","0.166470588","0.049122807","0.092967033","3.033333333","3.033333333","1.133333333","1.133333333","0.282","0.282","0.331","0.331","37.36263736","46.00326264","100","2.87871505","6.288888889","6.288888889","9.4","9.4","11.03333333","11.03333333","3.198572278","3.198572278","20.43333333","20.43333333"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00017","","","","2","0","1.55","0.9","15.57","1.86","2.2","1.75","3.34","1.23","2","28","32","28","21","30","21","5","5","3.28","3","3","64.26","69.48","2","31.11510791","2","3","13.46","12.14","8","2","1","5.7","4.6","14.3","10.3","24.6","60","0.203571429","0.14375","0.171666667","2.857142857","2","1.333333333","0.933333333","0.49047619","0.343333333","0.680952381","0.476666667","46.66666667","41.8699187","70","3.204856115","6.333333333","9.047619048","11.44444444","16.34920635","15.88888889","22.6984127","3.560951239","5.087073198","27.33333333","39.04761905"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00018","","","","2","0","1.59","0.83","16.59","0.77","1.51","1.44","2.43","17.64","2","36","38","30","30","30","30","5","5","2.81","1","1","62.64","70.73","2","32.89056305","3","2","14.19","10.75","8","1","3","13.16","4.36","7.6","17.52","25.12","74","0.365555556","0.114736842","0.236756757","2.466666667","2.466666667","1.2","1.2","0.584","0.584","0.253333333","0.253333333","48.64864865","69.74522293","100","5.762426646","14.62222222","14.62222222","19.46666667","19.46666667","8.444444444","8.444444444","6.402696274","6.402696274","27.91111111","27.91111111"
