"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00001","","","","3","2","14","21","13","13","30","13","2","2","3","2","7","1","2","5.55","1.75","14","7.3","21.3","35","0.396428571","0.083333333","0.208571429","2.692307692","1.166666667","1.076923077","0.466666667","0.561538462","0.243333333","1.076923077","0.466666667","40","34.27230047","43.33333333","6.166666667","14.23076923","8.111111111","18.71794872","15.55555556","35.8974359","23.66666667","54.61538462"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00010","","","","1","3","11","31","30","22","30","22","3","3","1","","7","1","1","4.2","2.4","25.6","6.6","32.2","42","0.381818182","0.077419355","0.157142857","1.909090909","1.4","0.5","0.366666667","0.3","0.22","1.163636364","0.853333333","26.19047619","20.49689441","73.33333333","4.666666667","6.363636364","7.333333333","10","28.44444444","38.78787879","35.77777778","48.78787879"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00011","","","","1","3","14","16","30","26","30","26","3","3","3","3","6","1","4","3.4","0.9","7.1","4.3","11.4","30","0.242857143","0.05625","0.143333333","1.153846154","1","0.538461538","0.466666667","0.165384615","0.143333333","0.273076923","0.236666667","46.66666667","37.71929825","86.66666667","3.777777778","4.358974359","4.777777778","5.512820513","7.888888889","9.102564103","12.66666667","14.61538462"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00012","","","","3","5","25","21","18","18","30","18","3","3","1","3","7","1","1","7.95","1.9","10","9.85","19.85","46","0.318","0.09047619","0.214130435","2.555555556","1.533333333","1.388888889","0.833333333","0.547222222","0.328333333","0.555555556","0.333333333","54.34782609","49.62216625","60","8.833333333","14.72222222","10.94444444","18.24074074","11.11111111","18.51851852","22.05555556","36.75925926"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00013","","","","1","3","27","55","30","20","30","20","3","3","3","1","6","2","3","10.25","4.45","10.8","14.7","25.5","82","0.37962963","0.080909091","0.179268293","4.1","2.733333333","1.35","0.9","0.735","0.49","0.54","0.36","32.92682927","57.64705882","66.66666667","11.38888889","17.08333333","16.33333333","24.5","12","18","28.33333333","42.5"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00014","","","","1","3","14","77","30","22","30","22","3","3","5","3","6","2","5","5","5.9","25.9","10.9","36.8","91","0.357142857","0.076623377","0.11978022","4.136363636","3.033333333","0.636363636","0.466666667","0.495454545","0.363333333","1.177272727","0.863333333","15.38461538","29.61956522","73.33333333","5.555555556","7.575757576","12.11111111","16.51515152","28.77777778","39.24242424","40.88888889","55.75757576"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00015","","","","1","1","17","73","30","30","30","30","1","1","3","3","6","1","1","3.85","4.4","15.6","8.25","23.85","90","0.226470588","0.060273973","0.091666667","3","3","0.566666667","0.566666667","0.275","0.275","0.52","0.52","18.88888889","34.59119497","100","4.277777778","4.277777778","9.166666667","9.166666667","17.33333333","17.33333333","26.5","26.5"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00016","","","","5","3","12","38","30","13","30","13","1","1","5","3","7","2","2","2.75","2.25","3.45","5","8.45","50","0.229166667","0.059210526","0.1","3.846153846","1.666666667","0.923076923","0.4","0.384615385","0.166666667","0.265384615","0.115","24","59.17159763","43.33333333","3.055555556","7.051282051","5.555555556","12.82051282","3.833333333","8.846153846","9.388888889","21.66666667"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00017","","","","3","1","7","15","30","27","30","15","1","1","3","7","7","2","2","0.55","0.5","6.6","1.05","7.65","22","0.078571429","0.033333333","0.047727273","0.814814815","0.733333333","0.259259259","0.233333333","0.038888889","0.035","0.244444444","0.22","31.81818182","13.7254902","90","0.611111111","0.679012346","1.166666667","1.296296296","7.333333333","8.148148148","8.5","9.444444444"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00018","","","","3","1","60","60","30","30","30","30","1","1","5","1","8","1","1","17.75","4.5","18.85","22.25","41.1","120","0.295833333","0.075","0.185416667","4","4","2","2","0.741666667","0.741666667","0.628333333","0.628333333","50","54.13625304","100","19.72222222","19.72222222","24.72222222","24.72222222","20.94444444","20.94444444","45.66666667","45.66666667"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00019","","","","3","1","6","7","30","15","30","15","1","1","3","7","5","1","2","0.7","0.25","4.35","0.95","5.3","13","0.116666667","0.035714286","0.073076923","0.866666667","0.433333333","0.4","0.2","0.063333333","0.031666667","0.29","0.145","46.15384615","17.9245283","50","0.777777778","1.555555556","1.055555556","2.111111111","4.833333333","9.666666667","5.888888889","11.77777778"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00002","","","","2","2","14","34","18","18","30","17","2","2","5","1","7","1","1","8.45","3.6","21","12.05","33.05","48","0.603571429","0.105882353","0.251041667","2.666666667","1.6","0.777777778","0.466666667","0.669444444","0.401666667","1.166666667","0.7","29.16666667","36.45990923","60","9.388888889","15.64814815","13.38888889","22.31481481","23.33333333","38.88888889","36.72222222","61.2037037"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00020","","","","","","","","30","","30","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00021","","","","1","3","11","43","30","22","30","22","3","3","1","3","6","1","1","4.4","3.2","9","7.6","16.6","54","0.4","0.074418605","0.140740741","2.454545455","1.8","0.5","0.366666667","0.345454545","0.253333333","0.409090909","0.3","20.37037037","45.78313253","73.33333333","4.888888889","6.666666667","8.444444444","11.51515152","10","13.63636364","18.44444444","25.15151515"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00023","","","","5","5","36","42","30","30","30","30","3","3","5","3","7","3","4","11.3","3.85","10.75","15.15","25.9","78","0.313888889","0.091666667","0.194230769","2.6","2.6","1.2","1.2","0.505","0.505","0.358333333","0.358333333","46.15384615","58.49420849","100","12.55555556","12.55555556","16.83333333","16.83333333","11.94444444","11.94444444","28.77777778","28.77777778"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00024","","","","1","3","36","84","30","28","30","28","1","1","3","1","6","3","5","12.2","5","27.3","17.2","44.5","120","0.338888889","0.05952381","0.143333333","4.285714286","4","1.285714286","1.2","0.614285714","0.573333333","0.975","0.91","30","38.65168539","93.33333333","13.55555556","14.52380952","19.11111111","20.47619048","30.33333333","32.5","49.44444444","52.97619048"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00025","","","","1","1","10","19","30","18","30","18","1","1","3","3","6","3","5","3.4","1.55","10.6","4.95","15.55","29","0.34","0.081578947","0.170689655","1.611111111","0.966666667","0.555555556","0.333333333","0.275","0.165","0.588888889","0.353333333","34.48275862","31.83279743","60","3.777777778","6.296296296","5.5","9.166666667","11.77777778","19.62962963","17.27777778","28.7962963"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00026","","","","3","1","34","73","30","30","30","30","1","1","3","1","9","1","1","10.7","3.75","30.95","14.45","45.4","107","0.314705882","0.051369863","0.135046729","3.566666667","3.566666667","1.133333333","1.133333333","0.481666667","0.481666667","1.031666667","1.031666667","31.77570093","31.82819383","100","11.88888889","11.88888889","16.05555556","16.05555556","34.38888889","34.38888889","50.44444444","50.44444444"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00003","","","","2","1","8","35","30","27","30","24","1","1","2","6","6","2","3","1.15","1.8","6","2.95","8.95","43","0.14375","0.051428571","0.068604651","1.592592593","1.433333333","0.296296296","0.266666667","0.109259259","0.098333333","0.222222222","0.2","18.60465116","32.96089385","90","1.277777778","1.419753086","3.277777778","3.641975309","6.666666667","7.407407407","9.944444444","11.04938272"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00004","","","","2","2","31","77","30","30","30","30","2","2","5","2","6","2","3","10.1","7.15","18.15","17.25","35.4","108","0.325806452","0.092857143","0.159722222","3.6","3.6","1.033333333","1.033333333","0.575","0.575","0.605","0.605","28.7037037","48.72881356","100","11.22222222","11.22222222","19.16666667","19.16666667","20.16666667","20.16666667","39.33333333","39.33333333"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00005","","","","2","2","22","56","30","27","30","27","2","2","3","3","6","1","3","9.3","6.2","13.9","15.5","29.4","78","0.422727273","0.110714286","0.198717949","2.888888889","2.6","0.814814815","0.733333333","0.574074074","0.516666667","0.514814815","0.463333333","28.20512821","52.72108844","90","10.33333333","11.48148148","17.22222222","19.13580247","15.44444444","17.16049383","32.66666667","36.2962963"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00006","","","","2","3","33","74","30","29","30","29","2","2","5","2","7","3","4","10.9","6.3","15.1","17.2","32.3","107","0.33030303","0.085135135","0.160747664","3.689655172","3.566666667","1.137931034","1.1","0.593103448","0.573333333","0.520689655","0.503333333","30.8411215","53.25077399","96.66666667","12.11111111","12.52873563","19.11111111","19.77011494","16.77777778","17.35632184","35.88888889","37.12643678"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00007","","","","1","3","28","75","30","30","30","30","2","2","3","3","7","1","2","9.15","6.2","14.7","15.35","30.05","103","0.326785714","0.082666667","0.149029126","3.433333333","3.433333333","0.933333333","0.933333333","0.511666667","0.511666667","0.49","0.49","27.18446602","51.08153078","100","10.16666667","10.16666667","17.05555556","17.05555556","16.33333333","16.33333333","33.38888889","33.38888889"
"","","GHP2017NYK-AT07","","","","","","","","","GHP2017NYK-AT07-00008","","","","1","2","17","71","30","30","30","30","1","1","3","5","6","1","1","4.45","4.81","13.45","9.26","22.71","88","0.261764706","0.067746479","0.105227273","2.933333333","2.933333333","0.566666667","0.566666667","0.308666667","0.308666667","0.448333333","0.448333333","19.31818182","40.77498899","100","4.944444444","4.944444444","10.28888889","10.28888889","14.94444444","14.94444444","25.23333333","25.23333333"
