"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00101","","","","12.5742073","1.133365989","2.701698065","16.84","48.41","1.206413984","1.896798968","7","1","12","12","11","8","5","8","6.105625153","2","61.81083298","2","34.7862012","4","4","15.16614246","1","0.7","0.5","1.9","1.2","3.1","13","0.14","0.0625","0.092307692","1.181818182","1.083333333","0.454545455","0.416666667","0.109090909","0.1","0.172727273","0.158333333","38.46153846","38.70967742","91.66666667","0.417434414","1.944444444","2.121212121","3.333333333","3.636363636","5.277777778","5.757575758","1.15954004","1.264952771","8.611111111","9.393939394"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00102","","","","0","0.84750098","1.679968953","17.37","48.33","3.470263958","5.291221142","5","3","12","12","10","8","10","6","2.775473118","3","70.04959869","2","35.94040968","2","3","8.802378654","1","2","0.2","1.8","2.2","4","16","0.2","0.033333333","0.1375","1.6","1.333333333","1","0.833333333","0.22","0.183333333","0.18","0.15","62.5","55","83.33333333","0.790689013","5.555555556","6.666666667","6.111111111","7.333333333","5","6","2.19635837","2.635630043","11.11111111","13.33333333"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00103","","","","27.9646034","1.601879001","2.922933102","13.63","48.93","1.822756052","3.453952074","8","1","12","12","12","12","17","20","6.759788036","2","46.64435577","3","27.85612099","3","3","25.09685707","1","1.75","0.85","2.55","2.6","5.15","37","0.102941176","0.0425","0.07027027","3.083333333","3.083333333","1.416666667","1.416666667","0.216666667","0.216666667","0.2125","0.2125","45.94594595","50.48543689","100","0.724259146","4.861111111","4.861111111","7.222222222","7.222222222","7.083333333","7.083333333","2.01183096","2.01183096","14.30555556","14.30555556"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00104","","","","0","0.986100972","2.104652882","20.68","48.31","1.623775005","3.473145962","4","2","12","11","11","10","11","11","4.368515015","2","69.81509399","3","42.80687228","3","3","12.25889206","1","1.55","0.35","3.95","1.9","5.85","22","0.140909091","0.031818182","0.086363636","2","1.833333333","1","0.916666667","0.172727273","0.158333333","0.359090909","0.329166667","50","32.47863248","91.66666667","0.813330573","4.305555556","4.696969697","5.277777778","5.757575758","10.97222222","11.96969697","2.259251593","2.464638101","16.25","17.72727273"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00105","","","","","","","","","","","3","1","12","10","8","1","0","2","","1","","","","9","9","","1","0","0.1","1.3","0.1","1.4","2","","0.05","0.05","0.25","0.166666667","0","0","0.0125","0.008333333","0.1625","0.108333333","0","7.142857143","66.66666667","","0","0","0.277777778","0.416666667","3.611111111","5.416666667","","","3.888888889","5.833333333"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00106","","","","","","","","","","","6","1","12","10","9","4","2","4","","2","","","","4","6","","1","0.2","0.25","2.55","0.45","3","6","0.1","0.0625","0.075","0.666666667","0.5","0.222222222","0.166666667","0.05","0.0375","0.283333333","0.2125","33.33333333","15","75","","0.555555556","0.740740741","1.25","1.666666667","7.083333333","9.444444444","","","8.333333333","11.11111111"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00107","","","","0","0.915035009","1.659481049","19.12","48.87","0.973743021","2.40690589","7","3","12","12","8","8","12","6","3.210175037","1","73.48191071","8","39.12420708","3","3","9.910582542","1","1.2","0.3","1.25","1.5","2.75","18","0.1","0.05","0.083333333","2.25","1.5","1.5","1","0.1875","0.125","0.15625","0.104166667","66.66666667","54.54545455","66.66666667","0.586863106","3.333333333","5","4.166666667","6.25","3.472222222","5.208333333","1.630175295","2.445262943","7.638888889","11.45833333"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00108","","","","4.8751583","1.099560976","2.317162991","18.01","48.83","0.986485004","2.541088104","5","4","12","12","10","8","8","5","5.62761116","5","66.17103577","2","36.88306369","2","3","12.92337227","1","1.1","0.25","3.65","1.35","5","13","0.1375","0.05","0.103846154","1.3","1.083333333","0.8","0.666666667","0.135","0.1125","0.365","0.304166667","61.53846154","27","83.33333333","0.49792136","3.055555556","3.666666667","3.75","4.5","10.13888889","12.16666667","1.383114888","1.659737866","13.88888889","16.66666667"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00109","","","","9.2491512","1.418117046","2.497023106","13.87","42.96","1.208817005","3.198177099","6","2","12","10","8","5","4","2","5.128190994","4","63.34915161","2","32.2858473","2","5","15.62528706","1","0.35","0.15","2.5","0.5","3","6","0.0875","0.075","0.083333333","0.75","0.5","0.5","0.333333333","0.0625","0.041666667","0.3125","0.208333333","66.66666667","16.66666667","66.66666667","0.161429236","0.972222222","1.458333333","1.388888889","2.083333333","6.944444444","10.41666667","0.448414546","0.672621819","8.333333333","12.5"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00110","","","","0.1427326","0.918311","1.864284992","17.91","48.89","2.025744915","3.655910015","8","2","12","12","8","6","6","9","2.921592951","4","68.30627441","9","36.63325834","5","3","11.42538548","1","1.2","0.3","1.65","1.5","3.15","15","0.2","0.033333333","0.1","1.875","1.25","0.75","0.5","0.1875","0.125","0.20625","0.1375","40","47.61904762","66.66666667","0.549498875","3.333333333","5","4.166666667","6.25","4.583333333","6.875","1.526385764","2.289578646","8.75","13.125"
"","","GHP2017NYK-ST01","","","","","","","","","GHP2017NYK-ST01-00111","","","","","","","","","","","2","2","12","12","10","8","7","9","","2","","","","3","4","","1","0.75","0.25","1.1","1","2.1","16","0.107142857","0.027777778","0.0625","1.6","1.333333333","0.7","0.583333333","0.1","0.083333333","0.11","0.091666667","43.75","47.61904762","83.33333333","","2.083333333","2.5","2.777777778","3.333333333","3.055555556","3.666666667","","","5.833333333","7"
