"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Millipede damage estimating 1-9|CO_331:0000805","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00101","","","","4","6","12","6","1","1","2","3","0.3","0.14","1.16","","7","","","","5","5","","","","","","","","","0.44","1.6","5","0.15","0.046666667","0.088","5","0.416666667","2","0.166666667","0.44","0.036666667","1.16","0.096666667","40","27.5","8.333333333","","0.833333333","10","1.222222222","14.66666667","3.222222222","38.66666667","","","4.444444444","53.33333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00102","","","","","","12","9","2","0","0","0","0","0","0.84","","","","","","","","","","","","","","","","0","0.84","0","","","","0","0","0","0","0","0","0.42","0.07","","0","16.66666667","","0","0","0","0","2.333333333","14","","","2.333333333","14"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00103","","","","6","6","12","8","1","1","3","2","0.44","0.08","0.24","","6","","","","5","4","","","","","","","","","0.52","0.76","5","0.146666667","0.04","0.104","5","0.416666667","3","0.25","0.52","0.043333333","0.24","0.02","60","68.42105263","8.333333333","","1.222222222","14.66666667","1.444444444","17.33333333","0.666666667","8","","","2.111111111","25.33333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00104","","","","5","3","12","9","1","1","3","5","0.38","0.16","0.54","","5","","","","3","4","","","","","","","","","0.54","1.08","8","0.126666667","0.032","0.0675","8","0.666666667","3","0.25","0.54","0.045","0.54","0.045","37.5","50","8.333333333","","1.055555556","12.66666667","1.5","18","1.5","18","","","3","36"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00105","","","","3","3","12","9","2","2","8","10","0.6","0.28","0.42","4.581031799","5","65.355896","3","38.11282051","4","5","0","1.978739977","0.918825984","18.58","48.75","1.459233999","2.730580091","15.02996254","0.88","1.3","18","0.075","0.028","0.048888889","9","1.5","4","0.666666667","0.44","0.073333333","0.21","0.035","44.44444444","67.69230769","16.66666667","0.335392821","1.666666667","10","2.444444444","14.66666667","1.166666667","7","0.931646724","5.589880342","3.611111111","21.66666667"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00106","","","","5","5","12","11","2","2","0","16","0","0.32","0.22","","6","","","","5","7","","","","","","","","","0.32","0.54","16","","0.02","0.02","8","1.333333333","0","0","0.16","0.026666667","0.11","0.018333333","0","59.25925926","16.66666667","","0","0","0.888888889","5.333333333","0.611111111","3.666666667","","","1.5","9"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00107","","","","3","5","12","12","1","1","10","7","0.82","0.24","0.86","5.440095901","2","42.69902802","3","26.14285714","5","6","26.8968277","2.357086897","1.214792013","12.81","49","6.104189873","9.732352257","23.91409683","1.06","1.92","17","0.082","0.034285714","0.062352941","17","1.416666667","10","0.833333333","1.06","0.088333333","0.86","0.071666667","58.82352941","55.20833333","8.333333333","0.277114286","2.277777778","27.33333333","2.944444444","35.33333333","2.388888889","28.66666667","0.769761905","9.237142857","5.333333333","64"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00108","","","","4","4","12","2","2","2","0","2","0","0.06","0.18","","4","","","","2","4","","","","","","","","","0.06","0.24","2","","0.03","0.03","1","0.166666667","0","0","0.03","0.005","0.09","0.015","0","25","16.66666667","","0","0","0.166666667","1","0.5","3","","","0.666666667","4"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00109","","","","3","3","12","9","1","1","3","3","0.3","0.2","1.64","","4","","","","5","7","","","","","","","","","0.5","2.14","6","0.1","0.066666667","0.083333333","6","0.5","3","0.25","0.5","0.041666667","1.64","0.136666667","50","23.36448598","8.333333333","","0.833333333","10","1.388888889","16.66666667","4.555555556","54.66666667","","","5.944444444","71.33333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00110","","","","4","2","12","7","1","1","4","0","0.56","0","0.64","","2","","","","4","4","","","","","","","","","0.56","1.2","4","0.14","","0.14","4","0.333333333","4","0.333333333","0.56","0.046666667","0.64","0.053333333","100","46.66666667","8.333333333","","1.555555556","18.66666667","1.555555556","18.66666667","1.777777778","21.33333333","","","3.333333333","40"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00111","","","","2","3","12","10","3","3","2","6","0.16","0.2","0.3","","4","","","","7","7","","","","","","","","","0.36","0.66","8","0.08","0.033333333","0.045","2.666666667","0.666666667","0.666666667","0.166666667","0.12","0.03","0.1","0.025","25","54.54545455","25","","0.444444444","1.777777778","1","4","0.833333333","3.333333333","","","1.833333333","7.333333333"
