"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Survival index computing percent|CO_331:0000301"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00001","","","","0","2.4826739","1.458138","0","0.063194","5","1","10","10","10","9","2","8","6.329144","5","72.2090607","8","40.31455306","5","5","14.0237961","6","6","7","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00010","","","","0","2.281307","1.166072","0.924626","2.1319301","7","3","10","10","10","10","3","3","5.1931992","6","65.3450775","8","33.3931062","5","3","15.2862091","7","3","3","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00011","","","","6.2779217","2.3942461","1.225935","0","1.0781111","5","1","10","10","10","8","5","5","4.7634048","5","69.7907104","8","37.5199362","5","7","16.5583191","7","4","7","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00012","","","","0","2.156841","1.090183","0","0.467573","5","1","10","10","10","10","4","3","4.903194","5","73.677124","8","42.3960396","3","3","10.3933678","8","3","3","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00013","","","","32.4354019","3.0627921","1.810979","1.754957","3.693043","7","3","10","10","10","10","7","6","7.9294591","6","45.4776955","8","22.37470167","5","5","27.5296707","6","4","4","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00014","","","","2.359127","2.407526","1.524973","0.346391","1.0047849","3","1","10","10","10","6","2","4","5.603302","5","67.6984329","8","32.09293168","5","5","13.9265661","6","5","5","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00015","","","","0.6586685","2.1920569","1.13227","0.315737","0.921094","7","3","10","10","10","10","3","7","4.1164041","5","71.1654968","8","39.74870363","3","3","14.2752619","6","4","4","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00016","","","","4.918047","2.0618961","1.093135","0.949739","2.450675","5","1","10","10","10","10","6","7","3.785219","5","70.6510239","5","38.28775268","3","3","11.6491938","6","3","3","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00017","","","","","","","","","5","1","10","10","4","2","","","","5","","8","","7","7","","5","5","5","40"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00018","","","","","","","","","","","10","10","","","","","","","","","","","","","5","5","5",""
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00019","","","","","","","","","5","1","10","10","6","1","","","","5","","8","","5","7","","7","4","4","60"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00002","","","","8.5515347","2.5304389","1.590219","0.885202","0.771763","5","1","10","10","8","8","3","4","6.990006","5","62.0062943","8","29.35274444","5","5","18.0291786","5","5","6","80"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00020","","","","","","","","","","","10","9","","","","","","","","","","","","","5","6","5",""
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00021","","","","32.048584","2.957124","1.908735","2.0652561","4.1533842","5","3","10","9","7","7","7","6","6.1381302","5","52.951767","8","23.43563173","5","5","20.091795","4","6","5","70"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00022","","","","","","","","","3","1","10","9","6","1","","","","4","","8","","5","7","","6","4","4","60"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00023","","","","","","","","","","","10","10","","","","","","","","","","","","","6","1","5",""
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00024","","","","7.9384251","2.721951","1.3909169","0","0.404247","7","1","10","10","10","10","4","4","5.7412009","5","66.8305817","8","39.77680351","3","3","14.260129","8","1","3","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00025","","","","0","2.2712619","1.1232311","0.035629","1.277862","5","1","10","10","10","10","2","4","5.188601","5","70.8604584","1","42.61678543","5","5","11.2013712","7","3","3","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00026","","","","1.6367092","2.5473559","1.285499","1.314258","2.4856319","5","1","10","10","10","8","3","2","6.1570892","5","66.2404938","8","35.41167066","5","5","12.4641638","8","3","4","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00003","","","","5.3809662","2.2343459","1.1217999","0.742981","1.489144","5","1","10","10","10","10","5","6","4.279408","6","68.2570877","5","36.36545382","5","5","15.662715","7","3","4","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00004","","","","5.1005554","2.4133611","1.344528","0","0.397366","3","1","10","10","10","9","4","3","5.321115","5","66.9331055","8","36.04141776","3","3","15.4747477","7","1","4","100"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00005","","","","4.8592777","2.4539509","1.31496","0","0.97681","3","1","10","10","8","6","6","6","5.551434","6","66.3523254","8","31.76306897","5","5","16.333147","5","4","6","80"
"","","GHP2017OHW-PT01","","","","","","","","","GHP2017OHW-PT01-00006","","","","","","","","","","","10","10","","","","","","","","","","","","","6","4","6",""
