"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00001","","","","0","1.432271","0.950746","0.754299","1.366545","30","30","28","23","4","5","4.227066","70.017128","42.5489808","13.2724171","7","1","3","4.6","1.4","10.5","6","16.5","51","0.164285714","0.060869565","0.117647059","1.7","0.933333333","0.2","0.35","54.90196078","36.36363636","2.552938848","5.111111111","6.666666667","11.66666667","2.83659872","18.33333333"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00010","","","","","","","","","30","23","","","","","","","","","7","3","4","","","7","","","","","","","","","","0.233333333","","","","","","7.777777778","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00100","","","","19.0732727","2.2358251","1.25763","0.472865","1.148436","30","22","16","19","8","6","6.447289","57.7206612","30.55720801","18.7613239","7","4","5","2.5","1","3.5","3.5","7","35","0.15625","0.052631579","0.1","1.166666667","0.533333333","0.116666667","0.116666667","45.71428571","50","1.06950228","2.777777778","3.888888889","3.888888889","1.188335867","7.777777778"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00101","","","","","","","","","30","5","","","","","","","","","","6","","","","0.1","","","","","","","","","","0.003333333","","","","","","0.111111111","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00102","","","","","","","","","30","26","","","","","","","","","8","3","3","","","7.5","","","","","","","","","","0.25","","","","","","8.333333333","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00103","","","","0","2.0948811","1.2462651","0.495306","0.996191","30","30","12","17","4","3","6.690248","66.0019913","34.99705247","17.3614407","7","4","4","2","1","4.5","3","7.5","29","0.166666667","0.058823529","0.103448276","0.966666667","0.4","0.1","0.15","41.37931034","40","1.049911574","2.222222222","3.333333333","5","1.166568416","8.333333333"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00104","","","","","","","","","30","16","","4","","","","","","","6","4","4","","0.5","3.5","","","","","0.125","","","","","0.116666667","","","","","","3.888888889","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00105","","","","0","1.575024","0.948661","0.765097","1.46236","30","28","16","31","2","6","4.4523849","72.8113327","41.65166967","10.9840584","7","4","5","2","1.5","3.5","3.5","7","47","0.125","0.048387097","0.074468085","1.566666667","0.533333333","0.116666667","0.116666667","34.04255319","50","1.457808438","2.222222222","3.888888889","3.888888889","1.619787154","7.777777778"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00106","","","","0.581274","1.9898781","1.118508","0.49636","1.323239","30","29","3","","2","6","4.5540729","71.2254486","32.13159968","10.9698544","6","4","4","0.5","","5.5","","","","0.166666667","","","","0.1","","0.183333333","","","","0.555555556","","6.111111111","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00107","","","","16.5823593","2.5995669","1.379529","1.3350739","1.700922","30","21","3","","6","5","7.138186","61.0739479","30.34727703","13.8115311","5","5","6","0.5","","2.5","","","","0.166666667","","","","0.1","","0.083333333","","","","0.555555556","","2.777777778","",""
