"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00001","","","","1","50.5","26.16666667","48.18481848","1","70","33","20","20","20","5","67.96116505","22.66666667","3","103","5.15","14.6","13.6","1","15.7","24.33333333","30.3","0.194285714","0.03030303","0.141747573","5.15","3.5","3.5","0.73","0.73","0.785","0.785","100","22.66666667","24.33333333","26.16666667","50.5"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00010","","","","3","35.13333333","12","65.84440228","3","56","19","16","20","16","5","74.66666667","22.1","3","75","4.6875","13.88","13.26","0.62","7.2","23.13333333","21.08","0.236785714","0.032631579","0.185066667","3.75","3.5","2.8","0.8675","0.694","0.45","0.36","80","27.625","28.91666667","15","43.91666667"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00011","","","","3","24.06666667","10.4","56.7867036","1","49","36","10","20","10","1","57.64705882","12.06666667","3","85","8.5","8.2","7.24","0.96","6.24","13.66666667","14.44","0.147755102","0.026666667","0.096470588","4.25","4.9","2.45","0.82","0.41","0.624","0.312","50","24.13333333","27.33333333","20.8","48.13333333"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00012","","","","5","26.53333333","9.166666667","65.45226131","1","46","8","11","20","11","3","85.18518519","15.83333333","3","54","4.909090909","10.42","9.5","0.92","5.5","17.36666667","15.92","0.206521739","0.115","0.192962963","2.7","4.181818182","2.3","0.947272727","0.521","0.5","0.275","55","28.78787879","31.57575758","16.66666667","48.24242424"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00013","","","","3","29.9","10.2","65.88628763","1","45","58","14","20","13","5","43.68932039","16.23333333","3","103","7.357142857","11.82","9.74","2.08","6.12","19.7","17.94","0.216444444","0.035862069","0.114757282","5.15","3.214285714","2.25","0.844285714","0.591","0.437142857","0.306","70","23.19047619","28.14285714","14.57142857","42.71428571"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00014","","","","3","19.66666667","8.933333333","54.57627119","1","23","23","12","20","12","3","50","9.5","3","46","3.833333333","6.44","5.7","0.74","5.36","10.73333333","11.8","0.247826087","0.032173913","0.14","2.3","1.916666667","1.15","0.536666667","0.322","0.446666667","0.268","60","15.83333333","17.88888889","14.88888889","32.77777778"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00002","","","","1","35.9","24.33333333","32.21912721","1","53","23","15","20","14","3","69.73684211","10.63333333","3","76","5.066666667","6.94","6.38","0.56","14.6","11.56666667","21.54","0.120377358","0.024347826","0.091315789","3.8","3.533333333","2.65","0.462666667","0.347","0.973333333","0.73","75","14.17777778","15.42222222","32.44444444","47.86666667"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00003","","","","1","17.73333333","7.666666667","56.76691729","1","24","20","15","20","15","3","54.54545455","8.9","3","44","2.933333333","6.04","5.34","0.7","4.6","10.06666667","10.64","0.2225","0.035","0.137272727","2.2","1.6","1.2","0.402666667","0.302","0.306666667","0.23","75","11.86666667","13.42222222","10.22222222","23.64444444"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00004","","","","5","10.16666667","5.166666667","49.18032787","3","20","21","6","20","6","1","48.7804878","4.166666667","5","41","6.833333333","3","2.5","0.5","3.1","5","6.1","0.125","0.023809524","0.073170732","2.05","3.333333333","1","0.5","0.15","0.516666667","0.155","30","13.88888889","16.66666667","17.22222222","33.88888889"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00005","","","","3","29.26666667","10.5","64.12300683","1","46","15","10","20","10","1","75.40983607","17.9","1","61","6.1","11.26","10.74","0.52","6.3","18.76666667","17.56","0.233478261","0.034666667","0.184590164","3.05","4.6","2.3","1.126","0.563","0.63","0.315","50","35.8","37.53333333","21","58.53333333"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00006","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00007","","","","5","30.9","11.06666667","64.18554477","1","50","75","16","20","16","1","40","15.26666667","3","125","7.8125","11.9","9.16","2.74","6.64","19.83333333","18.54","0.1832","0.036533333","0.0952","6.25","3.125","2.5","0.74375","0.595","0.415","0.332","80","19.08333333","24.79166667","13.83333333","38.625"
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00008","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018BWK-FT01","","","","","","","","","GHP2018BWK-FT01-00009","","","","5","24.83333333","6.2","75.03355705","3","61","19","15","20","15","1","76.25","15.9","3","80","5.333333333","11.18","9.54","1.64","3.72","18.63333333","14.9","0.156393443","0.086315789","0.13975","4","4.066666667","3.05","0.745333333","0.559","0.248","0.186","75","21.2","24.84444444","8.266666667","33.11111111"
