"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00001","","","","1","11.26666667","8.766666667","22.18934911","1","7","3","13","8","20","8","1","3","70","2.133333333","7","10","1.25","1.5","8","1","1.28","0.22","5.26","2.5","6.76","0.182857143","0.073333333","0.15","0.5","0.875","0.35","0.1875","0.075","0.6575","0.263","40","5.333333333","6.25","21.91666667","28.16666667"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00010","","","","5","23.43333333","7.066666667","69.84352774","5","39","53","19","13","20","13","1","1","42.39130435","12.43333333","3","92","7.076923077","9.82","7","1","7.46","2.36","4.24","16.36666667","14.06","0.191282051","0.044528302","0.10673913","4.6","3","1.95","0.755384615","0.491","0.326153846","0.212","65","19.12820513","25.17948718","10.87179487","36.05128205"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00011","","","","3","32.03333333","9.366666667","70.75962539","1","45","20","18","18","20","18","1","5","69.23076923","22.3","3","65","3.611111111","13.6","7","1","13.38","0.22","5.62","22.66666667","19.22","0.297333333","0.011","0.209230769","3.25","2.5","2.25","0.755555556","0.68","0.312222222","0.281","90","24.77777778","25.18518519","10.40740741","35.59259259"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00012","","","","7","24.6","13.8","43.90243902","1","34","22","13","11","20","11","1","1","60.71428571","8.833333333","3","56","5.090909091","6.48","7","1","5.3","1.18","8.28","10.8","14.76","0.155882353","0.053636364","0.115714286","2.8","3.090909091","1.7","0.589090909","0.324","0.752727273","0.414","55","16.06060606","19.63636364","25.09090909","44.72727273"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00013","","","","3","42.35","17.03333333","59.77961433","1","39","57","19","16","20","16","1","5","40.625","19.86666667","3","96","6","15.19","6","1","11.92","3.27","10.22","25.31666667","25.41","0.305641026","0.057368421","0.158229167","4.8","2.4375","1.95","0.949375","0.7595","0.63875","0.511","80","24.83333333","31.64583333","21.29166667","52.9375"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00014","","","","3","60.53333333","30.6","49.44933921","1","74","53","20","20","20","20","1","3","58.26771654","26.2","3","127","6.35","17.96","8","1","15.72","2.24","18.36","29.93333333","36.32","0.212432432","0.042264151","0.141417323","6.35","3.7","3.7","0.898","0.898","0.918","0.918","100","26.2","29.93333333","30.6","60.53333333"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00015","","","","5","46.36666667","20.16666667","56.50611071","3","34","18","17","15","20","15","5","7","65.38461538","24","3","52","3.466666667","15.72","8","1","14.4","1.32","12.1","26.2","27.82","0.423529412","0.073333333","0.302307692","2.6","2.266666667","1.7","1.048","0.786","0.806666667","0.605","75","32","34.93333333","26.88888889","61.82222222"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00016","","","","3","18.83333333","11.86666667","36.99115044","1","18","18","13","13","20","13","1","1","50","5.833333333","3","36","2.769230769","4.18","7","1","3.5","0.68","7.12","6.966666667","11.3","0.194444444","0.037777778","0.116111111","1.8","1.384615385","0.9","0.321538462","0.209","0.547692308","0.356","65","8.974358974","10.71794872","18.25641026","28.97435897"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00002","","","","1","58.21666667","38.46666667","33.92499284","3","31","29","20","14","20","14","1","5","51.66666667","17.05","3","60","4.285714286","11.85","8","1","10.23","1.62","23.08","19.75","34.93","0.33","0.055862069","0.1975","3","2.214285714","1.55","0.846428571","0.5925","1.648571429","1.154","70","24.35714286","28.21428571","54.95238095","83.16666667"
"","","GHP2018DMG-FT01","","","","","","","","","GHP2018DMG-FT01-00003","","","","3","37.76666667","16.76666667","55.60458959","1","42","37","19","16","20","16","1","5","53.16455696","18.66666667","3","79","4.9375","12.6","8","1","11.2","1.4","10.06","21","22.66","0.266666667","0.037837838","0.159493671","3.95","2.625","2.1","0.7875","0.63","0.62875","0.503","80","23.33333333","26.25","20.95833333","47.20833333"
