"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00001","","","","1","1","30","8","2","3","0","1","3","7","7","0.16","0","1.5","0.16","1.66","3","0.053333333","","0.053333333","0.375","0.1","0.375","0.1","0.02","0.005333333","0.1875","0.05","100","9.638554217","26.66666667","0.177777778","0.666666667","0.177777778","0.666666667","1.666666667","6.25","1.844444444","6.916666667"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00010","","","","3","3","30","28","28","53","15","1","2","3","3","9.22","0.68","12.5","9.9","22.4","68","0.173962264","0.045333333","0.145588235","2.428571429","2.266666667","1.892857143","1.766666667","0.353571429","0.33","0.446428571","0.416666667","77.94117647","44.19642857","93.33333333","10.24444444","10.97619048","11","11.78571429","13.88888889","14.88095238","24.88888889","26.66666667"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00011","","","","3","3","30","19","18","28","17","4","4","3","6","7.12","1.2","7.5","8.32","15.82","45","0.254285714","0.070588235","0.184888889","2.368421053","1.5","1.473684211","0.933333333","0.437894737","0.277333333","0.394736842","0.25","62.22222222","52.59165613","63.33333333","7.911111111","12.49122807","9.244444444","14.59649123","8.333333333","13.15789474","17.57777778","27.75438596"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00012","","","","3","3","30","28","28","63","50","2","4","1","3","14.48","3.46","16.5","17.94","34.44","113","0.22984127","0.0692","0.158761062","4.035714286","3.766666667","2.25","2.1","0.640714286","0.598","0.589285714","0.55","55.75221239","52.09059233","93.33333333","16.08888889","17.23809524","19.93333333","21.35714286","18.33333333","19.64285714","38.26666667","41"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00013","","","","3","3","30","22","21","53","6","1","3","1","3","10.22","0.2","17.5","10.42","27.92","59","0.192830189","0.033333333","0.176610169","2.681818182","1.966666667","2.409090909","1.766666667","0.473636364","0.347333333","0.795454545","0.583333333","89.83050847","37.32091691","73.33333333","11.35555556","15.48484848","11.57777778","15.78787879","19.44444444","26.51515152","31.02222222","42.3030303"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00014","","","","3","3","30","29","29","44","62","1","3","3","5","14.42","3.12","8.5","17.54","26.04","106","0.327727273","0.050322581","0.165471698","3.655172414","3.533333333","1.517241379","1.466666667","0.604827586","0.584666667","0.293103448","0.283333333","41.50943396","67.35791091","96.66666667","16.02222222","16.57471264","19.48888889","20.16091954","9.444444444","9.770114943","28.93333333","29.93103448"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00015","","","","3","5","30","15","15","39","12","3","5","1","4","8.82","0.48","7","9.3","16.3","51","0.226153846","0.04","0.182352941","3.4","1.7","2.6","1.3","0.62","0.31","0.466666667","0.233333333","76.47058824","57.05521472","50","9.8","19.6","10.33333333","20.66666667","7.777777778","15.55555556","18.11111111","36.22222222"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00016","","","","3","1","30","16","16","18","14","1","2","3","5","4.5","0.7","7.5","5.2","12.7","32","0.25","0.05","0.1625","2","1.066666667","1.125","0.6","0.325","0.173333333","0.46875","0.25","56.25","40.94488189","53.33333333","5","9.375","5.777777778","10.83333333","8.333333333","15.625","14.11111111","26.45833333"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00017","","","","3","1","30","16","16","14","10","1","5","5","6","1.44","0.38","4","1.82","5.82","24","0.102857143","0.038","0.075833333","1.5","0.8","0.875","0.466666667","0.11375","0.060666667","0.25","0.133333333","58.33333333","31.27147766","53.33333333","1.6","3","2.022222222","3.791666667","4.444444444","8.333333333","6.466666667","12.125"
"","","GHP2018FMS-AT01","","","","","","","","","GHP2018FMS-AT01-00018","","","","3","3","30","24","24","54","27","1","3","1","3","10.92","1.56","10.5","12.48","22.98","81","0.202222222","0.057777778","0.154074074","3.375","2.7","2.25","1.8","0.52","0.416","0.4375","0.35","66.66666667","54.30809399","80","12.13333333","15.16666667","13.86666667","17.33333333","11.66666667","14.58333333","25.53333333","31.91666667"
