"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00001","","","","1","1","19","31","30","30","19","1","4","5","7","5","1.6","0.8","20","2.4","22.4","50","0.084210526","0.025806452","0.048","1.666666667","1.666666667","0.633333333","0.633333333","0.08","0.08","0.666666667","0.666666667","38","10.71428571","100","1.777777778","1.777777778","2.666666667","2.666666667","22.22222222","22.22222222","24.88888889","24.88888889"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00010","","","","3","3","43","15","25","30","25","3","3","1","6","5","11.8","0.6","4.5","12.4","16.9","58","0.274418605","0.04","0.213793103","2.32","1.933333333","1.72","1.433333333","0.496","0.413333333","0.18","0.15","74.13793103","73.37278107","83.33333333","13.11111111","15.73333333","13.77777778","16.53333333","5","6","18.77777778","22.53333333"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00011","","","","3","1","14","24","14","30","14","1","3","5","6","5","1.3","0.6","12","1.9","13.9","38","0.092857143","0.025","0.05","2.714285714","1.266666667","1","0.466666667","0.135714286","0.063333333","0.857142857","0.4","36.84210526","13.66906475","46.66666667","1.444444444","3.095238095","2.111111111","4.523809524","13.33333333","28.57142857","15.44444444","33.0952381"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00012","","","","3","1","1","6","10","30","3","1","5","7","6","6","0.1","0.1","3.5","0.2","3.7","7","0.1","0.016666667","0.028571429","0.7","0.233333333","0.1","0.033333333","0.02","0.006666667","0.35","0.116666667","14.28571429","5.405405405","33.33333333","0.111111111","0.333333333","0.222222222","0.666666667","3.888888889","11.66666667","4.111111111","12.33333333"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00013","","","","3","1","29","15","18","30","18","3","3","1","6","6","6.3","0.7","2","7","9","44","0.217241379","0.046666667","0.159090909","2.444444444","1.466666667","1.611111111","0.966666667","0.388888889","0.233333333","0.111111111","0.066666667","65.90909091","77.77777778","60","7","11.66666667","7.777777778","12.96296296","2.222222222","3.703703704","10","16.66666667"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00014","","","","1","1","24","29","26","30","25","1","2","1","7","4","6.4","1.1","21.5","7.5","29","53","0.266666667","0.037931034","0.141509434","2.038461538","1.766666667","0.923076923","0.8","0.288461538","0.25","0.826923077","0.716666667","45.28301887","25.86206897","86.66666667","7.111111111","8.205128205","8.333333333","9.615384615","23.88888889","27.56410256","32.22222222","37.17948718"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00015","","","","1","1","61","23","30","30","30","1","1","1","8","4","17","0.9","18.5","17.9","36.4","84","0.278688525","0.039130435","0.213095238","2.8","2.8","2.033333333","2.033333333","0.596666667","0.596666667","0.616666667","0.616666667","72.61904762","49.17582418","100","18.88888889","18.88888889","19.88888889","19.88888889","20.55555556","20.55555556","40.44444444","40.44444444"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00016","","","","3","1","10","15","30","30","11","1","4","5","7","4","0.9","0.3","15","1.2","16.2","25","0.09","0.02","0.048","0.833333333","0.833333333","0.333333333","0.333333333","0.04","0.04","0.5","0.5","40","7.407407407","100","1","1","1.333333333","1.333333333","16.66666667","16.66666667","18","18"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00017","","","","4","1","25","15","29","30","28","3","3","3","7","5","4.5","0.6","8","5.1","13.1","40","0.18","0.04","0.1275","1.379310345","1.333333333","0.862068966","0.833333333","0.175862069","0.17","0.275862069","0.266666667","62.5","38.93129771","96.66666667","5","5.172413793","5.666666667","5.862068966","8.888888889","9.195402299","14.55555556","15.05747126"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00018","","","","3","1","22","10","23","30","23","1","2","3","6","6","2.7","0.3","11.5","3","14.5","32","0.122727273","0.03","0.09375","1.391304348","1.066666667","0.956521739","0.733333333","0.130434783","0.1","0.5","0.383333333","68.75","20.68965517","76.66666667","3","3.913043478","3.333333333","4.347826087","12.77777778","16.66666667","16.11111111","21.01449275"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00002","","","","5","1","35","17","29","30","29","3","3","3","6","6","4.5","0.5","7.5","5","12.5","52","0.128571429","0.029411765","0.096153846","1.793103448","1.733333333","1.206896552","1.166666667","0.172413793","0.166666667","0.25862069","0.25","67.30769231","40","96.66666667","5","5.172413793","5.555555556","5.747126437","8.333333333","8.620689655","13.88888889","14.36781609"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00020","","","","3","1","10","9","19","30","10","1","3","3","5","5","12","0.1","7","12.1","19.1","19","1.2","0.011111111","0.636842105","1","0.633333333","0.526315789","0.333333333","0.636842105","0.403333333","0.368421053","0.233333333","52.63157895","63.35078534","63.33333333","13.33333333","21.05263158","13.44444444","21.22807018","7.777777778","12.28070175","21.22222222","33.50877193"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00021","","","","5","5","58","44","30","30","30","5","3","1","6","5","14.4","1.4","10","15.8","25.8","102","0.248275862","0.031818182","0.154901961","3.4","3.4","1.933333333","1.933333333","0.526666667","0.526666667","0.333333333","0.333333333","56.8627451","61.24031008","100","16","16","17.55555556","17.55555556","11.11111111","11.11111111","28.66666667","28.66666667"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00022","","","","3","1","14","15","19","30","16","1","2","1","6","5","4.2","0.4","7","4.6","11.6","29","0.3","0.026666667","0.15862069","1.526315789","0.966666667","0.736842105","0.466666667","0.242105263","0.153333333","0.368421053","0.233333333","48.27586207","39.65517241","63.33333333","4.666666667","7.368421053","5.111111111","8.070175439","7.777777778","12.28070175","12.88888889","20.35087719"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00024","","","","3","1","13","27","15","30","15","1","4","5","7","5","0.9","0.5","21.5","1.4","22.9","40","0.069230769","0.018518519","0.035","2.666666667","1.333333333","0.866666667","0.433333333","0.093333333","0.046666667","1.433333333","0.716666667","32.5","6.113537118","50","1","2","1.555555556","3.111111111","23.88888889","47.77777778","25.44444444","50.88888889"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00025","","","","1","1","47","30","20","30","20","1","2","1","8","4","16.7","1.7","40.5","18.4","58.9","77","0.355319149","0.056666667","0.238961039","3.85","2.566666667","2.35","1.566666667","0.92","0.613333333","2.025","1.35","61.03896104","31.23938879","66.66666667","18.55555556","27.83333333","20.44444444","30.66666667","45","67.5","65.44444444","98.16666667"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00026","","","","3","3","69","27","27","30","27","3","4","1","7","4","15.6","0.7","9.5","16.3","25.8","96","0.226086957","0.025925926","0.169791667","3.555555556","3.2","2.555555556","2.3","0.603703704","0.543333333","0.351851852","0.316666667","71.875","63.17829457","90","17.33333333","19.25925926","18.11111111","20.12345679","10.55555556","11.72839506","28.66666667","31.85185185"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00027","","","","3","1","20","25","30","30","25","1","4","3","7","5","2.9","1","19","3.9","22.9","45","0.145","0.04","0.086666667","1.5","1.5","0.666666667","0.666666667","0.13","0.13","0.633333333","0.633333333","44.44444444","17.03056769","100","3.222222222","3.222222222","4.333333333","4.333333333","21.11111111","21.11111111","25.44444444","25.44444444"
"","","GHP2018FMS-AT02","","","","","","","","","GHP2018FMS-AT02-00028","","","","7","1","18","20","29","30","20","1","3","3","7","4","2.5","0.3","18.5","2.8","21.3","38","0.138888889","0.015","0.073684211","1.310344828","1.266666667","0.620689655","0.6","0.096551724","0.093333333","0.637931034","0.616666667","47.36842105","13.14553991","96.66666667","2.777777778","2.873563218","3.111111111","3.218390805","20.55555556","21.26436782","23.66666667","24.48275862"
