"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00001","","","","3","0","1.2783999","0.716414","18.1","50.44","0.392498","1.400919","2.554106","3.658463","20.341156","1","30","30","30","30","69","44","1","2","1.7306139","2","57.3035431","77.1133347","4","35.88421887","4","3","18.6353607","9.9548292","2","17","1.9","15.5","18.9","34.4","113","0.246376812","0.043181818","0.167256637","3.766666667","2.3","0.63","0.516666667","61.0619469","54.94186047","6.782117367","18.88888889","21","17.22222222","7.535685964","38.22222222","3.766666667","2.3","0.63","0.516666667","100","18.88888889","21","17.22222222","7.535685964","38.22222222"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00010","","","","3","0","1.258617","0.570312","23.29","50.14","0.442087","0.126214","1.788299","2.166306","13.9065228","1","30","30","30","30","31","26","3","7","1.551172","1","63.2718163","82.0646744","3","46.44994017","2","1","16.1119995","13.7596455","3","11.7","1.7","25","13.4","38.4","57","0.377419355","0.065384615","0.235087719","1.9","1.033333333","0.446666667","0.833333333","54.38596491","34.89583333","6.224291982","13","14.88888889","27.77777778","6.91587998","42.66666667","1.9","1.033333333","0.446666667","0.833333333","100","13","14.88888889","27.77777778","6.91587998","42.66666667"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00100","","","","3","0","0.875707","0.715115","21.63","50.1","1.066275","0.473664","2.300642","2.6296761","19.4589081","3","30","30","30","30","122","78","4","8","2.694881","1","56.6550865","77.2596512","","43.17365269","4","3","20.6975632","14.5181541","3","24.5","3.3","25","27.8","52.8","200","0.200819672","0.042307692","0.139","6.666666667","4.066666667","0.926666667","0.833333333","61","52.65151515","12.00227545","27.22222222","30.88888889","27.77777778","13.33586161","58.66666667","6.666666667","4.066666667","0.926666667","0.833333333","100","27.22222222","30.88888889","27.77777778","13.33586161","58.66666667"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00101","","","","3","0","1.269477","0.752223","18","50.12","1.350948","0.275474","2.995435","2.4854219","10.0190182","1","30","30","27","27","58","17","6","6","2.3241861","1","54.2709465","77.2533569","","35.91380686","3","3","19.7301712","14.1120396","3","10","1","23","11","34","75","0.172413793","0.058823529","0.146666667","2.777777778","2.148148148","0.407407407","0.851851852","77.33333333","32.35294118","3.950518755","12.34567901","13.58024691","28.39506173","4.877183648","41.97530864","2.5","1.933333333","0.366666667","0.766666667","90","11.11111111","12.22222222","25.55555556","4.389465283","37.77777778"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00102","","","","3","0","1.3084871","0.801022","19.27","50.68","0","0","2.29601","1.910656","19.5820866","3","30","26","20","20","60","22","6","3","2.2140479","2","54.4760323","76.6018372","","38.02288871","1","3","21.7241211","14.5113335","1","10.4","0.7","17","11.1","28.1","82","0.173333333","0.031818182","0.135365854","4.1","3","0.555","0.85","73.17073171","39.50177936","4.220540647","17.33333333","18.5","28.33333333","7.034234412","46.83333333","2.733333333","2","0.37","0.566666667","66.66666667","11.55555556","12.33333333","18.88888889","4.689489608","31.22222222"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00103","","","","3","0","1.0239","0.726593","20.71","50.11","0.579191","1.548388","1.923807","3.8789461","24.7562752","1","30","30","26","26","32","11","4","5","2.1166739","1","57.2445335","76.8065643","","41.32907603","3","3","19.4966507","11.5353165","1","7.3","0.6","27","7.9","34.9","43","0.228125","0.054545455","0.18372093","1.653846154","1.230769231","0.303846154","1.038461538","74.41860465","22.63610315","3.264997007","9.358974359","10.12820513","34.61538462","4.185893598","44.74358974","1.433333333","1.066666667","0.263333333","0.9","86.66666667","8.111111111","8.777777778","30","3.627774452","38.77777778"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00104","","","","3","0","0.848577","0.643974","22.31","50.49","0.965042","0.383455","2.4996769","2.6457131","20.2716866","1","30","30","30","30","115","33","3","6","1.8925951","1","57.4862938","80.3955612","","44.18696772","2","3","17.3691025","13.3114204","1","25.5","1.5","15","27","42","148","0.22173913","0.045454545","0.182432432","4.933333333","3.833333333","0.9","0.5","77.7027027","64.28571429","11.93048128","28.33333333","30","16.66666667","13.25609031","46.66666667","4.933333333","3.833333333","0.9","0.5","100","28.33333333","30","16.66666667","13.25609031","46.66666667"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00105","","","","3","0","1.049291","0.811523","18.63","50.41","","0.737464","","3.1845379","","1","30","7","5","5","14","4","1","7","2.3118441","1","","76.942543","","36.95695299","2","1","","13.719101","2","5","0.3","10.5","5.3","15.8","18","0.357142857","0.075","0.294444444","3.6","2.8","1.06","2.1","77.77777778","33.5443038","1.958718508","33.33333333","35.33333333","70","13.05812339","105.3333333","0.6","0.466666667","0.176666667","0.35","16.66666667","5.555555556","5.888888889","11.66666667","2.176353898","17.55555556"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00106","","","","3","0","1.086301","0.611942","18.99","50.11","0.818531","0.665183","2.5669219","2.4862261","10.9410954","1","30","27","25","21","33","9","5","3","2.376152","1","55.286911","74.4711609","","37.89662742","5","3","20.0477142","14.1876268","3","5.8","0.3","27","6.1","33.1","42","0.175757576","0.033333333","0.145238095","1.68","1.32","0.244","1.08","78.57142857","18.42900302","2.311694273","7.733333333","8.133333333","36","3.08225903","44.13333333","1.4","1.1","0.203333333","0.9","83.33333333","6.444444444","6.777777778","30","2.568549192","36.77777778"
"","","GHP2018FMS-ST01","","","","","","","","","GHP2018FMS-ST01-00107","","","","1","0","1.136235","0.650127","19.96","50.41","0.385262","1.511919","2.2425611","3.923754","21.5689545","1","30","30","24","23","34","15","2","6","2.453764","1","54.3329926","75.4790421","","39.59531839","5","1","22.6960831","10.3883858","3","9.1","1.4","33","10.5","43.5","49","0.267647059","0.093333333","0.214285714","2.041666667","1.416666667","0.4375","1.375","69.3877551","24.13793103","4.157508431","12.63888889","14.58333333","45.83333333","5.774317265","60.41666667","1.633333333","1.133333333","0.35","1.1","80","10.11111111","11.66666667","36.66666667","4.619453812","48.33333333"
