"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00001","","","","3","3","4","2","10","30","5","5","3","3","1.3","0.2","4.5","1.5","6","6","0.325","0.1","0.25","0.6","0.2","0.4","0.133333333","0.15","0.05","0.45","0.15","66.66666667","25","33.33333333","1.444444444","4.333333333","1.666666667","5","5","15","6.666666667","20"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00010","","","","3","3","17","14","25","30","10","1","5","5","2.2","1.3","14","3.5","17.5","31","0.129411765","0.092857143","0.112903226","1.24","1.033333333","0.68","0.566666667","0.14","0.116666667","0.56","0.466666667","54.83870968","20","83.33333333","2.444444444","2.933333333","3.888888889","4.666666667","15.55555556","18.66666667","19.44444444","23.33333333"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00011","","","","5","3","7","6","12","30","9","5","5","3","2.5","0.2","5","2.7","7.7","13","0.357142857","0.033333333","0.207692308","1.083333333","0.433333333","0.583333333","0.233333333","0.225","0.09","0.416666667","0.166666667","53.84615385","35.06493506","40","2.777777778","6.944444444","3","7.5","5.555555556","13.88888889","8.555555556","21.38888889"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00012","","","","3","3","12","3","16","30","16","4","3","5","1.8","0.1","3.5","1.9","5.4","15","0.15","0.033333333","0.126666667","0.9375","0.5","0.75","0.4","0.11875","0.063333333","0.21875","0.116666667","80","35.18518519","53.33333333","2","3.75","2.111111111","3.958333333","3.888888889","7.291666667","6","11.25"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00013","","","","3","1","66","24","28","30","28","3","2","3","22","1","26","23","49","90","0.333333333","0.041666667","0.255555556","3.214285714","3","2.357142857","2.2","0.821428571","0.766666667","0.928571429","0.866666667","73.33333333","46.93877551","93.33333333","24.44444444","26.19047619","25.55555556","27.38095238","28.88888889","30.95238095","54.44444444","58.33333333"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00014","","","","1","1","48","10","18","30","18","1","3","3","10.9","0.8","17","11.7","28.7","58","0.227083333","0.08","0.201724138","3.222222222","1.933333333","2.666666667","1.6","0.65","0.39","0.944444444","0.566666667","82.75862069","40.76655052","60","12.11111111","20.18518519","13","21.66666667","18.88888889","31.48148148","31.88888889","53.14814815"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00015","","","","3","3","38","10","15","30","15","4","3","3","5.9","0.5","1","6.4","7.4","48","0.155263158","0.05","0.133333333","3.2","1.6","2.533333333","1.266666667","0.426666667","0.213333333","0.066666667","0.033333333","79.16666667","86.48648649","50","6.555555556","13.11111111","7.111111111","14.22222222","1.111111111","2.222222222","8.222222222","16.44444444"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00016","","","","3","3","60","4","18","30","18","2","2","5","20.2","0.3","32","20.5","52.5","64","0.336666667","0.075","0.3203125","3.555555556","2.133333333","3.333333333","2","1.138888889","0.683333333","1.777777778","1.066666667","93.75","39.04761905","60","22.44444444","37.40740741","22.77777778","37.96296296","35.55555556","59.25925926","58.33333333","97.22222222"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00017","","","","1","1","28","7","21","30","21","1","3","3","3","0.3","1.5","3.3","4.8","35","0.107142857","0.042857143","0.094285714","1.666666667","1.166666667","1.333333333","0.933333333","0.157142857","0.11","0.071428571","0.05","80","68.75","70","3.333333333","4.761904762","3.666666667","5.238095238","1.666666667","2.380952381","5.333333333","7.619047619"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00018","","","","3","3","50","7","26","30","26","3","3","3","15.4","0.3","15","15.7","30.7","57","0.308","0.042857143","0.275438596","2.192307692","1.9","1.923076923","1.666666667","0.603846154","0.523333333","0.576923077","0.5","87.71929825","51.14006515","86.66666667","17.11111111","19.74358974","17.44444444","20.12820513","16.66666667","19.23076923","34.11111111","39.35897436"
"","","GHP2018KMD-AT01","","","","","","","","","GHP2018KMD-AT01-00019","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
