"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00001","","","","5","23.16666667","6.4","72.37410072","1","39","45","20","19","20","19","1","3","46.42857143","13.83333333","3","84","4.421052632","10.06","1","8.3","1.76","3.84","16.76666667","13.9","0.212820513","0.039111111","0.119761905","4.2","2.052631579","1.95","0.529473684","0.503","0.202105263","0.192","95","14.56140351","17.64912281","6.736842105","24.38596491"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00010","","","","7","9.2","2.8","69.56521739","3","18","10","16","15","20","15","1","3","64.28571429","5.7","3","28","1.866666667","3.84","1","3.42","0.42","1.68","6.4","5.52","0.19","0.042","0.137142857","1.4","1.2","0.9","0.256","0.192","0.112","0.084","75","7.6","8.533333333","3.733333333","12.26666667"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00011","","","","3","4.966666667","1.033333333","79.19463087","3","9","26","14","13","20","13","3","5","25.71428571","2.333333333","5","35","2.692307692","2.36","1","1.4","0.96","0.62","3.933333333","2.98","0.155555556","0.036923077","0.067428571","1.75","0.692307692","0.45","0.181538462","0.118","0.047692308","0.031","65","3.58974359","6.051282051","1.58974359","7.641025641"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00012","","","","3","9.2","2.066666667","77.53623188","1","17","32","18","14","20","14","1","1","34.69387755","4.8","5","49","3.5","4.28","2","2.88","1.4","1.24","7.133333333","5.52","0.169411765","0.04375","0.087346939","2.45","1.214285714","0.85","0.305714286","0.214","0.088571429","0.062","70","6.857142857","10.19047619","2.952380952","13.14285714"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00013","","","","1","15.3","3.066666667","79.95642702","3","39","74","18","18","20","18","1","1","34.51327434","7.633333333","3","113","6.277777778","7.34","1","4.58","2.76","1.84","12.23333333","9.18","0.117435897","0.037297297","0.064955752","5.65","2.166666667","1.95","0.407777778","0.367","0.102222222","0.092","90","8.481481481","13.59259259","3.407407407","17"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00014","","","","5","6.533333333","2.033333333","68.87755102","1","15","45","15","14","20","13","1","5","25","2.566666667","5","60","4.285714286","2.7","1","1.54","1.16","1.22","4.5","3.92","0.102666667","0.025777778","0.045","3","1.071428571","0.75","0.192857143","0.135","0.087142857","0.061","70","3.666666667","6.428571429","2.904761905","9.333333333"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00015","","","","7","23.93333333","7.133333333","70.19498607","1","46","30","17","17","20","17","1","5","60.52631579","15.2","3","76","4.470588235","10.08","1","9.12","0.96","4.28","16.8","14.36","0.19826087","0.032","0.132631579","3.8","2.705882353","2.3","0.592941176","0.504","0.251764706","0.214","85","17.88235294","19.76470588","8.392156863","28.15686275"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00016","","","","5","11.86666667","5.633333333","52.52808989","3","19","26","16","15","20","15","5","5","42.22222222","4.6","5","45","3","3.74","1","2.76","0.98","3.38","6.233333333","7.12","0.145263158","0.037692308","0.083111111","2.25","1.266666667","0.95","0.249333333","0.187","0.225333333","0.169","75","6.133333333","8.311111111","7.511111111","15.82222222"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00002","","","","3","3.666666667","1.7","53.63636364","1","5","12","20","10","20","9","3","5","29.41176471","1.133333333","5","17","1.7","1.18","5","0.68","0.5","1.02","1.966666667","2.2","0.136","0.041666667","0.069411765","0.85","0.5","0.25","0.118","0.059","0.102","0.051","50","2.266666667","3.933333333","3.4","7.333333333"
"","","GHP2018NVR-FT02","","","","","","","","","GHP2018NVR-FT02-00003","","","","7","5.9","2.633333333","55.36723164","1","12","13","16","12","20","11","1","5","48","2.533333333","5","25","2.083333333","1.96","1","1.52","0.44","1.58","3.266666667","3.54","0.126666667","0.033846154","0.0784","1.25","1","0.6","0.163333333","0.098","0.131666667","0.079","60","4.222222222","5.444444444","4.388888889","9.833333333"
