"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00001","","","","3","52","21.33333333","58.97435897","17","7","9","10","9","1","3","70.83333333","27.83333333","3","24","2.666666667","9.2","8.35","0.85","6.4","30.66666667","15.6","0.491176471","0.121428571","0.383333333","2.4","1.888888889","1.7","1.022222222","0.92","0.711111111","0.64","90","30.92592593","34.07407407","23.7037037","57.77777778"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00010","","","","1","60.63333333","19","68.66410115","27","10","8","10","8","3","1","72.97297297","35.8","5","37","4.625","12.49","10.74","1.75","5.7","41.63333333","18.19","0.397777778","0.175","0.337567568","3.7","3.375","2.7","1.56125","1.249","0.7125","0.57","80","44.75","52.04166667","23.75","75.79166667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00011","","","","1","32.16666667","19.66666667","38.86010363","10","4","8","10","8","1","1","71.42857143","11.33333333","5","14","1.75","3.75","3.4","0.35","5.9","12.5","9.65","0.34","0.0875","0.267857143","1.4","1.25","1","0.46875","0.375","0.7375","0.59","80","14.16666667","15.625","24.58333333","40.20833333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00012","","","","3","53.66666667","13.5","74.8447205","25","17","9","10","9","3","1","59.52380952","36.33333333","3","42","4.666666667","12.05","10.9","1.15","4.05","40.16666667","16.1","0.436","0.067647059","0.286904762","4.2","2.777777778","2.5","1.338888889","1.205","0.45","0.405","90","40.37037037","44.62962963","15","59.62962963"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00013","","","","3","52.66666667","10.16666667","80.69620253","23","18","9","10","9","5","5","56.09756098","36.83333333","5","41","4.555555556","12.75","11.05","1.7","3.05","42.5","15.8","0.480434783","0.094444444","0.31097561","4.1","2.555555556","2.3","1.416666667","1.275","0.338888889","0.305","90","40.92592593","47.22222222","11.2962963","58.51851852"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00014","","","","1","53.5","18.33333333","65.73208723","11","19","10","10","10","3","3","36.66666667","28","3","30","3","10.55","8.4","2.15","5.5","35.16666667","16.05","0.763636364","0.113157895","0.351666667","3","1.1","1.1","1.055","1.055","0.55","0.55","100","28","35.16666667","18.33333333","53.5"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00015","","","","1","52.66666667","11.66666667","77.84810127","19","10","7","10","7","7","5","65.51724138","38.16666667","3","29","4.142857143","12.3","11.45","0.85","3.5","41","15.8","0.602631579","0.085","0.424137931","2.9","2.714285714","1.9","1.757142857","1.23","0.5","0.35","70","54.52380952","58.57142857","16.66666667","75.23809524"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00016","","","","1","35.16666667","19.83333333","43.60189573","11","7","8","10","8","1","5","61.11111111","13","3","18","2.25","4.6","3.9","0.7","5.95","15.33333333","10.55","0.354545455","0.1","0.255555556","1.8","1.375","1.1","0.575","0.46","0.74375","0.595","80","16.25","19.16666667","24.79166667","43.95833333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00017","","","","3","46","16.66666667","63.76811594","26","19","10","10","10","5","1","57.77777778","22.16666667","7","45","4.5","8.8","6.65","2.15","5","29.33333333","13.8","0.255769231","0.113157895","0.195555556","4.5","2.6","2.6","0.88","0.88","0.5","0.5","100","22.16666667","29.33333333","16.66666667","46"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00018","","","","1","63.36666667","26.66666667","57.91688585","30","9","10","10","10","3","1","76.92307692","34.16666667","1","39","3.9","11.01","10.25","0.76","8","36.7","19.01","0.341666667","0.084444444","0.282307692","3.9","3","3","1.101","1.101","0.8","0.8","100","34.16666667","36.7","26.66666667","63.36666667"
