"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00001","","","","3","12.3587704","1.7132339","1.119081","1.914451","3.103971","1","2","9","28","22","30","10","6","3","2.8671491","3","59.4285698","35.35735616","2","5","19.2735691","8","2","1","0.2","0.26","2.34","0.46","2.8","11","0.1","0.028888889","0.041818182","0.5","0.366666667","0.090909091","0.066666667","0.020909091","0.015333333","0.106363636","0.078","18.18181818","16.42857143","73.33333333","0.162643838","0.222222222","0.303030303","0.511111111","0.696969697","2.6","3.545454545","0.180715376","0.246430058","3.111111111","4.242424242"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00010","","","","3","","","","","","1","26","27","30","26","30","17","","","","2","","","2","3","","8","1","1","2.9","0.78","5.86","3.68","9.54","53","0.111538462","0.028888889","0.069433962","2.038461538","1.766666667","1","0.866666667","0.141538462","0.122666667","0.225384615","0.195333333","49.05660377","38.57442348","86.66666667","","3.222222222","3.717948718","4.088888889","4.717948718","6.511111111","7.512820513","","","10.6","12.23076923"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00011","","","","2","0.3595657","1.382543","0.612331","2.375313","3.80901","1","6","6","22","13","30","7","4","6","2.762094","1","72.2553177","44.08644401","1","5","10.8896513","7","1","1","0.56","0.34","0.84","0.9","1.74","12","0.093333333","0.056666667","0.075","0.923076923","0.4","0.461538462","0.2","0.069230769","0.03","0.064615385","0.028","50","51.72413793","43.33333333","0.396777996","0.622222222","1.435897436","1","2.307692308","0.933333333","2.153846154","0.44086444","1.017379477","1.933333333","4.461538462"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00012","","","","1","","","","","","1","3","7","25","13","30","7","","","","1","","","5","7","","8","2","1","0.4","0.34","1.72","0.74","2.46","10","0.133333333","0.048571429","0.074","0.769230769","0.333333333","0.230769231","0.1","0.056923077","0.024666667","0.132307692","0.057333333","30","30.08130081","43.33333333","","0.444444444","1.025641026","0.822222222","1.897435897","1.911111111","4.41025641","","","2.733333333","6.307692308"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00013","","","","2","9.9575272","2.025003","1.0688649","2.8613689","4.333168","1","6","12","28","21","30","14","6","8","5.297863","2","62.3628349","33.03220738","3","5","11.8230782","7","1","1","0.54","0.46","2.14","1","3.14","18","0.09","0.038333333","0.055555556","0.857142857","0.6","0.285714286","0.2","0.047619048","0.033333333","0.101904762","0.071333333","33.33333333","31.84713376","70","0.330322074","0.6","0.857142857","1.111111111","1.587301587","2.377777778","3.396825397","0.367024526","0.524320752","3.488888889","4.984126984"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00014","","","","3","","","","","","1","1","2","13","7","30","3","","","","1","","","2","4","","5","3","1","0.2","0.1","0.8","0.3","1.1","3","0.2","0.05","0.1","0.428571429","0.1","0.142857143","0.033333333","0.042857143","0.01","0.114285714","0.026666667","33.33333333","27.27272727","23.33333333","","0.222222222","0.952380952","0.333333333","1.428571429","0.888888889","3.80952381","","","1.222222222","5.238095238"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00015","","","","7","0","1.608634","0.97871","1.441697","2.5558081","3","41","16","29","29","30","23","4","5","3.4844019","7","67.9759521","37.08242736","5","2","13.4198685","6","1","1","5.84","0.72","3.42","6.56","9.98","57","0.142439024","0.045","0.115087719","1.965517241","1.9","1.413793103","1.366666667","0.226206897","0.218666667","0.117931034","0.114","71.92982456","65.73146293","96.66666667","2.432607235","6.488888889","6.712643678","7.288888889","7.540229885","3.8","3.931034483","2.702896928","2.79610027","11.08888889","11.47126437"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00016","","","","3","","","","","","1","0","8","17","11","30","6","","","","3","","","3","7","","6","3","1","0","0.34","3.22","0.34","3.56","8","","0.0425","0.0425","0.727272727","0.266666667","0","0","0.030909091","0.011333333","0.292727273","0.107333333","0","9.550561798","36.66666667","","0","0","0.377777778","1.03030303","3.577777778","9.757575758","","","3.955555556","10.78787879"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00017","","","","5","18.9588699","1.9170541","1.058461","0.69272","1.4901789","2","19","35","28","27","30","23","7","6","4.9506211","3","62.4378586","35.63607406","1","2","15.998436","8","1","1","3.34","1.26","2.3","4.6","6.9","54","0.175789474","0.036","0.085185185","2","1.8","0.703703704","0.633333333","0.17037037","0.153333333","0.085185185","0.076666667","35.18518519","66.66666667","90","1.639259407","3.711111111","4.12345679","5.111111111","5.679012346","2.555555556","2.839506173","1.821399341","2.023777045","7.666666667","8.518518519"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00018","","","","7","","","","","","1","0","3","21","18","30","2","","","","1","","","9","9","","6","1","1","0","0.08","1.48","0.08","1.56","3","","0.026666667","0.026666667","0.166666667","0.1","0","0","0.004444444","0.002666667","0.082222222","0.049333333","0","5.128205128","60","","0","0","0.088888889","0.148148148","1.644444444","2.740740741","","","1.733333333","2.888888889"
