"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00101","","","","2","6","3","3","3","3","7","1","2","1.94","0.24","2.42","2.18","4.6","8","0.97","0.04","0.2725","2.666666667","2.666666667","0.666666667","0.666666667","0.726666667","0.726666667","0.806666667","0.806666667","25","47.39130435","100","21.55555556","21.55555556","24.22222222","24.22222222","26.88888889","26.88888889","51.11111111","51.11111111"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00102","","","","0","0","1","0","3","0","","2","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00103","","","","0","0","3","1","3","0","","7","","0","0","0.54","0","0.54","0","","","","0","0","0","0","0","0","0.54","0.18","","0","33.33333333","0","0","0","0","6","18","6","18"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00104","","","","4","4","3","3","3","3","6","1","1","1.02","0.18","2.44","1.2","3.64","8","0.255","0.045","0.15","2.666666667","2.666666667","1.333333333","1.333333333","0.4","0.4","0.813333333","0.813333333","50","32.96703297","100","11.33333333","11.33333333","13.33333333","13.33333333","27.11111111","27.11111111","40.44444444","40.44444444"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00105","","","","5","2","3","2","3","2","7","1","1","1.72","0.12","1.32","1.84","3.16","7","0.344","0.06","0.262857143","3.5","2.333333333","2.5","1.666666667","0.92","0.613333333","0.66","0.44","71.42857143","58.2278481","66.66666667","19.11111111","28.66666667","20.44444444","30.66666667","14.66666667","22","35.11111111","52.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00106","","","","0","0","1","1","3","0","3","3","7","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.1","0.033333333","","0","33.33333333","0","0","0","0","1.111111111","3.333333333","1.111111111","3.333333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00107","","","","0","0","2","2","3","0","6","1","3","0","0","0.9","0","0.9","0","","","","0","0","0","0","0","0","0.45","0.3","","0","66.66666667","0","0","0","0","10","15","10","15"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00108","","","","0","4","3","3","3","3","6","2","3","0","0.14","1.14","0.14","1.28","4","","0.035","0.035","1.333333333","1.333333333","0","0","0.046666667","0.046666667","0.38","0.38","0","10.9375","100","0","0","1.555555556","1.555555556","12.66666667","12.66666667","14.22222222","14.22222222"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00109","","","","0","1","3","3","3","1","7","2","2","0","0.06","4.02","0.06","4.08","1","","0.06","0.06","0.333333333","0.333333333","0","0","0.02","0.02","1.34","1.34","0","1.470588235","100","0","0","0.666666667","0.666666667","44.66666667","44.66666667","45.33333333","45.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00110","","","","1","0","3","1","3","1","5","5","5","0.16","0","0.22","0.16","0.38","1","0.16","","0.16","1","0.333333333","1","0.333333333","0.16","0.053333333","0.22","0.073333333","100","42.10526316","33.33333333","1.777777778","5.333333333","1.777777778","5.333333333","2.444444444","7.333333333","4.222222222","12.66666667"
